"","NA1","NNA1","mu"
"symptom.Proteinuria",14.81,14.8052354056068,0.0425224954869053
"symptom.Nodule",18.82,18.816459041472,0.0396511016365708
"symptom.Cough",55.31,55.31262513389,0.0362618237156846
"symptom.Lesion",16.49,16.4912161977243,0.0333422253837577
"symptom.Cataract",25.25,25.2455172401396,0.0323401720293467
"symptom.Acute.bronchitis",60.29,60.2909593896651,0.0316066178625465
"symptom.Anemia",14.66,14.6616297091964,0.0313897960882417
"symptom.Hypertriglyceridemia",21.75,21.7506807815906,0.0296078167463649
"symptom.Bronchitis",59.01,59.0128801174829,0.0285852326582578
"symptom.Sinusitis",27,27.0001085726317,0.0285267310508769
"symptom.Sore.throat",39.88,39.8773825225514,0.0264256140978374
"symptom.Chills",32.5,32.5033542947628,0.0216345833300731
"symptom.Croup",43,43.0046866443015,0.0203881017670707
"symptom.Nasal.congestion",37.43,37.4342974198409,0.0182395060590301
"symptom.Kidney.failure",15.79,15.7935181221432,0.0165580328027943
"symptom.Iron.deficiency",13.59,13.5924343613356,0.0164554578057531
"symptom.Hypercholesterolemia",27.01,27.0063419804207,0.0144559173371
"symptom.Burn",20.02,20.0211315856818,0.0144361492188107
"symptom.Rhinorrhea",30.83,30.8326359096655,0.0144020367094373
"symptom.Heart.arrhythmia",14.32,14.3236322778643,0.013278834339651
"symptom.Fibrillation",17.57,17.567996706514,0.0120823873086062
"symptom.Melasma",14.92,14.9236564308223,0.011524642979774
"symptom.Conjunctivitis",22.77,22.7653153733106,0.0111579401185588
"symptom.Hypothyroidism",15.56,15.5583947323172,0.0109462952230048
"symptom.Epilepsy",15.42,15.4209991456976,0.0105051623375908
"symptom.Common.cold",69,69.0009920053041,0.0103105284023045
"symptom.Osteoporosis",21.63,21.6274291780631,0.00999427758507428
"symptom.Swollen.feet",23.05,23.0512883421229,0.00922031862748368
"symptom.Itch",18.34,18.3392840612389,0.00888854724892627
"symptom.Pneumonia",55.84,55.8423377233209,0.00870823615390336
"symptom.Phlegm",47.55,47.5519865252173,0.00836986863662992
"symptom.Post.nasal.drip",19.07,19.0727778071601,0.00754597334094331
"symptom.Throat.irritation",23.58,23.5812154060346,0.00723462760329983
"symptom.Tonsillitis",23.07,23.0652591364781,0.00719054638522246
"symptom.Water.retention",11.66,11.6598907014625,0.00680460389378688
"symptom.Upper.respiratory.tract.infection",59.4,59.4018477042019,0.00679548220604007
"symptom.Chronic.pain",13.76,13.7625192024296,0.00648275028367375
"symptom.Ingrown.hair",13.9,13.9031092634161,0.00606176306682837
"symptom.Hematuria",12.08,12.0770965053004,0.00603988946286055
"symptom.Ventricular.tachycardia",11.94,11.9438585064947,0.00584030684378362
"symptom.Photodermatitis",41.6,41.5968639220262,0.00572931295019187
"symptom.Hypertension",12.36,12.361532840723,0.00555819783756853
"symptom.Thrombocytopenia",17.53,17.5337165826403,0.00554142189866026
"symptom.Otitis.media",18.65,18.6511852873473,0.00546984328616909
"symptom.Shortness.of.breath",32.08,32.0831777069568,0.00539263149779783
"symptom.Scoliosis",13.88,13.8822982484163,0.00535729072890718
"symptom.Hyperthyroidism",18.19,18.1898349390369,0.00511774709340375
"symptom.Low.grade.fever",40.81,40.8118555771901,0.00498882833430864
"symptom.Type.2.diabetes",12.8,12.8033727062436,0.00493545529390368
"symptom.Cirrhosis",14.45,14.4522012784812,0.00483936550781782
"symptom.Fever",47.25,47.2528054354175,0.00479939546205984
"symptom.Major.depressive.disorder",13.48,13.482896291178,0.00478156012246864
"symptom.Telangiectasia",11.84,11.8437124735062,0.00456343798267242
"symptom.Skin.tag",14.07,14.0677573914146,0.00435100647933031
"symptom.Rhinitis",14.25,14.2537723376105,0.00429067628796207
"symptom.Skin.rash",16.62,16.616679263985,0.00424527750927311
"symptom.Actinic.keratosis",13.93,13.9291097175279,0.00422805655282214
"symptom.Tinnitus",11.82,11.8244409700686,0.0041898675365966
"symptom.Infection",46.76,46.7565281791145,0.00418065370861706
"symptom.Edema",14.4,14.3957903214199,0.00409906430221604
"symptom.Fatty.liver.disease",16.35,16.348991360283,0.00401120770050546
"symptom.Hay.fever",24.22,24.2150500527867,0.00396573709899689
"symptom.Heartburn",14.12,14.1166747892945,0.00393641201287189
"symptom.Menorrhagia",33.56,33.5554880605281,0.0038999150221259
"symptom.Vomiting",17.26,17.2571116441004,0.00387888610305623
"symptom.Varicose.veins",13.55,13.5484506608871,0.00384389302688032
"symptom.Hyperkalemia",12.56,12.5624767000967,0.00375612849743372
"symptom.Hypoxemia",36.64,36.6359001439189,0.00345098038681421
"symptom.Wheeze",19.41,19.4076649887282,0.00335506829097088
"symptom.Knee.Pain",11.84,11.8441582549528,0.00330447339535781
"symptom.Shivering",29.15,29.1513943606285,0.00329380580468724
"symptom.Asthma",23.42,23.4179834426037,0.00328618085279071
"symptom.Diabetes",14.57,14.5701122344186,0.0032365205589975
"symptom.Attention.deficit.hyperactivity.disorder",18.77,18.7671037817888,0.00319824810074425
"symptom.Hyperthermia",37.35,37.3530036737262,0.003125784973038
"symptom.Hyperpigmentation",13.11,13.1101822055993,0.00303888837054241
"symptom.Rosacea",12.8,12.7981195585582,0.00298311400058491
"symptom.Perspiration",13.55,13.5494225825789,0.00296049741067434
"symptom.Mydriasis",12.95,12.9497721392803,0.00290582054247943
"symptom.Hypokalemia",12.21,12.2076136318896,0.00286207308405977
"symptom.Strabismus",12.36,12.3634859440398,0.00286202677961572
"symptom.Ear.pain",23,23.0006061044452,0.0027993013001845
"symptom.Periodontal.disease",12.97,12.968837816219,0.0027833058122837
"symptom.Otitis.externa",22.9,22.9044096139318,0.00276753070058913
"symptom.Hyponatremia",11.81,11.8085219494852,0.00271074301199966
"symptom.Bowel.obstruction",20.91,20.9130961430658,0.00264310609271919
"symptom.Blurred.vision",26.41,26.4133787742127,0.00262274954663914
"symptom.Desquamation",15.04,15.0430587338951,0.00260688161288325
"symptom.Nosebleed",15.8,15.7992697039438,0.00257739076087121
"symptom.Otitis",13.71,13.7121488433267,0.00245282678613977
"symptom.Astigmatism",34.93,34.9319920123452,0.00245245476303458
"symptom.Blood.in.stool",25.64,25.6420706451205,0.00241258438733103
"symptom.Convulsion",11.79,11.7851424122781,0.00237131676992761
"symptom.Epidermoid.cyst",49.42,49.4229093785942,0.00225076988118651
"symptom.Bruise",11.7,11.6977463995409,0.00224251481023836
"symptom.Delayed.onset.muscle.soreness",13.55,13.5464944116137,0.00220697730812884
"symptom.Hypertrophy",17.6,17.6016470176394,0.0022061209140956
"symptom.Encephalopathy",35.84,35.8400991427905,0.00218191185301464
"symptom.Pruritus.ani",12.66,12.6636266992757,0.00215423842177473
"symptom.Pelvic.inflammatory.disease",37.12,37.1199840491646,0.00214556754539364
"symptom.Colitis",18.11,18.1081078434194,0.00211660819026224
"symptom.Stretch.marks",16.04,16.0367731979783,0.00210244487464954
"symptom.Snoring",15.01,15.0064884624697,0.00190651817912393
"symptom.Eye.strain",15.94,15.9373697752084,0.00190221484735328
"symptom.Ageusia",22.15,22.1471636446696,0.00190105891402592
"symptom.Sputum",23.72,23.7166158562516,0.00188614137629037
"symptom.Bone.fracture",14.1,14.098890411547,0.00187745521830146
"symptom.Erythema.chronicum.migrans",143.43,143.434047231664,0.00187628087976527
