"","x"
"X9.5.20",9206
"X9.6.20",9208
"X9.7.20",9211
"X9.8.20",9218
"X9.9.20",9222
"X9.10.20",9230
"X9.11.20",9230
"X9.12.20",9232
"X9.13.20",9235
"X9.14.20",9248
"X9.15.20",9256
"X9.16.20",9261
"X9.17.20",9266
"X9.18.20",9278
"X9.19.20",9285
"X9.20.20",9287
"X9.21.20",9299
"X9.22.20",9308
"X9.23.20",9316
"X9.24.20",9324
"X9.25.20",9331
"X9.26.20",9337
"X9.27.20",9342
"X9.28.20",9359
"X9.29.20",9372
"X9.30.20",9390
"X10.1.20",9406
"X10.2.20",9504
"X10.3.20",9525
"X10.4.20",9569
"X10.5.20",9598
"X10.6.20",9616
"X10.7.20",9635
"X10.8.20",9653
"X10.9.20",9667
"X10.10.20",9693
"X10.11.20",9707
"X10.12.20",9719
"X10.13.20",9751
"X10.14.20",9776
"X10.15.20",9795
"X10.16.20",9827
"X10.17.20",9835
"X10.18.20",9859
"X10.19.20",9890
"X10.20.20",9908
"X10.21.20",9945
"X10.22.20",9976
"X10.23.20",10003
"X10.24.20",10025
"X10.25.20",10056
"X10.26.20",10094
"X10.27.20",10119
"X10.28.20",10157
"X10.29.20",10191
"X10.30.20",10235
"X10.31.20",10274
"X11.1.20",10311
"X11.2.20",10343
"X11.3.20",10401
"X11.4.20",10442
"X11.5.20",10482
"X11.6.20",10544
"X11.7.20",10591
"X11.8.20",10639
"X11.9.20",10700
"X11.10.20",10767
"X11.11.20",10830
"X11.12.20",10903
"X11.13.20",10949
"X11.14.20",11011
"X11.15.20",11076
"X11.16.20",11150
"X11.17.20",11218
"X11.18.20",11322
"X11.19.20",11392
"X11.20.20",11459
"X11.21.20",11525
"X11.22.20",11581
"X11.23.20",11660
"X11.24.20",11760
"X11.25.20",11818
"X11.26.20",11900
"X11.27.20",11986
"X11.28.20",12054
"X11.29.20",12128
"X11.30.20",12237
"X12.1.20",12315
"X12.2.20",12421
"X12.3.20",12511
"X12.4.20",12614
"X12.5.20",12688
"X12.6.20",12773
"X12.7.20",12894
"X12.8.20",12991
"X12.9.20",13107
"X12.10.20",13225
"X12.11.20",13353
"X12.12.20",13451
"X12.13.20",13535
"X12.14.20",13675
"X12.15.20",13791
"X12.16.20",13909
"X12.17.20",14065
"X12.18.20",14178
"X12.19.20",14282
"X12.20.20",14371
"X12.21.20",14478
"X12.22.20",14604
"X12.23.20",14749
"X12.24.20",14899
"X12.25.20",14963
"X12.26.20",15048
"X12.27.20",15168
"X12.28.20",15325
"X12.29.20",15525
"X12.30.20",15647
"X12.31.20",15759
"X1.1.21",15803
"X1.2.21",15911
"X1.3.21",16003
"X1.4.21",16244
"X1.5.21",16386
"X1.6.21",16536
"X1.7.21",16701
"X1.8.21",16843
"X1.9.21",16981
"X1.10.21",17071
"X1.11.21",17196
"X1.12.21",17356
"X1.13.21",17536
"X1.14.21",17683
"X1.15.21",17853
"X1.16.21",17975
"X1.17.21",18103
"X1.18.21",18228
"X1.19.21",18379
"X1.20.21",18564
"X1.21.21",18703
"X1.22.21",18884
"X1.23.21",18989
"X1.24.21",19116
"X1.25.21",19242
"X1.26.21",19389
"X1.27.21",19482
"X1.28.21",19673
"X1.29.21",19822
"X1.30.21",19955
"X1.31.21",20038
"X2.1.21",20142
"X2.2.21",20239
"X2.3.21",20358
"X2.4.21",20483
"X2.5.21",20604
"X2.6.21",20697
"X2.7.21",20757
"X2.8.21",20827
"X2.9.21",20911
"X2.10.21",21004
"X2.11.21",21086
"X2.12.21",21165
"X2.13.21",21235
"X2.14.21",21258
"X2.15.21",21295
"X2.16.21",21392
"X2.17.21",21436
"X2.18.21",21506
"X2.19.21",21578
"X2.20.21",21628
"X2.21.21",21672
"X2.22.21",21717
"X2.23.21",21758
"X2.24.21",21807
"X2.25.21",21865
"X2.26.21",21912
"X2.27.21",21958
"X2.28.21",21987
"X3.1.21",22011
"X3.2.21",22040
"X3.3.21",22102
"X3.4.21",22149
"X3.5.21",22180
"X3.6.21",22209
"X3.7.21",22231
"X3.8.21",22268
"X3.9.21",22299
"X3.10.21",22327
"X3.11.21",22364
"X3.12.21",22394
"X3.13.21",22423
"X3.14.21",22452
"X3.15.21",22481
"X3.16.21",22506
"X3.17.21",22540
"X3.18.21",22571
"X3.19.21",22599
"X3.20.21",22629
"X3.21.21",22650
"X3.22.21",22689
"X3.23.21",22709
"X3.24.21",22733
"X3.25.21",22765
"X3.26.21",22803
"X3.27.21",22824
"X3.28.21",22849
"X3.29.21",22865
"X3.30.21",22886
"X3.31.21",22954
"X4.1.21",22992
"X4.2.21",23005
"X4.3.21",23032
"X4.4.21",23054
"X4.5.21",23077
"X4.6.21",23126
"X4.7.21",23154
"X4.8.21",23190
"X4.9.21",23230
"X4.10.21",23264
"X4.11.21",23288
"X4.12.21",23330
