"","x"
"X11.8.21",43
"X11.9.21",70
"X11.10.21",100
"X11.11.21",114
"X11.12.21",159
"X11.13.21",173
"X11.14.21",182
"X11.15.21",232
"X11.16.21",255
"X11.17.21",282
"X11.18.21",313
"X11.19.21",330
"X11.20.21",340
"X11.21.21",347
"X11.22.21",376
"X11.23.21",405
"X11.24.21",432
"X11.25.21",452
"X11.26.21",468
"X11.27.21",478
"X11.28.21",483
"X11.29.21",519
"X11.30.21",536
"X12.1.21",564
"X12.2.21",587
"X12.3.21",608
"X12.4.21",616
"X12.5.21",618
"X12.6.21",651
"X12.7.21",677
"X12.8.21",702
"X12.9.21",727
"X12.10.21",750
"X12.11.21",760
"X12.12.21",761
