"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Andorra"
"5","Angola"
"6","Antigua and Barbuda"
"7","Argentina"
"8","Armenia"
"9","Australia"
"10","Austria"
"11","Azerbaijan"
"12","Bahamas"
"13","Bahrain"
"14","Bangladesh"
"15","Barbados"
"16","Belarus"
"17","Belgium"
"18","Belize"
"19","Benin"
"20","Bhutan"
"21","Bolivia"
"22","Bosnia and Herzegovina"
"23","Botswana"
"24","Brazil"
"25","Brunei"
"26","Bulgaria"
"27","Burkina Faso"
"28","Burma"
"29","Burundi"
"30","Cabo Verde"
"31","Cambodia"
"32","Cameroon"
"33","Canada"
"34","Central African Republic"
"35","Chad"
"36","Chile"
"37","China"
"38","Colombia"
"39","Comoros"
"40","Congo (Brazzaville)"
"41","Congo (Kinshasa)"
"42","Costa Rica"
"43","Cote d'Ivoire"
"44","Croatia"
"45","Cuba"
"46","Cyprus"
"47","Czechia"
"48","Denmark"
"49","Diamond Princess"
"50","Djibouti"
"51","Dominica"
"52","Dominican Republic"
"53","Ecuador"
"54","Egypt"
"55","El Salvador"
"56","Equatorial Guinea"
"57","Eritrea"
"58","Estonia"
"59","Eswatini"
"60","Ethiopia"
"61","Fiji"
"62","Finland"
"63","France"
"64","Gabon"
"65","Gambia"
"66","Georgia"
"67","Germany"
"68","Ghana"
"69","Greece"
"70","Grenada"
"71","Guatemala"
"72","Guinea"
"73","Guinea-Bissau"
"74","Guyana"
"75","Haiti"
"76","Holy See"
"77","Honduras"
"78","Hungary"
"79","Iceland"
"80","India"
"81","Indonesia"
"82","Iran"
"83","Iraq"
"84","Ireland"
"85","Israel"
"86","Italy"
"87","Jamaica"
"88","Japan"
"89","Jordan"
"90","Kazakhstan"
"91","Kenya"
"92","Kiribati"
"93","Korea, South"
"94","Kosovo"
"95","Kuwait"
"96","Kyrgyzstan"
"97","Laos"
"98","Latvia"
"99","Lebanon"
"100","Lesotho"
"101","Liberia"
"102","Libya"
"103","Liechtenstein"
"104","Lithuania"
"105","Luxembourg"
"106","Madagascar"
"107","Malawi"
"108","Malaysia"
"109","Maldives"
"110","Mali"
"111","Malta"
"112","Marshall Islands"
"113","Mauritania"
"114","Mauritius"
"115","Mexico"
"116","Micronesia"
"117","Moldova"
"118","Monaco"
"119","Mongolia"
"120","Montenegro"
"121","Morocco"
"122","Mozambique"
"123","MS Zaandam"
"124","Namibia"
"125","Nepal"
"126","Netherlands"
"127","New Zealand"
"128","Nicaragua"
"129","Niger"
"130","Nigeria"
"131","North Macedonia"
"132","Norway"
"133","Oman"
"134","Pakistan"
"135","Panama"
"136","Papua New Guinea"
"137","Paraguay"
"138","Peru"
"139","Philippines"
"140","Poland"
"141","Portugal"
"142","Qatar"
"143","Romania"
"144","Russia"
"145","Rwanda"
"146","Saint Kitts and Nevis"
"147","Saint Lucia"
"148","Saint Vincent and the Grenadines"
"149","Samoa"
"150","San Marino"
"151","Sao Tome and Principe"
"152","Saudi Arabia"
"153","Senegal"
"154","Serbia"
"155","Seychelles"
"156","Sierra Leone"
"157","Singapore"
"158","Slovakia"
"159","Slovenia"
"160","Solomon Islands"
"161","Somalia"
"162","South Africa"
"163","South Sudan"
"164","Spain"
"165","Sri Lanka"
"166","Sudan"
"167","Suriname"
"168","Sweden"
"169","Switzerland"
"170","Syria"
"171","Taiwan*"
"172","Tajikistan"
"173","Tanzania"
"174","Thailand"
"175","Timor-Leste"
"176","Togo"
"177","Trinidad and Tobago"
"178","Tunisia"
"179","Turkey"
"180","Uganda"
"181","Ukraine"
"182","United Arab Emirates"
"183","United Kingdom"
"184","Uruguay"
"185","US"
"186","Uzbekistan"
"187","Vanuatu"
"188","Venezuela"
"189","Vietnam"
"190","West Bank and Gaza"
"191","Yemen"
"192","Zambia"
"193","Zimbabwe"
