"","x"
"X6.8.22",30
"X6.9.22",132
"X6.10.22",195
"X6.11.22",188
"X6.12.22",197
"X6.13.22",200
"X6.14.22",216
"X6.15.22",258
"X6.16.22",354
"X6.17.22",363
"X6.18.22",384
"X6.19.22",384
"X6.20.22",389
"X6.21.22",398
"X6.22.22",423
"X6.23.22",493
"X6.24.22",501
"X6.25.22",513
"X6.26.22",515
"X6.27.22",515
"X6.28.22",525
"X6.29.22",548
"X6.30.22",630
"X7.1.22",637
"X7.2.22",650
"X7.3.22",651
"X7.4.22",651
"X7.5.22",687
"X7.6.22",715
"X7.7.22",795
"X7.8.22",822
"X7.9.22",825
"X7.10.22",830
"X7.11.22",836
"X7.12.22",840
"X7.13.22",874
"X7.14.22",2086
"X7.15.22",2131
"X7.16.22",2151
"X7.17.22",2151
