"","Tick_2000-12-27_To_2018-02-21","Membership_2000-12-27_To_2018-02-21"
"1","AIR.PA",1
"2","FP.PA",1
"3","KER.PA",1
"4","CA.PA",1
"5","AC.PA",1
"6","^FCHI",1
"7","PUB.PA",1
"8","RNO.PA",1
"9","SAF.PA",1
"10","SAN.PA",1
"11","FTI.PA",1
"12","PORTFO",1
"13","BN.PA",2
"14","EI.PA",2
"15","SW.PA",2
"16","OR.PA",2
"17","MC.PA",2
"18","AI.PA",2
"19","RI.PA",2
"20","VIE.PA",3
"21","SU.PA",3
"22","DG.PA",3
"23","ATO.PA",3
"24","ENGI.PA",3
"25","LR.PA",3
"26","CAP.PA",3
"27","SGO.PA",3
"28","ORA.PA",4
"29","UG.PA",4
"30","EN.PA",4
"31","FR.PA",4
"32","ML.PA",4
"33","BNP.PA",5
"34","GLE.PA",5
"35","ACA.PA",5
"36","VIV.PA",5
"37","CS.PA",5
