"","Tick_2000-11-29_To_2018-02-20","Membership_2000-11-29_To_2018-02-20"
"1","TKA.DE",1
"2","CBK.DE",1
"3","ALV.DE",1
"4","IFX.DE",1
"5","MUV2.DE",1
"6","LHA.DE",1
"7","HEI.DE",1
"8","DBK.DE",1
"9","DB1.DE",1
"10","LIN.DE",1
"11","ALV.BE",1
"12","LHA.SG",1
"13","HEI.BE",1
"14","IFX.DU",1
"15","MUV2.SG",1
"16","TKA.HM",1
"17","PSM.DE",2
"18","PSM.HA",2
"19","RWE.DE",3
"20","EOAN.DE",3
"21","VOW3.DE",3
"22","ODB1.BE",3
"23","EOAN.BE",3
"24","FRE.SG",3
"25","RWEA.SG",3
"26","VOW3.MU",3
"27","FME.DE",4
"28","FRE.DE",4
"29","HEN3.DE",4
"30","BEI.DE",4
"31","BEI.DU",4
"32","FME.HM",4
"33","ADS.DE",5
"34","ADS1.SG",5
"35","DTE.DE",6
"36","DPW.DE",6
"37","SAP.DE",6
"38","BAS.DE",6
"39","BAYN.DE",6
"40","DAI.DE",6
"41","BMW.DE",6
"42","SIE.DE",6
"43","BASA.BE",6
"44","DAI.HM",6
"45","DPWA.SG",6
"46","DTE.SG",6
"47","SAP.BE",6
"48","SIEB.DU",6
"49","^GDAXI",6
"50","PORTFO",6
"51","CON.DE",7
"52","CON.DU",7
"53","MRK.DE",8
"54","MRK.HM",8
"55","VNA.DE",9
"56","VNA.MU",9
