"","Tick_2000-12-20_To_2018-02-14","Membership_2000-12-20_To_2018-02-14"
"1","1398.HK",1
"2","0939.HK",1
"3","3988.HK",1
"4","3328.HK",1
"5","BAP",2
"6","BLMT",2
"7","UNTY",2
"8","NCBS",2
"9","ZBK",2
"10","CIB",2
"11","SHG",2
"12","KB",2
"13","BLX",2
"14","PORTFO",2
"15","BAC",3
"16","STI",3
"17","OFG",3
"18","FRC",3
"19","STBZ",3
"20","C",3
"21","JPM",3
"22","WFC",3
"23","CMA",3
"24","PNC",3
"25","HTH",3
"26","HSBC",3
"27","GS",3
"28","USB",3
"29","UBS",3
"30","WBK",3
"31","WF",3
"32","MCILX",3
"33","MS",3
"34","BPOP",3
"35","FBP",3
"36","GLE.PA",4
"37","BNP.PA",4
"38","IBN",5
"39","GWB",5
"40","SFST",5
"41","PUB",5
"42","EGDW",5
"43","FCBI",5
"44","CBKM",5
"45","DBK",5
"46","HDB",5
"47","MTGB",6
"48","BBD",6
"49","BSBR",6
"50","ITUB",6
"51","BSAC",7
"52","TSC",7
"53","OAKV",7
"54","JFBC",7
"55","BCH",7
"56","UBOH",8
"57","LLOY.L",8
"58","DB",8
"59","ING",8
"60","RBS",8
"61","CS",8
"62","SCGLY",8
"63","BBVA",8
"64","BCS",8
"65","SAN",8
"66","LYG",8
"67","BMO",9
"68","TD",9
"69","RY",9
"70","CM",9
"71","BNS",9
"72","BBDO",9
"73","MTU",10
"74","DSEEY",10
"75","NMR",10
"76","SMFG",10
"77","MFG",10
"78","HOMB",11
"79","STL",11
"80","FBNK",11
"81","RNST",11
"82","SFNC",11
"83","^BANK",11
"84","VLY",11
"85","WAL",11
"86","BSMX",11
"87","EWBC",11
"88","BFR",12
"89","BMA",12
"90","GGAL",12
