"","Tick_2001-01-02_To_2018-02-19","Membership_2001-01-02_To_2018-02-19"
"1","^GSPTSE",1
"2","^FTSE",1
"3","^STOXX50E",1
"4","^N225",1
"5","^HSI",1
"6","^STI",1
"7","^AXJO",1
"8","^AORD",1
"9","^KLSE",1
"10","^NZ50",1
"11","^KS11",1
"12","^TWII",1
"13","^BVSP",1
"14","^MXX",1
"15","^IPSA",1
"16","^MERV",1
"17","^SSEC",1
"18","^ATX",1
"19","^OSEAX",1
"20","^OMXSPI",1
"21","^SSMI",1
"22","^XAU",1
"23","^DJU",1
"24","^KFX",1
"25","^XU100",1
"26","FTSEMIB.MI",1
"27","PORTFO",1
"28","^GSPC",2
"29","^DJI",2
"30","^IXIC",2
"31","^NYA",2
"32","^XAX",2
"33","^RUT",2
"34","^XMI",2
"35","^OEX",2
"36","^MID",2
"37","^NBI",2
"38","^NWX",2
"39","^PSE",2
"40","^RUA",2
"41","^RUI",2
"42","^GDAXI",3
"43","^FCHI",3
"44","^N100",3
"45","^BFX",3
"46","^AEX",3
"47","^SMSI",3
"48","^BSESN",4
"49","^JKSE",4
"50","^NSEI",4
