"","Tick_2000-08-08_To_2018-02-16","Membership_2000-08-08_To_2018-02-16"
"1","ADSK",1
"2","AKAM",1
"3","AMAT",1
"4","ATVI",1
"5","CHTR",1
"6","CSCO",1
"7","CMCSA",1
"8","DISH",1
"9","DLTR",1
"10","EA",1
"11","ESRX",1
"12","FOX",1
"13","FOXA",1
"14","HSIC",1
"15","HOLX",1
"16","KLAC",1
"17","LBTYK",1
"18","LBTYA",1
"19","QVCA",1
"20","MELI",1
"21","MDLZ",1
"22","MNST",1
"23","NCLH",1
"24","NTES",1
"25","NVDA",1
"26","PCLN",1
"27","ROST",1
"28","ULTA",1
"29","VIAB",1
"30","WDC",1
"31","XRAY",1
"32","STX",1
"33","SPLK",1
"34","ADBE",2
"35","ADP",2
"36","AVGO",2
"37","CA",2
"38","CHKP",2
"39","CTAS",2
"40","COST",2
"41","CSX",2
"42","CTSH",2
"43","EBAY",2
"44","FAST",2
"45","FISV",2
"46","HAS",2
"47","ILMN",2
"48","INTU",2
"49","JBHT",2
"50","MAR",2
"51","MU",2
"52","NFLX",2
"53","PAYX",2
"54","QCOM",2
"55","SBUX",2
"56","TSCO",2
"57","VOD",2
"58","WBA",2
"59","IDXX",2
"60","ORLY",2
"61","PCAR",2
"62","WYNN",2
"63","^IXIC",2
"64","AAPL",3
"65","ALXN",3
"66","AMGN",3
"67","AMZN",3
"68","BIDU",3
"69","BIIB",3
"70","BMRN",3
"71","CELG",3
"72","CERN",3
"73","CTRP",3
"74","EXPE",3
"75","FB",3
"76","GOOG",3
"77","GOOGL",3
"78","INCY",3
"79","ISRG",3
"80","MSFT",3
"81","MYL",3
"82","REGN",3
"83","SYMC",3
"84","TMUS",3
"85","VRTX",3
"86","TSLA",3
"87","VRSK",3
"88","PORTFO",3
"89","AAL",4
"90","ADI",4
"91","INTC",4
"92","MXIM",4
"93","SHPG",4
"94","SWKS",4
"95","TXN",4
"96","LRCX",4
"97","MCHP",4
"98","XLNX",4
