"","Tick_2000-10-27_To_2018-02-20","Membership_2000-10-27_To_2018-02-20"
"1","ABB.ST",1
"2","ALFA.ST",1
"3","ASSA-B.ST",1
"4","ATCO-A.ST",1
"5","ATCO-B.ST",1
"6","BOL.ST",1
"7","ELUX-B.ST",1
"8","ERIC-B.ST",1
"9","GETI-B.ST",1
"10","LUPE.ST",1
"11","MTG-B.ST",1
"12","FING-B.ST",1
"13","SAND.ST",1
"14","SCA-B.ST",1
"15","SECU-B.ST",1
"16","SKF-B.ST",1
"17","SSAB-A.ST",1
"18","SWMA.ST",1
"19","TEL2-B.ST",1
"20","VOLV-B.ST",1
"21","ALIV-SDB.ST",1
"22","PORTFO",1
"23","AZN.ST",2
"24","HM-B.ST",2
"25","INVE-B.ST",2
"26","KINV-B.ST",2
"27","NDA-SEK.ST",2
"28","SEB-A.ST",2
"29","SKA-B.ST",2
"30","SHB-A.ST",2
"31","SWED-A.ST",2
"32","TELIA.ST",2
"33","^OMX",2
