"","Tick_2000-11-02_To_2018-02-23","Membership_2000-11-02_To_2018-02-23"
"1","UHR.VX",1
"2","ARYN.VX",1
"3","F.SW",1
"4","HBLN.SW",1
"5","VATN.SW",1
"6","TK.SW",1
"7","ALTN.SW",1
"8","SOFB.SW",1
"9","BCGE.SW",1
"10","SCR.SW",1
"11","MCHN.SW",1
"12","MSFT.SW",1
"13","BVZN.SW",1
"14","DAE.SW",1
"15","VET.SW",1
"16","DOKA.SW",1
"17","GUR.SW",1
"18","DCN.SW",1
"19","BLT.SW",1
"20","SPCE.SW",1
"21","GMI.SW",1
"22","BRKN.SW",1
"23","SAHN.SW",1
"24","NOKIA.SW",1
"25","LINN.SW",1
"26","CALN.SW",1
"27","VBSN.SW",1
"28","AIRN.SW",1
"29","ADVN.SW",1
"30","EMMN.SW",1
"31","SFZN.SW",1
"32","SFPN.SW",1
"33","INTC.SW",1
"34","CSCO.SW",1
"35","BA.SW",1
"36","KO.SW",1
"37","CA.SW",1
"38","ZBH.SW",1
"39","GE.SW",1
"40","PM.SW",1
"41","MCD.SW",1
"42","NEM.SW",1
"43","LLY.SW",1
"44","CAT.SW",1
"45","AAPL.SW",1
"46","SLB.SW",1
"47","GOOGL.SW",1
"48","MMM.SW",1
"49","MRK.SW",1
"50","CL.SW",1
"51","JNJ.SW",1
"52","MO.SW",1
"53","XOM.SW",1
"54","PORTFO",1
"55","SIK.VX",2
"56","SAN.SW",2
"57","PHI.SW",2
"58","ADS.SW",2
"59","NEV.SW",2
"60","EOAN.SW",2
"61","PG.SW",2
"62","T.SW",2
"63","DTE.SW",2
"64","AMGN.SW",2
"65","AXP.SW",2
"66","^SSMI",3
"67","ROG.VX",3
"68","ABBN.VX",3
"69","CSGN.VX",3
"70","ZURN.VX",3
"71","LONN.VX",3
"72","GEBN.VX",3
"73","UBSG.VX",3
"74","GIVN.VX",3
"75","BALN.VX",3
"76","SOON.VX",3
"77","SLHN.VX",3
"78","SCHP.VX",3
"79","BAER.VX",3
"80","NESN.VX",3
"81","NOVN.VX",3
"82","SREN.VX",3
"83","CFR.VX",3
"84","SGSN.VX",3
"85","SCMN.VX",3
"86","ADEN.VX",3
"87","KNIN.VX",3
"88","CLN.VX",3
"89","DUFN.VX",3
"90","LHN.VX",3
"91","NEWN.SW",3
"92","IBM.SW",3
