"","Tick_2000-10-24_To_2018-02-14","Membership_2000-10-24_To_2018-02-14"
"1","NOVN.VX",1
"2","SCMN.VX",1
"3","LONN.VX",1
"4","CFR.VX",1
"5","SGSN.VX",1
"6","GEBN.VX",1
"7","SLHN.VX",1
"8","ABBN.VX",1
"9","ADEN.VX",1
"10","ZURN.VX",1
"11","BAER.VX",1
"12","LHN.VX",1
"13","UBSG.VX",1
"14","SREN.VX",1
"15","ROG.VX",1
"16","CSGN.VX",1
"17","^SSMI",1
"18","SIK.VX",1
"19","NESN.VX",1
"20","GIVN.VX",1
"21","MMM.SW",1
"22","BALN.VX",1
"23","CLN.VX",1
"24","DUFN.VX",1
"25","HBMN.SW",1
"26","KNIN.VX",1
"27","MBTN.SW",1
"28","ORON.SW",1
"29","SANN.SW",1
"30","SCHP.VX",1
"31","SOON.VX",1
"32","AIRN.SW",2
"33","ALLN.SW",2
"34","ALSN.SW",2
"35","AAM.SW",2
"36","APGN.SW",2
"37","ARYN.VX",2
"38","ASCN.SW",2
"39","AUTN.SW",2
"40","BANB.SW",2
"41","BCVN.SW",2
"42","BCHN.SW",2
"43","BARN.SW",2
"44","BAS.SW",2
"45","BSLN.SW",2
"46","BELL.SW",2
"47","TIBN.SW",2
"48","BOBNN.SW",2
"49","BUCN.SW",2
"50","BRKN.SW",2
"51","CALN.SW",2
"52","GAV.SW",2
"53","CASNE.SW",2
"54","CASN.SW",2
"55","CPEN.SW",2
"56","CMBN.SW",2
"57","LISP.SW",2
"58","CLTN.SW",2
"59","COM.SW",2
"60","CFT.SW",2
"61","CPHN.SW",2
"62","DAE.SW",2
"63","DKSH.SW",2
"64","DOKA.SW",2
"65","EPH.SW",2
"66","RLD.SW",2
"67","EFGN.SW",2
"68","LLY.SW",2
"69","EMMN.SW",2
"70","EMSN.SW",2
"71","EDHN.SW",2
"72","EVE.SW",2
"73","FTON.SW",2
"74","FHZN.SW",2
"75","FORN.SW",2
"76","GAM.SW",2
"77","GE.SW",2
"78","GUR.SW",2
"79","HELN.SW",2
"80","HOCN.SW",2
"81","HUBN.SW",2
"82","HUE.SW",2
"83","IMPN.SW",2
"84","IFCN.SW",2
"85","INRN.SW",2
"86","KARN.SW",2
"87","KOMN.SW",2
"88","KUD.SW",2
"89","LEHN.SW",2
"90","LEON.SW",2
"91","METN.SW",2
"92","OERL.SW",2
"93","ODHN.SW",2
"94","OFN.SW",2
"95","PWTN.SW",2
"96","PARG.SW",2
"97","PEAN.SW",2
"98","PM.SW",2
"99","PEHN.SW",2
"100","PSPN.SW",2
"101","RIEN.SW",2
"102","RO.SW",2
"103","ROL.SW",2
"104","HREN.SW",2
"105","SAHN.SW",2
"106","SCHN.SW",2
"107","STRN.SW",2
"108","STLN.SW",2
"109","SWTQ.SW",2
"110","SHLTN.SW",2
"111","SFZN.SW",2
"112","CADN.SW",2
"113","STGN.SW",2
"114","STMN.SW",2
"115","SUN.SW",2
"116","SPSN.SW",2
"117","SQN.SW",2
"118","TECN.SW",2
"119","TEMN.SW",2
"120","UHRN.SW",2
"121","TOHN.SW",2
"122","UBXN.SW",2
"123","VATN.SW",2
"124","VALN.SW",2
"125","VET.SW",2
"126","VW-V.SW",2
"127","VW.SW",2
"128","VONN.SW",2
"129","VZN.SW",2
"130","WARN.SW",2
"131","ZUBN.SW",2
"132","PORTFO",2
"133","UHR.VX",3
"134","SNBN.SW",3
"135","ADXN.SW",3
"136","ADENE.SW",3
"137","ADVN.SW",3
"138","AEVS.SW",3
"139","AIRE.SW",3
"140","ALPN.SW",3
"141","ALPH.SW",3
"142","AMS.SW",3
"143","BCGE.SW",3
"144","BCJ.SW",3
"145","BC.SW",3
"146","LINN.SW",3
"147","BPDG.SW",3
"148","BLKB.SW",3
"149","BSKP.SW",3
"150","BION.SW",3
"151","BEAN.SW",3
"152","BBN.SW",3
"153","BEKN.SW",3
"154","BLIN.SW",3
"155","BKW.SW",3
"156","BOSN.SW",3
"157","BVZN.SW",3
"158","CPENE.SW",3
"159","CAT.SW",3
"160","CPGN.SW",3
"161","LISN.SW",3
"162","CIE.SW",3
"163","CICN.SW",3
"164","COTN.SW",3
"165","COPN.SW",3
"166","CLXN.SW",3
"167","DAN.SW",3
"168","DCN.SW",3
"169","DESN.SW",3
"170","ESUN.SW",3
"171","RUS.SW",3
"172","GEBNE.SW",3
"173","GOLI.SW",3
"174","GBMN.SW",3
"175","GRKP.SW",3
"176","GMI.SW",3
"177","HBMNE.SW",3
"178","HLEE.SW",3
"179","HBLN.SW",3
"180","ISN.SW",3
"181","VBSN.SW",3
"182","JFN.SW",3
"183","LECN.SW",3
"184","LUKN.SW",3
"185","MCHN.SW",3
"186","MIKN.SW",3
"187","MOZN.SW",3
"188","MOBN.SW",3
"189","MYRN.SW",3
"190","NBEN.SW",3
"191","NEWN.SW",3
"192","NEV.SW",3
"193","NWRN.SW",3
"194","PEDU.SW",3
"195","PMI.SW",3
"196","SLB.SW",3
"197","SCR.SW",3
"198","SPCE.SW",3
"199","SGKN.SW",3
"200","SFPN.SW",3
"201","TAMN.SW",3
"202","VLRT.SW",3
"203","VAHN.SW",3
"204","VILN.SW",3
"205","WKBN.SW",3
"206","WMN.SW",3
"207","YPSN.SW",3
"208","ZEHN.SW",3
"209","ZBH.SW",3
"210","ZUGN.SW",3
"211","ZG.SW",3
"212","ZWM.SW",3
