"","x"
"X8.31.20",4705
"X9.1.20",4706
"X9.2.20",4709
"X9.3.20",4710
"X9.4.20",4710
"X9.5.20",4710
"X9.6.20",4712
"X9.7.20",4714
"X9.8.20",4715
"X9.9.20",4715
"X9.10.20",4715
"X9.11.20",4715
"X9.12.20",4716
"X9.13.20",4716
"X9.14.20",4717
"X9.15.20",4718
"X9.16.20",4718
"X9.17.20",4718
"X9.18.20",4719
"X9.19.20",4719
"X9.20.20",4719
"X9.21.20",4719
"X9.22.20",4719
"X9.23.20",4720
"X9.24.20",4720
"X9.25.20",4721
"X9.26.20",4721
"X9.27.20",4721
"X9.28.20",4721
"X9.29.20",4721
"X9.30.20",4721
"X10.1.20",4721
"X10.2.20",4721
"X10.3.20",4721
"X10.4.20",4721
"X10.5.20",4721
"X10.6.20",4721
"X10.7.20",4721
"X10.8.20",4721
"X10.9.20",4721
"X10.10.20",4721
"X10.11.20",4721
"X10.12.20",4721
"X10.13.20",4721
"X10.14.20",4721
"X10.15.20",4721
"X10.16.20",4721
"X10.17.20",4721
"X10.18.20",4721
"X10.19.20",4721
"X10.20.20",4721
"X10.21.20",4721
"X10.22.20",4721
"X10.23.20",4721
"X10.24.20",4721
"X10.25.20",4721
"X10.26.20",4721
"X10.27.20",4721
"X10.28.20",4721
"X10.29.20",4721
"X10.30.20",4721
"X10.31.20",4721
"X11.1.20",4721
"X11.2.20",4721
"X11.3.20",4721
"X11.4.20",4722
"X11.5.20",4723
"X11.6.20",4723
"X11.7.20",4723
"X11.8.20",4723
"X11.9.20",4723
"X11.10.20",4724
"X11.11.20",4724
"X11.12.20",4724
"X11.13.20",4724
"X11.14.20",4724
"X11.15.20",4724
"X11.16.20",4724
"X11.17.20",4724
"X11.18.20",4724
"X11.19.20",4724
"X11.20.20",4724
"X11.21.20",4724
"X11.22.20",4724
"X11.23.20",4724
"X11.24.20",4724
"X11.25.20",4724
"X11.26.20",4724
"X11.27.20",4724
"X11.28.20",4725
"X11.29.20",4725
"X11.30.20",4725
"X12.1.20",4725
"X12.2.20",4726
"X12.3.20",4727
"X12.4.20",4728
"X12.5.20",4728
"X12.6.20",4728
"X12.7.20",4728
"X12.8.20",4728
"X12.9.20",4730
"X12.10.20",4730
"X12.11.20",4730
"X12.12.20",4731
"X12.13.20",4733
"X12.14.20",4736
"X12.15.20",4739
"X12.16.20",4739
"X12.17.20",4741
"X12.18.20",4745
"X12.19.20",4745
"X12.20.20",4746
"X12.21.20",4747
"X12.22.20",4748
"X12.23.20",4749
"X12.24.20",4751
"X12.25.20",4752
"X12.26.20",4752
"X12.27.20",4753
"X12.28.20",4757
"X12.29.20",4759
"X12.30.20",4763
"X12.31.20",4764
"X1.1.21",4764
"X1.2.21",4766
"X1.3.21",4766
"X1.4.21",4769
"X1.5.21",4769
"X1.6.21",4770
"X1.7.21",4770
"X1.8.21",4771
"X1.9.21",4773
"X1.10.21",4774
"X1.11.21",4775
"X1.12.21",4776
"X1.13.21",4778
"X1.14.21",4778
"X1.15.21",4778
"X1.16.21",4779
"X1.17.21",4779
"X1.18.21",4780
"X1.19.21",4782
"X1.20.21",4783
"X1.21.21",4785
"X1.22.21",4785
