"","id","name","symbol","rank"
"1","bitcoin","Bitcoin","BTC",1
"2","ethereum","Ethereum","ETH",2
"3","ripple","XRP","XRP",3
"4","bitcoin-cash","Bitcoin Cash","BCH",4
"5","eos","EOS","EOS",5
"6","stellar","Stellar","XLM",6
"7","litecoin","Litecoin","LTC",7
"8","cardano","Cardano","ADA",8
"9","monero","Monero","XMR",9
"10","tether","Tether","USDT",10
"11","tron","TRON","TRX",11
"12","dash","Dash","DASH",12
"13","iota","IOTA","MIOTA",13
"14","binance-coin","Binance Coin","BNB",14
"15","neo","NEO","NEO",15
"16","ethereum-classic","Ethereum Classic","ETC",16
"17","nem","NEM","XEM",17
"18","tezos","Tezos","XTZ",18
"19","zcash","Zcash","ZEC",19
"20","vechain","VeChain","VET",20
"21","bitcoin-gold","Bitcoin Gold","BTG",21
"22","omisego","OmiseGO","OMG",22
"23","maker","Maker","MKR",23
"24","0x","0x","ZRX",24
"25","dogecoin","Dogecoin","DOGE",25
"26","basic-attention-token","Basic Attention Token","BAT",26
"27","qtum","Qtum","QTUM",27
"28","decred","Decred","DCR",28
"29","ontology","Ontology","ONT",29
"30","lisk","Lisk","LSK",30
"31","zilliqa","Zilliqa","ZIL",31
"32","aeternity","Aeternity","AE",32
"33","bitcoin-diamond","Bitcoin Diamond","BCD",33
"34","bitshares","BitShares","BTS",34
"35","nano","Nano","NANO",35
"36","bytecoin-bcn","Bytecoin","BCN",36
"37","icon","ICON","ICX",37
"38","siacoin","Siacoin","SC",38
"39","pundi-x","Pundi X","NPXS",39
"40","digibyte","DigiByte","DGB",40
"41","steem","Steem","STEEM",41
"42","verge","Verge","XVG",42
"43","bytom","Bytom","BTM",43
"44","populous","Populous","PPT",44
"45","waves","Waves","WAVES",45
"46","aurora","Aurora","AOA",46
"47","chainlink","Chainlink","LINK",47
"48","metaverse","Metaverse ETP","ETP",48
"49","golem-network-tokens","Golem","GNT",49
"50","augur","Augur","REP",50
"51","trueusd","TrueUSD","TUSD",51
"52","stratis","Stratis","STRAT",52
"53","holo","Holo","HOT",53
"54","electroneum","Electroneum","ETN",54
"55","paxos-standard-token","Paxos Standard Token","PAX",55
"56","usd-coin","USD Coin","USDC",56
"57","komodo","Komodo","KMD",57
"58","status","Status","SNT",58
"59","waltonchain","Waltonchain","WTC",59
"60","cryptonex","Cryptonex","CNX",60
"61","maidsafecoin","MaidSafeCoin","MAID",61
"62","wanchain","Wanchain","WAN",62
"63","ardor","Ardor","ARDR",63
"64","iostoken","IOST","IOST",64
"65","mithril","Mithril","MITH",65
"66","aion","Aion","AION",66
"67","kucoin-shares","KuCoin Shares","KCS",67
"68","wax","WAX","WAX",68
"69","ravencoin","Ravencoin","RVN",69
"70","nexo","Nexo","NEXO",70
"71","bancor","Bancor","BNT",71
"72","decentraland","Decentraland","MANA",72
"73","loopring","Loopring","LRC",73
"74","eternal-token","ETERNAL TOKEN","XET",74
"75","digixdao","DigixDAO","DGD",75
"76","huobi-token","Huobi Token","HT",76
"77","ark","Ark","ARK",77
"78","aelf","aelf","ELF",78
"79","gxchain","GXChain","GXS",79
"80","polymath-network","Polymath","POLY",80
"81","hypercash","HyperCash","HC",81
"82","reddcoin","ReddCoin","RDD",82
"83","pivx","PIVX","PIVX",83
"84","zencash","Horizen","ZEN",84
"85","qash","QASH","QASH",85
"86","veritaseum","Veritaseum","VERI",86
"87","monacoin","MonaCoin","MONA",87
"88","cybermiles","CyberMiles","CMT",88
"89","dai","Dai","DAI",89
"90","moac","MOAC","MOAC",90
"91","dentacoin","Dentacoin","DCN",91
"92","crypto-com","Crypto.com","MCO",92
"93","loom-network","Loom Network","LOOM",93
"94","nxt","Nxt","NXT",94
"95","funfair","FunFair","FUN",95
"96","revain","Revain","R",96
"97","nebulas-token","Nebulas","NAS",97
"98","theta-token","Theta Token","THETA",98
"99","mixin","Mixin","XIN",99
"100","power-ledger","Power Ledger","POWR",100
"101","dropil","Dropil","DROP",101
"102","tenx","TenX","PAY",102
"103","zcoin","ZCoin","XZC",103
"104","free-coin","FREE Coin","FREE",104
"105","digitex-futures","Digitex Futures","DGTX",105
"106","salt","SALT","SALT",106
"107","dragonchain","Dragonchain","DRGN",107
"108","kyber-network","Kyber Network","KNC",108
"109","insight-chain","Insight Chain","INB",109
"110","gas","Gas","GAS",110
"111","elastos","Elastos","ELA",111
"112","boscoin","BOScoin","BOS",112
"113","syscoin","Syscoin","SYS",113
"114","enigma","Enigma","ENG",114
"115","mobilego","MobileGo","MGO",115
"116","endor-protocol","Endor Protocol","EDR",116
"117","civic","Civic","CVC",117
"118","genesis-vision","Genesis Vision","GVT",118
"119","cortex","Cortex","CTXC",119
"120","odem","ODEM","ODE",120
"121","dent","Dent","DENT",121
"122","nuls","Nuls","NULS",122
"123","storj","Storj","STORJ",123
"124","substratum","Substratum","SUB",124
"125","gochain","GoChain","GO",125
"126","odyssey","Odyssey","OCN",126
"127","emercoin","Emercoin","EMC",127
"128","kin","Kin","KIN",128
"129","bitcoin-private","Bitcoin Private","BTCP",129
"130","peercoin","Peercoin","PPC",130
"131","everipedia","Everipedia","IQ",131
"132","storm","Storm","STORM",132
"133","eidoo","Eidoo","EDO",133
"134","factom","Factom","FCT",134
"135","rchain","RChain","RHOC",135
"136","nexus","Nexus","NXS",136
"137","quarkchain","QuarkChain","QKC",137
"138","sirin-labs-token","SIRIN LABS Token","SRN",138
"139","dynamic-trading-rights","Dynamic Trading Rights","DTR",139
"140","waykichain","WaykiChain","WICC",140
"141","enjin-coin","Enjin Coin","ENJ",141
"142","bridgecoin","BridgeCoin","BCO",142
"143","request-network","Request Network","REQ",143
"144","mainframe","Mainframe","MFT",144
"145","groestlcoin","Groestlcoin","GRS",145
"146","centrality","Centrality","CENNZ",146
