"","BTC","ETH","XRP","BCH","EOS","XLM","LTC","ADA","XMR","USDT","TRX","DASH","MIOTA","BNB","NEO","ETC","XEM","XTZ","ZEC","VET","BTG","OMG","MKR","ZRX","DOGE","BAT","QTUM","DCR","ONT","LSK","ZIL","AE","BCD","BTS","NANO","BCN","ICX","SC","NPXS","DGB","STEEM","XVG","PPT","WAVES","AOA","LINK","ETP","GNT","REP","TUSD","STRAT","ETN","PAX","USDC","KMD","SNT","WTC","CNX"
"2018-01-02 03:59:21",13670.6,797.4,2.34049,2415.04,9.44826,0.400968,244.92,0.70545,371.153,1.00486,0.0549203,1039.6,4.31258,8.27414,74.5378,35.5671,1.03906,4.33814,588.73,0.0115229,276.419,19.2246,984.985,0.870978,0.00881055,0.408953,61.8958,95.7944,2.02793,20.8912,0.0341206,1.31436,1.0844,0.729258,34.4258,0.00506888,6.32032,0.0291514,0.001628,0.0675309,6.21327,0.156744,38.5317,13.1153,0.0216894,0.695626,2.84817,0.879689,77.3529,1.00276,15.6096,0.0837293,1.00949,1.00989,10.2757,0.255729,11.4252,4.4824
"2018-01-03 03:59:20",15190.8,903.975,2.74791,2809.64,9.18789,0.564352,257.776,0.762976,381.72,1.00463,0.0741476,1147.65,4.02367,8.63868,87.699,35.3104,1.18421,5.60375,584.111,0.01148,278.459,19.8697,1070.88,0.888149,0.00922249,0.547459,60.8055,109.43,2.13896,21.9604,0.0358041,1.3788,1.10087,0.827523,31.1368,0.00587029,6.52172,0.0305393,0.00158639,0.0709794,7.31207,0.137501,43.9465,13.196,0.0211565,0.654511,3.08023,1.1573,77.5148,1.00464,15.9696,0.0863551,1.0054,1.0075,9.81054,0.444539,11.1701,4.24395
"2018-01-04 03:59:20",15364,958.275,3.6491,2647.11,11.8641,0.759089,233.392,1.07803,418.689,1.00933,0.109849,1171.53,4.03379,8.99768,94.5401,34.6833,1.89635,6.8977,578.328,0.0115042,268.786,20.0563,1061.75,0.959239,0.00919477,0.539194,59.0317,102.127,2.05983,20.5592,0.0345873,1.51856,1.15523,0.871137,25.7715,0.00576418,7.21932,0.0295323,0.00158595,0.0657527,7.2848,0.14254,43.6375,12.5754,0.0208314,0.702468,3.49997,1.08808,75.5868,1.00155,15.3567,0.0873243,1.00773,1.01312,9.38992,0.608697,10.1363,4.34059
"2018-01-05 03:59:22",15572.1,989.097,3.32261,2465.92,11.0103,0.851652,243.816,1.15126,394.207,0.999237,0.254791,1111.81,4.15481,9.40863,98.5869,36.1672,1.66201,6.33253,587.527,0.0114097,279.821,20.1342,1020.89,1.02511,0.00997676,0.675547,58.0167,99.8341,2.09744,20.981,0.0350409,1.84076,1.47201,0.874599,34.4153,0.00651225,7.47771,0.0394188,0.00154196,0.0806026,6.52462,0.176345,47.6842,12.7908,0.0206956,0.889303,4.85224,1.14672,81.1544,1.00466,15.2932,0.0869464,1.00639,1.00627,9.0945,0.581215,9.95335,4.93927
"2018-01-06 03:59:21",17035.6,1003.71,3.07719,2499.36,10.6599,0.712211,291.167,1.0022,393.408,1.00525,0.218014,1246.79,3.75317,16.3583,104.254,36.5952,1.56721,6.36959,595.408,0.0114748,278.21,19.2467,1103.49,1.0814,0.0134127,0.608124,61.7871,113.037,2.13487,28.1007,0.0357999,2.10161,1.43475,0.745628,32.4675,0.00606426,6.83551,0.0490757,0.00161768,0.111866,5.85935,0.166991,42.295,11.9838,0.0210922,0.890841,5.02039,1.03108,71.1114,1.0025,15.6147,0.127798,1.00706,1.00636,8.91466,0.505912,10.1673,5.42706
"2018-01-07 03:59:21",17109.1,1053.54,3.2331,2788.63,12.8279,0.764525,298.575,1.02461,494.164,1.00742,0.177628,1224.34,3.95226,20.8176,102.921,38.8708,1.65699,6.35151,763.766,0.0115058,286.485,20.7455,1214.43,1.30342,0.0148279,0.607868,103.454,111.819,2.15718,29.6065,0.0367172,2.49485,1.58827,0.832163,28.1831,0.00655749,7.8262,0.0931186,0.00163463,0.129591,6.1807,0.187996,42.6235,13.0544,0.0210951,1.08604,5.05653,1.02645,78.4331,1.00032,16.4045,0.18547,1.0075,1.00787,9.83731,0.505056,15.527,5.54461
"2018-01-08 03:59:21",15908.9,1213.92,2.5713,2846.29,9.7956,0.702215,267.061,1.00865,437.537,0.999876,0.18116,1338.33,4.18589,18.507,103.985,43.9694,1.72224,5.85972,876.305,0.0114467,294.446,26.1439,1176.93,1.42775,0.0173586,0.836206,86.9061,115.651,2.13958,38.4026,0.0371707,2.69067,1.51825,0.786063,25.3935,0.0123127,10.1654,0.0971539,0.00166564,0.129687,6.2835,0.175231,47.4698,12.7833,0.0210872,1.20864,4.79128,1.08568,78.7948,1.0012,17.726,0.181387,1.00568,1.00771,10.3688,0.497634,16.7993,5.80987
"2018-01-09 03:59:20",15399.6,1171.22,2.43853,2394.68,9.59331,0.616111,252.856,0.910354,441.937,1.00439,0.147821,1104,3.9354,18.9104,101.551,33.9857,1.69888,4.76857,709.997,0.0115877,243.625,24.4391,1102.88,1.30702,0.0152708,0.706798,55.6553,108.007,2.13454,32.0901,0.0372499,2.49906,1.34644,0.732815,26.2331,0.0154149,10.9076,0.0706029,0.00163495,0.111318,6.10542,0.216314,55.8656,13.5064,0.0210416,1.27913,4.43305,1.03471,107.368,1.00256,21.2136,0.165924,1.00825,1.00867,9.50882,0.460987,14.9082,5.28534
"2018-01-10 03:59:21",14348,1284.81,1.90607,2447.7,9.21383,0.598688,244.171,0.859033,402.083,1.00147,0.136174,1077.64,3.60771,16.4096,119.685,37.2927,1.49388,5.32198,664.888,0.0116134,247.69,23.8732,1078.17,2.23456,0.0126483,0.864405,52.5836,115.969,2.14121,31.4118,0.0388777,2.41952,1.3676,0.717985,28.478,0.0146228,12.0361,0.0818191,0.00163683,0.120682,5.10551,0.183645,54.3328,11.4189,0.0209635,1.27752,4.51735,1.08477,89.6108,1.00355,20.4222,0.152129,1.00704,1.01136,7.59287,0.372918,14.6864,5.2546
"2018-01-11 03:59:22",13603.1,1327.8,1.82145,2744.81,9.78228,0.542376,233.499,0.780924,350.528,1.01052,0.126437,1076.22,3.76161,15.5747,121.924,37.7925,1.2724,4.96815,724.565,0.0115984,234.092,20.4504,1086.52,2.15133,0.0111587,0.768766,52.9188,107.816,2.17275,28.9361,0.0395225,2.304,1.32703,0.637894,25.5885,0.013682,11.4795,0.0649972,0.00169047,0.105651,4.55575,0.166831,50.9076,11.2855,0.0210339,1.20924,3.95141,0.936002,100.092,1.00211,18.7443,0.155684,1.00683,1.01037,7.4822,0.341235,16.985,5.16421
