"Item","IteminPlot","StationaryDistributionValue"
"Hong_Kong_dollar","FXHKDCAD",0.0588269737027711
"Thai_baht","FXTHBCAD",0.0580708520849914
"US_dollar","FXUSDCAD",0.058058658202192
"Saudi_riyal","FXSARCAD",0.0564792747443953
"Taiwanese_dollar","FXTWDCAD",0.0559804185194262
"Peruvian_new_sol","FXPENCAD",0.0544179121253362
"Malaysian_ringgit","FXMYRCAD",0.0528483717196214
"Chinese_renminbi","FXCNYCAD",0.0516515711334327
"Singapore_dollar","FXSGDCAD",0.0497364926900048
"Indian_rupee","FXINRCAD",0.0489233430870358
"Turkish_lira","FXTRYCAD",0.0485571230149164
"UK_pound_sterling","FXGBPCAD",0.0432437471388207
"Indonesian_rupiah","FXIDRCAD",0.0417902374269641
"Japanese_yen","FXJPYCAD",0.0406241991790934
"South_Korean_won","FXKRWCAD",0.0404791828493175
"Vietnamese_dong","FXVNDCAD",0.0376609132961761
"Russian_ruble","FXRUBCAD",0.0374113567473653
"Swiss_franc","FXCHFCAD",0.0285791871267352
"South_African_rand","FXZARCAD",0.0253931103260065
"European_euro","FXEURCAD",0.0233228592760278
"Brazilian_real","FXBRLCAD",0.0197329614692979
"Mexican_peso","FXMXNCAD",0.0187702211766177
"New_Zealand_dollar","FXNZDCAD",0.0177602955540572
"Norwegian_krone","FXNOKCAD",0.015063647645796
"Australian_dollar","FXAUDCAD",0.0103109169168653
"Swedish_krona","FXSEKCAD",0.00630617284673551
