"Item","IteminPlot","StationaryDistributionValue","Membership"
"Vietnamese dong to CAD$  ","FXUSDCAD",0.00300351146766023,4
"Indonesian rupiah to CAD$  ","FXHKDCAD",0.00471868723984932,4
"Mexican peso to CAD$  ","FXSARCAD",0.0106265636490903,4
"New Zealand dollar to CAD$  ","FXTHBCAD",0.0106450921117041,1
"South African rand to CAD$  ","FXSGDCAD",0.0107638098603536,1
"Russian ruble to CAD$  ","FXTWDCAD",0.0115811120447734,1
"Turkish lira to CAD$  ","FXPENCAD",0.0120034641492959,4
"Brazilian real to CAD$  ","FXCNYCAD",0.0125928857847365,1
"Australian dollar to CAD$ ","FXMYRCAD",0.0126827976840262,4
"UK pound sterling to CAD$  ","FXINRCAD",0.0130972172030826,1
"Norwegian krone to CAD$  ","FXEURCAD",0.0189768825571579,3
"Japanese yen to CAD$  ","FXCHFCAD",0.0202122475255839,3
"Swedish krona to CAD$  ","FXKRWCAD",0.0228732304689304,1
"South Korean won to CAD$  ","FXSEKCAD",0.0234833593912898,3
"Swiss franc to CAD$  ","FXJPYCAD",0.0304817963065759,3
"European euro to CAD$  ","FXNOKCAD",0.0350777176247914,3
"Indian rupee to CAD$  ","FXGBPCAD",0.0442221987856033,3
"Malaysian ringgit to CAD$  ","FXAUDCAD",0.0573804273787236,3
"Chinese renminbi to CAD$  ","FXBRLCAD",0.0614050680335919,2
"Peruvian new sol to CAD$  ","FXTRYCAD",0.0647743492778548,2
"Taiwanese dollar to CAD$  ","FXRUBCAD",0.0724985937886817,2
"Singapore dollar to CAD$  ","FXZARCAD",0.0767475476194474,2
"Thai baht to CAD$  ","FXNZDCAD",0.076821517682918,3
"Saudi riyal to CAD$  ","FXMXNCAD",0.0960958306665865,2
"Hong Kong dollar to CAD$  ","FXIDRCAD",0.0969261992819207,4
"US dollar to CAD$  ","FXVNDCAD",0.10030789241577,4
