"Item","IteminPlot","StationaryDistributionValue"
"Indian Rupee (INR)","XUDLBK97",0.0949963498413801
"Turkish Lira (TRY)","XUDLBK95",0.082269797236945
"Saudi Riyal (SAR)","XUDLSRS",0.0777889456894213
"Hong Kong Dollar (HKD)","XUDLHDS",0.0776377377961363
"New Taiwan Dollar (TWD)","XUDLTWS",0.0576314152981644
"Australian Dollar (AUD)","XUDLADS",0.0569975794458282
"Singapore Dollar (SGD)","XUDLSGS",0.0535813203034251
"Israeli Shekel (NIS)","XUDLBK78",0.0515571856667493
"Swedish Krona (SEK)","XUDLSKS",0.0477330051209013
"Swiss Franc (CHF)","XUDLSFS",0.0474049407235451
"New Zealand Dollar (NZD)","XUDLNDS",0.046049509930776
"Canadian Dollar (CAD)","XUDLCDS",0.0447587880128579
"Lithuanian Litas (LTL)","XUDLBK36",0.0321750360609788
"Norwegian Krone (NOK)","XUDLNKS",0.0314132388459828
"Japanese Yen (JPY)","XUDLJYS",0.03016704556425
"Russian Ruble (RUB)","XUDLBK85",0.0289904399628672
"Hungarian Forint (HUF)","XUDLBK33",0.0252630582125867
"Danish Krone (DKK)","XUDLDKS",0.024281476731992
"Czech Koruna (CZK)","XUDLBK25",0.0172993005092631
"Chinese Yuan (CNY)","XUDLBK89",0.0138829974220501
"Polish Zloty (PLN)","XUDLBK47",0.0119872388291059
"Thai Baht (THB)","XUDLBK87",0.0118742292021197
"South Korean Won (KRW)","XUDLBK93",0.010053101718878
"South African Rand (ZAR)","XUDLZRS",0.00950428414383825
"Malaysian Ringgit (MYR)","XUDLBK83",0.00869971435804895
"Pound Sterling (GBP)","XUDLGBG",0.0060022633719082
