"Item","IteminPlot","StationaryDistributionValue"
"Czech Koruna (CZK)","XUDLBK27",0.0941778455952708
"Thai Baht (THB)","XUDLBK72",0.0874294847754746
"Polish Zloty (PLN)","XUDLBK49",0.0862927614719045
"Danish Krone (DKK)","XUDLDKD",0.0791289496791747
"Hungarian Forint (HUF)","XUDLBK35",0.0776545139376288
"Hong Kong Dollar (HKD)","XUDLHDD",0.0698315208930679
"New Taiwan Dollar (TWD)","XUDLTWD",0.0567392927650599
"Israeli Shekel (NIS)","XUDLBK65",0.0545147661520639
"Singapore Dollar (SGD)","XUDLSGD",0.041521621583929
"Chinese Yuan (CNY)","XUDLBK73",0.036822377277474
"Swedish Krona (SEK)","XUDLSKD",0.0360602082889112
"Indian Rupee (INR)","XUDLBK64",0.0342217562631428
"Lithuanian Litas (LTL)","XUDLBK38",0.0314762836723753
"Malaysian Ringgit (MYR)","XUDLBK66",0.0296256556926389
"Canadian Dollar (CAD)","XUDLCDD",0.0271270310875987
"Pound Sterling (GBP)","XUDLGBD",0.0254787013166259
"South African Rand (ZAR)","XUDLZRD",0.0186396641166132
"Australian Dollar (AUD)","XUDLADD",0.0181722421059045
"South Korean Won (KRW)","XUDLBK74",0.017403969686487
"Russian Ruble (RUB)","XUDLBK69",0.01647302662909
"Norwegian Krone (NOK)","XUDLNKD",0.0161444110067805
"Turkish Lira (TRY)","XUDLBK75",0.0154410507563478
"Swiss Franc (CHF)","XUDLSFD",0.0127661622410669
"Japanese Yen (JPY)","XUDLJYD",0.009460803832789
"New Zealand Dollar (NZD)","XUDLNDD",0.00466640981837373
"Saudi Riyal (SAR)","XUDLSRD",0.00272948935420647
