"Item","IteminPlot","StationaryDistributionValue"
"Turkish Lira (TRY)","EURTRY",0.0865813247410387
"Brazilian Real (BRL)","EURBRL",0.0753120768254344
"Indonesian Rupiah (IDR)","EURIDR",0.0742667485624752
"Indian Rupee (INR)","EURINR",0.0610394930919656
"Philippine Peso (PHP)","EURPHP",0.0576372713615736
"Swedish Krona (SEK)","EURSEK",0.0557724992150037
"Australian Dollar (AUD)","EURAUD",0.0557696499509667
"Canadian Dollar (CAD)","EURCAD",0.0488949897557513
"Hong Kong Dollar (HKD)","EURHKD",0.0374303305852075
"US Dollar (USD)","EURUSD",0.0373530894043506
"Czech Koruna (CZK)","EURCZK",0.0370071077172853
"Romanian Leu (RON)","EURRON",0.0367656331214508
"Mexican Peso (MXN)","EURMXN",0.0340868429786832
"New Zealand Dollar (NZD)","EURNZD",0.029102600769323
"Malaysian Ringgit (MYR)","EURMYR",0.0274592804922805
"Swiss Franc (CHF)","EURCHF",0.0274022605771592
"Singapore Dollar (SGD)","EURSGD",0.0257843661503759
"Danish Krone (DKK)","EURDKK",0.0233670703296584
"Russian Rubble (RUB)","EURRUB",0.0221243499614241
"New Israeli Shekel (ILS)","EURILS",0.0188878970925717
"Croatian Kuna (HRK)","EURHRK",0.0177879935308286
"Norwegian Krone (NOK)","EURNOK",0.0155367369010589
"Thai Baht (THB)","EURTHB",0.0155336290647304
"Chinese Yuan (CNY)","EURCNY",0.0152629711085703
"Korean Won (KRW)","EURKRW",0.0138224138249226
"Hungarian Forint (HUF)","EURHUF",0.013436831988559
"Japanese Yen (JPY)","EURJPY",0.0112847838005402
"South African Rand (ZAR)","EURZAR",0.0108048334009732
"Polish Zloty (PLN)","EURPLN",0.0100919885803486
"British Pound (GBP)","EURGBP",0.00439293511548832
