"Item","IteminPlot","StationaryDistributionValue","Group","SharpeCoeff.10.","SharpeCoeff.25.","SharpeCoeff.35.","SharpeCoeff.45.","SharpeCoeff.50.","SharpeCoeff.65.","SharpeCoeff.75.","SharpeCoeff.85.","SharpeCoeff.95."
"Singapore Dollar (SGD)","EURSGD",0.0843808633730745,3,-0.472736495311922,-0.274611166647086,-0.147934084994307,-0.0293196589024863,0.0201618875531042,0.14224458346269,0.237045299403435,0.436178915046368,0.594020854882282
"Hong Kong Dollar (HKD)","EURHKD",0.082713334581775,3,-0.550065541147779,-0.23415136921247,-0.131708951116699,0.0178274166067585,0.0670853080558834,0.200526825096571,0.341585391938232,0.524749211722532,0.820851186475932
"US Dollar (USD)","EURUSD",0.0824922606332117,3,-0.55850229352218,-0.23517455665937,-0.124504588856336,0.0131691119670903,0.0545973751272214,0.201566201991349,0.321842385978639,0.506231958113118,0.823477809630172
"Indonesian Rupiah (IDR)","EURIDR",0.0680207439846779,3,-0.411902071759788,-0.169170732054487,-0.0639400977350442,0.0552197466049769,0.114524581845261,0.266935565752865,0.358664042149739,0.530692033244835,0.907267748832199
"Thai Baht (THB)","EURTHB",0.0586452908286784,3,-0.596206556457107,-0.331919023534605,-0.160487841991256,-0.0595385839431453,-0.0145758798523481,0.114163987689641,0.201653416695168,0.396384675831888,0.641832408779363
"Chinese Yuan (CNY)","EURCNY",0.0504845271049264,3,-0.643857505498468,-0.311856695422622,-0.139070755653558,-0.0360649389499098,0.00777319151993172,0.125253657349572,0.224748423409946,0.335997889245125,0.625645635538511
"Philippine Peso (PHP)","EURPHP",0.0496938069796933,3,-0.637382342236018,-0.176034667684865,-0.0124632328937146,0.056142207577807,0.0916072183475266,0.26804307716986,0.415212461277157,0.574505897854243,0.995424746926991
"Malaysian Ringgit (MYR)","EURMYR",0.0435066535982717,3,-0.508489087679892,-0.328403942388306,-0.169438898110421,-0.0840127688536895,-0.0353948608973001,0.121892437572645,0.229738854683231,0.381410341940167,0.622011680153307
"Indian Rupee (INR)","EURINR",0.039286032517913,3,-0.460952215216609,-0.159242326668703,-0.0563671635319879,0.036683251866786,0.0713998247864079,0.243063767110288,0.373447579425117,0.553444076469789,0.776042444327629
"Australian Dollar (AUD)","EURAUD",0.0311057774007615,1,-0.495365933376284,-0.216212775663676,-0.0921246711192588,0.00166975178785401,0.0486335489567795,0.172259957393275,0.282952261179671,0.480853353385775,0.708174324079006
