"Item","IteminPlot","StationaryDistributionValue"
"Thai Baht (THB)","DEXTHUS",0.113528768896744
"Singapore Dollar (SGD)","DEXSIUS",0.110639849425896
"Malaysian Ringgit (MYR)","DEXMAUS",0.0951888049633054
"Chinese Yuan (CNY))","DEXCHUS",0.0900370810391273
"Euro (EUR)","DEXUSEU",0.0819540243640067
"New Taiwan Dollar (TWD)","DEXTAUS",0.0787937659682202
"Denish Krone (DKK)","DEXDNUS",0.0775654732649229
"South African Rand(ZAR)","DEXSFUS",0.0600922731584699
"British Pound (GBP)","DEXUSUK",0.0402574160113157
"South Korean Won (KRW)","DEXKOUS",0.0380464494963156
"Swedish Krona (SEK)","DEXSDUS",0.0316839896687993
"Norwegian Krone(NOK)","DEXNOUS",0.0260393093394882
"Canadaian Dollar (CAD)","DEXCAUS",0.0254014877328235
"Sri Lankan Rupee(LKR)","DEXSLUS",0.0204054360799929
"Australian Dollar (AUD)","DEXUSAL",0.0189467874229248
"Hong Kong Dollar (HKD)","DEXHKUS",0.0179236816127615
"Japanese Yen (JPY)","DEXJPUS",0.0163832488511297
"Venezuelan Bolivar (VEF)","DEXVZUS",0.0131400682938199
"Swiss Franc (CHF)","DEXSZUS",0.0118457354730269
"New Zealand Dollar (NZD)","DEXUSNZ",0.0107656313724505
"Mexican Peso (MXN)","DEXMXUS",0.00899343916836396
"Indian Rupee (INR)","DEXINUS",0.00625437165633845
"Brazilian Real (BRL)","DEXBZUS",0.006112906739756
