"Item","IteminPlot","StationaryDistributionValue"
"Euro (EUR)","DEXUSEU",0.104909909379976
"Denish Krone (DKK)","DEXDNUS",0.103182581628824
"Singapore Dollar (SGD)","DEXSIUS",0.0993638984022659
"Australian Dollar (AUD)","DEXUSAL",0.0622114212675474
"Norwegian Krone(NOK)","DEXNOUS",0.0610754501924424
"Swedish Krona (SEK)","DEXSDUS",0.0607274890293049
"British Pound (GBP)","DEXUSUK",0.0529048344243012
"Malaysian Ringgit (MYR)","DEXMAUS",0.045223460252044
"Thai Baht (THB)","DEXTHUS",0.0438185253711179
"Swiss Franc (CHF)","DEXSZUS",0.0416676741703569
"New Zealand Dollar (NZD)","DEXUSNZ",0.0412442782639038
"New Taiwan Dollar (TWD)","DEXTAUS",0.04014845464105
"Chinese Yuan (CNY))","DEXCHUS",0.0351125797422915
"Canadaian Dollar (CAD)","DEXCAUS",0.0285473511078043
"Brazilian Real (BRL)","DEXBZUS",0.0263521467349309
"Japanese Yen (JPY)","DEXJPUS",0.024767668521422
"South Korean Won (KRW)","DEXKOUS",0.0244644587916908
"Indian Rupee (INR)","DEXINUS",0.0235266973709076
"Mexican Peso (MXN)","DEXMXUS",0.0226227844904087
"South African Rand(ZAR)","DEXSFUS",0.0173345625911464
"Sri Lankan Rupee(LKR)","DEXSLUS",0.0162497700845498
"Hong Kong Dollar (HKD)","DEXHKUS",0.0160716304304872
"Venezuelan Bolivar (VEF)","DEXVZUS",0.00847237311122604
