"Item","IteminPlot","StationaryDistributionValue"
"Thai baht to CAD$  ","FXTHBCAD",0.0826458489092387
"Malaysian ringgit to CAD$  ","FXMYRCAD",0.0796720695134426
"Chinese renminbi to CAD$  ","FXCNYCAD",0.0646420522749684
"Hong Kong dollar to CAD$  ","FXHKDCAD",0.0592926750676212
"Taiwanese dollar to CAD$  ","FXTWDCAD",0.0572400213930191
"UK pound sterling to CAD$  ","FXGBPCAD",0.0566025763175154
"Singapore dollar to CAD$  ","FXSGDCAD",0.0558560730458141
"US dollar to CAD$  ","FXUSDCAD",0.0554915782254176
"Saudi riyal to CAD$  ","FXSARCAD",0.0539659067893346
"Peruvian new sol to CAD$  ","FXPENCAD",0.0459570795324692
"Indian rupee to CAD$  ","FXINRCAD",0.044355020983708
"Turkish lira to CAD$  ","FXTRYCAD",0.0438757986307105
"South Korean won to CAD$  ","FXKRWCAD",0.043321266609734
"Japanese yen to CAD$  ","FXJPYCAD",0.0409252343629047
"Indonesian rupiah to CAD$  ","FXIDRCAD",0.0346829655125417
"Vietnamese dong to CAD$  ","FXVNDCAD",0.0268285098934306
"Russian ruble to CAD$  ","FXRUBCAD",0.0258352680529637
"European euro to CAD$  ","FXEURCAD",0.0247665767760764
"Swiss franc to CAD$  ","FXCHFCAD",0.019786494045617
"South African rand to CAD$  ","FXZARCAD",0.0180520978827732
"Mexican peso to CAD$  ","FXMXNCAD",0.017041892405848
"Brazilian real to CAD$  ","FXBRLCAD",0.0133522849968024
"New Zealand dollar to CAD$  ","FXNZDCAD",0.0123540105139519
"Norwegian krone to CAD$  ","FXNOKCAD",0.0119244532239502
"Swedish krona to CAD$  ","FXSEKCAD",0.0059264601484137
"Australian dollar to CAD$ ","FXAUDCAD",0.00560578489173276
