"Item","IteminPlot","StationaryDistributionValue"
"Indonesian Rupiah (IDR)","EURIDR",0.119784223546541
"Indian Rupee (INR)","EURINR",0.0959968922445173
"Philippine Peso (PHP)","EURPHP",0.0947286506965632
"Hong Kong Dollar (HKD)","EURHKD",0.0917725036665574
"US Dollar (USD)","EURUSD",0.081283138852281
"Turkish Lira (TRY)","EURTRY",0.0653387258413521
"Brazilian Real (BRL)","EURBRL",0.0567412991758781
"Singapore Dollar (SGD)","EURSGD",0.0408173133276426
"Canadian Dollar (CAD)","EURCAD",0.0387065531967918
"Australian Dollar (AUD)","EURAUD",0.038314287939055
"Swiss Franc (CHF)","EURCHF",0.0322554523981684
"Czech Koruna (CZK)","EURCZK",0.0311013634400857
"Swedish Krona (SEK)","EURSEK",0.0291057621015892
"Mexican Peso (MXN)","EURMXN",0.0252925900291875
"Romanian Leu (RON)","EURRON",0.0242215203441535
"New Zealand Dollar (NZD)","EURNZD",0.0231800444762198
"New Israeli Shekel (ILS)","EURILS",0.0230006768533345
"Malaysian Ringgit (MYR)","EURMYR",0.0111460237299882
"Japanese Yen (JPY)","EURJPY",0.00883834574318351
"Russian Rubble (RUB)","EURRUB",0.00876167591665907
"Korean Won (KRW)","EURKRW",0.00838380995439309
"South African Rand (ZAR)","EURZAR",0.00797825060148571
"Norwegian Krone (NOK)","EURNOK",0.00682064193504119
"Croatian Kuna (HRK)","EURHRK",0.00675778813870394
"Thai Baht (THB)","EURTHB",0.00653666277566287
"Polish Zloty (PLN)","EURPLN",0.00569003739415231
"Danish Krone (DKK)","EURDKK",0.00563221046522644
"British Pound (GBP)","EURGBP",0.00424788669113577
"Chinese Yuan (CNY)","EURCNY",0.00412955454493909
"Hungarian Forint (HUF)","EURHUF",0.00343611397951137
