"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","COUNTRY"
"AFN",0.00536,1,-0.00622,-0.00202,-7e-04,0,0,0.00083,0.00253,0.00462,0.0101,"Afghani"
"ALL",0.00773,1,-0.01371,-0.00417,-0.00279,-0.00094,0,0.00242,0.00468,0.00872,0.01726,"Lek"
"BND",0.00732,1,-0.00745,-0.00206,-0.00094,-0.00023,-8e-05,0.00028,0.00128,0.00328,0.01343,"Brunei Dollar"
"BHD",0.0049,1,-0.00128,-0.00024,-0.00011,-5e-05,0,0.00011,0.00024,6e-04,0.00639,"Bahraini Dinar"
"BDT",0.00557,1,-0.00673,-0.00226,-0.00068,0,0,0.00105,0.00258,0.00509,0.01548,"Taka"
"COP",0.00479,1,-0.01292,-0.00588,-0.00321,-0.00105,-0.00031,0.00308,0.00589,0.00933,0.02143,"Colombian Peso Unidad de Valor Real"
"CLP",0.00449,1,-0.01124,-0.00405,-0.00209,-0.00046,0.00033,0.00311,0.00543,0.00749,0.01604,"Chilean Peso Unidades de fomento"
"EGP",0.00479,1,-0.00188,-0.00092,-0.00045,-0.00019,-3e-05,4e-04,0.00074,0.00155,0.00294,"Egyptian Pound"
"HNL",0.00606,1,-0.0106,-0.00128,-0.00042,0,0,0.00043,0.0016,0.00581,0.01407,"Lempira"
"KES",0.00354,1,-0.00305,-0.00108,-0.00034,-1e-04,-6e-05,0.00015,0.00085,0.00199,0.0051,"Kenyan Shilling"
"KHR",0.0054,1,-0.01548,-0.002,-5e-04,0,0,5e-04,0.00203,0.01323,0.01929,"Riel"
"KZT",0.00743,1,-0.00672,-0.00227,-0.00102,-0.00017,0.00041,0.00193,0.00324,0.00519,0.00901,"Tenge"
"LKR",0.01578,1,-0.00528,-0.00133,-0.00035,0.00013,0.00032,0.00107,0.00173,0.00388,0.01523,"Sri Lanka Rupee"
"MAD",0.00544,1,-0.02414,-0.00298,-0.00166,-0.00043,1e-04,0.00159,0.00373,0.01904,0.02682,"Moroccan Dirham"
"MZN",0.00496,1,-0.00171,-0.00099,-5e-04,-0.00017,-0.00016,0,0.00017,0.00067,0.00193,"Metical"
"PEN",0.00809,1,-0.01597,-0.00259,-0.00136,-4e-04,6e-05,0.00154,0.003,0.00588,0.02042,"Nuevo Sol"
"SCR",0.00429,1,-0.02216,-0.00531,-0.00087,-0.00024,0,0.00053,0.00561,0.01318,0.03821,"Seychelles Rupee"
"SDG",0.01123,1,-0.00388,-0.00133,-0.00044,-0.00014,2e-05,0.00055,0.00145,0.00275,0.00585,"Sudanese Pound"
"TZS",0.01292,1,-0.00425,-0.00158,-0.00058,-0.00014,9e-05,0.00066,0.00186,0.00322,0.0103,"Tanzanian Shilling"
"TTD",0.01053,1,-0.00479,-0.00186,-0.00081,-0.00015,0,0.00066,0.00164,0.0033,0.00934,"Trinidad and Tobago Dollar"
"VND",0.01713,1,-0.00478,-0.00089,-0.00022,0,4e-05,0.00034,0.00115,0.0038,0.01165,"Dong"
"UYU",0.01063,1,-0.00628,-0.00293,-0.00161,-0.00058,0,0.00145,0.00319,0.00539,0.01429,"Peso Uruguayo Uruguay Peso en Unidades Indexadas"
"CAD",0.00616,2,-0.00514,-0.00264,-0.00131,-0.00023,4e-04,0.00173,0.00294,0.00442,0.00718,"Canadian Dollar"
"AUD",0.01039,2,-0.00544,-0.00297,-0.00161,-0.00048,0.00014,0.0018,0.00354,0.00522,0.00881,"Australian Dollar"
"CNY",0.00484,2,-0.00308,-0.00139,-7e-04,-0.00023,5e-05,0.00092,0.00162,0.00276,0.00491,"Yuan Renminbi"
"ARS",0.00511,2,-0.00591,-0.00229,-8e-04,0.00029,0.00061,0.00269,0.00425,0.00755,0.01656,"Argentine Peso"
"BWP",0.00685,2,-0.00714,-0.00369,-0.00158,-0.00019,3e-04,0.00188,0.00366,0.00588,0.00977,"Pula"
"BRL",0.00467,2,-0.0081,-0.00355,-0.00111,-0.00015,0.00056,0.00328,0.00619,0.00875,0.01506,"Brazilian Real"
"FJD",0.00454,2,-0.0067,-0.00264,-0.00082,0,0,0.00183,0.0033,0.00526,0.00924,"Fiji Dollar"
"HKD",0.00365,2,-0.00027,-1e-04,-4e-05,0,2e-05,9e-05,0.00017,0.00026,0.00049,"Hong Kong Dollar"
"IDR",0.00525,2,-0.00332,-0.00111,-7e-04,0,0.00015,0.00096,0.00167,0.00329,0.00537,"Rupiah"
"INR",0.00657,2,-0.00359,-0.00192,-0.00104,-0.00021,0.00013,0.00125,0.00218,0.00374,0.00677,"Indian Rupee"
"KRW",0.00585,2,-0.00601,-0.00318,-0.00171,-0.00056,-0.00011,0.00173,0.00299,0.00478,0.0076,"Won"
"KMF",0.00612,2,-0.00577,-0.0025,-0.00123,0,0,0.00085,0.00287,0.00418,0.00708,"Comoro Franc"
"LSL",0.00493,2,-0.01075,-0.00507,-0.00188,0,0,0.00237,0.00559,0.00818,0.01837,"Rand Loti"
"MYR",0.00437,2,-0.0036,-0.00151,-0.00082,-0.00013,0,7e-04,0.00133,0.0025,0.00373,"Malaysian Ringgit"
"MUR",0.00458,2,-0.0073,-0.00333,-0.00165,-0.00037,-9e-05,0.00141,0.00342,0.00632,0.01103,"Mauritius Rupee"
"MXN",0.00476,2,-0.00778,-0.0041,-0.00284,-0.00123,-0.00012,0.00271,0.00484,0.0072,0.01185,"Mexican Peso Mexican Unidad de Inversion (UDI)"
"NAD",0.00558,2,-0.01107,-0.00539,-0.00251,-0.00043,0,0.00239,0.0056,0.00872,0.01971,"Rand Namibia Dollar"
"NZD",0.00707,2,-0.00651,-0.00314,-0.00191,-0.00055,0.00072,0.00277,0.00381,0.0059,0.00862,"New Zealand Dollar"
"PHP",0.0041,2,-0.00383,-0.00186,-0.00127,-0.00052,0,0.00139,0.00255,0.00357,0.00534,"Philippine Peso"
"PGK",0.00484,2,-0.01011,-0.00238,-0.00112,-0.00021,0,0.0014,0.0027,0.00588,0.02053,"Kina"
"RUB",0.00524,2,-0.00807,-0.00405,-0.00246,-0.00037,0.00058,0.00256,0.00476,0.00677,0.01059,"Russian Ruble"
"SGD",0.01541,2,-0.00338,-0.00171,-0.00091,-0.00035,-7e-05,0.00098,0.00179,0.00269,0.0045,"Singapore Dollar"
"SZL",0.0083,2,-0.01299,-0.00675,-0.00396,-0.00082,0,0.00375,0.00668,0.01165,0.01874,"Lilangeni"
"TWD",0.00553,2,-0.00344,-0.00137,-0.00066,-0.00014,3e-05,0.00089,0.00153,0.00269,0.00428,"New Taiwan Dollar"
"TRY",0.00502,2,-0.0092,-0.0045,-0.00171,-8e-05,0.00076,0.00371,0.00699,0.01014,0.01972,"Turkish Lira"
"THB",0.00856,2,-0.00305,-0.00172,-0.00117,-6e-04,-0.00025,0.00061,0.00186,0.00286,0.00443,"Baht"
"XOF",0.00485,2,-0.0075,-0.0038,-0.00222,-0.00076,-5e-05,0.0019,0.00384,0.00621,0.01352,"CFA Franc BCEAO"
"UZS",0.0071,2,-0.00366,-0.00144,-0.00063,-0.00027,-0.00012,0.00035,0.00127,0.00259,0.00574,"Uzbekistan Sum"
"ZAR",0.00758,2,-0.01059,-0.00516,-0.00363,-0.00134,-3e-04,0.00376,0.00568,0.00945,0.01603,"Rand"
"ANG",0.021,3,-0.00342,-0.00092,-0.00046,-0.00011,-6e-05,4e-04,0.00121,0.00322,0.00616,"Netherlands Antillian Guilder"
"BZD",0.02615,3,-0.00359,-0.00086,-0.00038,-0.00014,0,0.00041,0.00092,0.00226,0.00577,"Belize Dollar"
"BBD",0.03072,3,-0.00344,-0.00092,-0.00046,-0.00015,0,0.00041,0.00097,0.00235,0.00561,"Barbados Dollar"
"CUP",0.02543,3,-0.00321,-9e-04,-0.00056,-0.00014,0,0.00049,0.00104,0.00228,0.00582,"Cuban Peso Peso Convertible"
"CRC",0.01882,3,-0.00377,-0.00135,-0.00061,-0.00016,2e-05,0.00052,0.00105,0.00273,0.0059,"Costa Rican Colon"
"GHS",0.0044,3,-0.00705,-0.00224,-0.00087,0,0.00011,0.00136,0.00276,0.00511,0.01053,"Cedi"
"GTQ",0.02414,3,-0.00335,-0.00088,-0.00039,-7e-05,8e-05,6e-04,0.00134,0.00257,0.00597,"Quetzal"
