"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","COUNTRY"
"AFN",0.00468,1,-0.2694,-0.10072,-0.03418,0.00953,0.0366,0.13073,0.17988,0.29541,0.47722,"Afghani"
"ANG",0.01071,1,-0.21266,-0.09774,-0.04276,0,0.01798,0.0811,0.1616,0.27995,0.40153,"Netherlands Antillian Guilder"
"BHD",0.00348,1,-0.27853,-0.0422,-0.00443,0,0.00113,0.04208,0.08909,0.22186,0.40711,"Bahraini Dinar"
"BZD",0.01586,1,-0.241,-0.10793,-0.06753,-0.02529,-0.00424,0.04652,0.08339,0.18569,0.32632,"Belize Dollar"
"BDT",0.00458,1,-0.2768,-0.11581,-0.03731,0,0.00904,0.06903,0.16848,0.26442,0.45092,"Taka"
"BBD",0.01732,1,-0.26291,-0.10385,-0.06694,-0.0171,0,0.04523,0.0813,0.17649,0.32746,"Barbados Dollar"
"CUP",0.01468,1,-0.24459,-0.12332,-0.06836,-0.02398,0,0.05051,0.09439,0.18479,0.33208,"Cuban Peso Peso Convertible"
"CRC",0.0068,1,-0.34863,-0.16821,-0.1037,-0.04195,-0.0193,0.07138,0.13938,0.23738,0.46031,"Costa Rican Colon"
"GHS",0.00581,1,-0.35207,-0.12739,-0.03736,0.02315,0.08665,0.19536,0.28682,0.39375,0.66709,"Cedi"
"GTQ",0.01107,1,-0.19949,-0.07953,-0.02885,0.03033,0.05081,0.13725,0.23469,0.33194,0.55619,"Quetzal"
"GYD",0.00427,1,-0.22453,-0.09402,-0.04579,-0.0107,0.00018,0.06859,0.12575,0.19876,0.34752,"Guyana Dollar"
"HNL",0.0046,1,-0.31427,-0.103,-0.014,0,0.00918,0.06234,0.09705,0.27419,0.42446,"Lempira"
"HTG",0.00402,1,-0.47226,-0.15464,-0.06123,-0.00068,0.03724,0.15225,0.23866,0.3376,0.52743,"Gourde US Dollar"
"JMD",0.00539,1,-0.4316,-0.22809,-0.11802,-0.03081,0.00329,0.12231,0.25927,0.4428,0.7452,"Jamaican Dollar"
"KES",0.00397,1,-0.52591,-0.29155,-0.173,-0.04572,-0.02229,0.04846,0.13353,0.33549,0.63731,"Kenyan Shilling"
"KHR",0.00468,1,-0.27089,-0.09344,-0.02494,0,0.00826,0.0451,0.10633,0.21837,0.39239,"Riel"
"KYD",0.0186,1,-0.24694,-0.10999,-0.06724,-0.01354,0.00196,0.04472,0.08342,0.179,0.31934,"Cayman Islands Dollar"
"LKR",0.00743,1,-0.26019,-0.06719,-0.02062,0.01407,0.03686,0.10878,0.23339,0.39263,0.61311,"Sri Lanka Rupee"
"MOP",0.01387,1,-0.262,-0.09366,-0.04785,-0.00226,0.01819,0.06657,0.1286,0.21776,0.44884,"Pataca"
"MMK",0.00561,1,-0.36309,-0.15492,-0.08858,-0.02896,0.00468,0.09312,0.16226,0.33934,0.76666,"Kyat"
"MDL",0.00608,1,-0.58291,-0.33507,-0.22735,-0.16138,-0.10093,0.02948,0.14357,0.31307,0.84881,"Moldovan Leu"
"MGA",0.00388,1,-0.36634,-0.11034,-0.02387,0.00051,0.0415,0.20667,0.30406,0.40802,0.77433,"Malagasy Ariary"
"PGK",0.00392,1,-0.23725,-0.08265,-0.02178,0,0.00581,0.06612,0.13379,0.24065,0.43564,"Kina"
"PEN",0.00488,1,-0.30371,-0.11919,-0.04868,-0.01264,-0.00106,0.04445,0.15662,0.29729,0.56362,"Nuevo Sol"
"PYG",0.00598,1,-0.36047,-0.139,-0.07725,-0.01031,0.02092,0.09637,0.20424,0.39124,0.73709,"Guarani"
"PAB",0.01704,1,-0.24972,-0.11072,-0.06915,-0.03305,-0.00027,0.0445,0.08344,0.17925,0.32653,"Balboa US Dollar"
"SVC",0.01878,1,-0.26362,-0.1073,-0.06218,-0.02089,-0.00105,0.04294,0.08338,0.18594,0.32635,"El Salvador Colon US Dollar"
"SDG",0.0087,1,-0.30037,-0.10697,-0.05349,-0.00555,0.0051,0.05744,0.13958,0.26599,0.43236,"Sudanese Pound"
"TZS",0.00698,1,-0.26268,-0.07342,-0.03523,-0.00317,0.00514,0.06814,0.13475,0.24187,0.43831,"Tanzanian Shilling"
"TTD",0.00689,1,-0.34724,-0.14294,-0.08047,-0.02467,6e-05,0.05764,0.10276,0.20339,0.41757,"Trinidad and Tobago Dollar"
"VND",0.00747,1,-0.22388,-0.06536,-0.01431,0.00159,0.00984,0.06192,0.14841,0.33352,0.70749,"Dong"
"UZS",0.00498,1,-0.49753,-0.23706,-0.14805,-0.08854,-0.03404,0.0743,0.11696,0.2252,0.40211,"Uzbekistan Sum"
"UAH",0.00443,1,-0.47064,-0.23235,-0.10553,0.03222,0.078,0.24134,0.34957,0.48835,0.73775,"Hryvnia"
"UGX",0.00568,1,-0.26733,-0.08946,-0.02168,0.04562,0.08715,0.23416,0.32382,0.6156,0.93818,"Uganda Shilling"
"UYU",0.00456,1,-0.29255,-0.14626,-0.07663,-0.02192,0.00323,0.151,0.23986,0.37277,0.64697,"Peso Uruguayo Uruguay Peso en Unidades Indexadas"
"CAD",0.00621,2,-0.51856,-0.24181,-0.12786,-0.03791,0.00685,0.27675,0.3972,0.59275,0.90599,"Canadian Dollar"
"AUD",0.0098,2,-0.58412,-0.2986,-0.13451,-0.02333,0.03266,0.20526,0.33378,0.55231,0.84882,"Australian Dollar"
"CNY",0.00645,2,-0.59852,-0.33888,-0.21352,-0.06717,0.00206,0.13112,0.29396,0.48598,0.86438,"Yuan Renminbi"
"ARS",0.00356,2,-0.42829,-0.15587,-0.03295,0.09067,0.13973,0.32743,0.44572,0.64005,0.97538,"Argentine Peso"
"BND",0.00489,2,-0.42104,-0.22792,-0.13612,-0.04133,-0.01206,0.06128,0.12091,0.22636,0.49425,"Brunei Dollar"
"BRL",0.00451,2,-0.30293,-0.11189,-0.04273,0.04456,0.10137,0.22836,0.37949,0.51531,0.71084,"Brazilian Real"
"CLP",0.00447,2,-0.42325,-0.20391,-0.10395,-0.04371,-0.01589,0.11593,0.23968,0.38646,0.79223,"Chilean Peso Unidades de fomento"
"EGP",0.00345,2,-0.49115,-0.22393,-0.09779,-0.02453,0,0.08806,0.14255,0.27211,0.51454,"Egyptian Pound"
"FJD",0.00445,2,-0.28847,-0.13138,-0.05347,-0.00227,0.03203,0.13785,0.22575,0.31406,0.49684,"Fiji Dollar"
"HKD",0.00364,2,-0.34813,-0.17187,-0.04327,0.05631,0.09974,0.30565,0.43669,0.60507,1.00886,"Hong Kong Dollar"
"IDR",0.00493,2,-0.40052,-0.17281,-0.06868,0.0194,0.06632,0.20384,0.36031,0.50609,0.72876,"Rupiah"
"INR",0.00551,2,-0.45918,-0.23058,-0.11317,-0.02321,0.05341,0.20893,0.35107,0.46143,0.79609,"Indian Rupee"
"ILS",0.00487,2,-0.64169,-0.34243,-0.22478,-0.10794,-0.02679,0.17608,0.32882,0.54152,1.05377,"New Israeli Sheqel"
"JPY",0.00444,2,-0.49839,-0.2448,-0.14027,-0.038,0.02793,0.15925,0.25104,0.41122,0.66335,"Yen"
"KRW",0.00561,2,-0.64387,-0.24352,-0.15138,-0.0652,0.00454,0.14122,0.27103,0.40896,0.67068,"Won"
"KZT",0.00456,2,-0.41063,-0.1695,-0.0901,-0.00583,0.0238,0.15389,0.29246,0.43023,0.70362,"Tenge"
"MYR",0.00863,2,-0.77607,-0.36749,-0.2484,-0.10807,-0.0282,0.18035,0.3456,0.53422,0.86924,"Malaysian Ringgit"
"MXN",0.00436,2,-0.59225,-0.29,-0.14205,0.0082,0.06553,0.22524,0.33434,0.51107,0.81577,"Mexican Peso Mexican Unidad de Inversion (UDI)"
"NOK",0.01117,2,-0.80273,-0.31658,-0.19754,-0.07867,-0.01258,0.16767,0.26537,0.37813,0.76716,"Norwegian Krone"
"NPR",0.00546,2,-0.30497,-0.14975,-0.07,0.02385,0.05784,0.20584,0.3361,0.49425,0.77859,"Nepalese Rupee"
"NZD",0.00723,2,-0.48174,-0.26546,-0.1838,-0.04754,0.03116,0.25412,0.37719,0.53392,1.02619,"New Zealand Dollar"
"PHP",0.00447,2,-0.49172,-0.24182,-0.10519,0.006,0.04984,0.22226,0.34127,0.48171,0.9107,"Philippine Peso"
"SHP",0.00361,2,-0.50017,-0.24919,-0.13493,-0.03284,0.01467,0.19248,0.37868,0.53627,0.7995,"Saint Helena Pound"
"SEK",0.01033,2,-0.66659,-0.30023,-0.12399,-0.00695,0.0589,0.21207,0.33122,0.48158,0.7871,"Swedish Krona"
"SCR",0.00334,2,-0.32078,-0.10174,-0.04827,-0.00583,-0.00045,0.04628,0.13899,0.22391,0.39987,"Seychelles Rupee"
"SGD",0.01762,2,-0.55234,-0.32732,-0.17045,-0.069,-0.02141,0.11567,0.27792,0.42926,0.68027,"Singapore Dollar"
"TWD",0.0082,2,-0.52041,-0.32598,-0.14618,-0.0564,-0.00914,0.10601,0.25118,0.48867,0.64725,"New Taiwan Dollar"
"THB",0.00762,2,-0.71988,-0.3564,-0.20243,-0.10518,-0.04301,0.12501,0.24361,0.38027,0.69477,"Baht"
"ALL",0.00535,3,-0.37036,-0.19757,-0.1248,-0.04912,-0.03497,0.07651,0.14849,0.23165,0.38809,"Lek"
"BGN",0.03693,3,-0.48378,-0.27882,-0.19664,-0.06886,-0.00314,0.15037,0.23741,0.3491,0.608,"Bulgarian Lev"
"CVE",0.03612,3,-0.55044,-0.28877,-0.18333,-0.07157,-0.00103,0.15243,0.2868,0.49698,0.74203,"Cape Verde Escudo"
"CZK",0.02869,3,-0.52999,-0.35201,-0.22165,-0.07659,-0.03703,0.12202,0.23228,0.42134,0.80123,"Czech Koruna"
"CHF",0.00706,3,-0.44098,-0.21987,-0.11281,-0.00177,0.05046,0.20647,0.33324,0.45779,0.6873,"Swiss Franc"
"HRK",0.03034,3,-0.53679,-0.31517,-0.16489,-0.07916,0.01144,0.12934,0.23994,0.37898,0.66224,"Croatian Kuna"
"COP",0.00389,3,-0.38532,-0.19882,-0.12127,-0.0581,-0.03129,0.06255,0.14517,0.24131,0.44327,"Colombian Peso Unidad de Valor Real"
"DKK",0.04518,3,-0.54108,-0.33798,-0.17277,-0.06815,-0.00734,0.1443,0.25269,0.39361,0.74663,"Danish Krone"
"DZD",0.01056,3,-0.4628,-0.15909,-0.06009,0.04541,0.08627,0.24382,0.36477,0.53055,0.74338,"Algerian Dinar"
"EUR",0.04528,3,-0.52423,-0.34961,-0.17971,-0.07486,-0.00522,0.14538,0.25372,0.39262,0.73708,"Euro"
"GBP",0.0095,3,-0.67781,-0.36813,-0.20411,-0.0862,-0.03172,0.18634,0.3158,0.49117,0.79531,"Pound Sterling"
"HUF",0.02671,3,-0.60123,-0.28644,-0.13573,-0.03331,0.02232,0.17769,0.35183,0.52229,0.84575,"Forint"
"ISK",0.00606,3,-0.47352,-0.21918,-0.12331,-0.02585,0.04463,0.19194,0.32997,0.51127,0.78164,"Iceland Krona"
"KMF",0.01624,3,-0.54219,-0.32259,-0.145,-0.05317,-0.00884,0.17917,0.32507,0.40942,0.67669,"Comoro Franc"
"MAD",0.00452,3,-0.29674,-0.14699,-0.06903,-0.01541,0.00028,0.0521,0.11156,0.20969,0.33823,"Moroccan Dirham"
"MKD",0.02306,3,-0.47832,-0.27706,-0.15851,-0.08519,-0.02218,0.12401,0.25633,0.35748,0.6436,"Denar"
"MUR",0.00582,3,-0.56573,-0.27583,-0.14263,-0.0291,0.02745,0.19181,0.2656,0.37446,0.61655,"Mauritius Rupee"
"PLN",0.02543,3,-0.64282,-0.38436,-0.19854,-0.07039,-0.01035,0.18994,0.28924,0.41414,0.66671,"Zloty"
"RON",0.02097,3,-0.50241,-0.27618,-0.14548,-0.05855,-0.01099,0.16113,0.28738,0.37782,0.57331,"New Leu"
"RSD",0.01844,3,-0.54726,-0.26748,-0.16012,-0.07036,-0.0229,0.10015,0.20674,0.30616,0.65413,"Serbian Dinar"
"TND",0.0043,3,-0.28948,-0.12888,-0.05161,0.00353,0.04521,0.13642,0.21335,0.31278,0.44728,"Tunisian Dinar"
"XOF",0.01232,3,-0.46576,-0.26397,-0.16511,-0.03696,-0.02223,0.13665,0.22508,0.29509,0.53001,"CFA Franc BCEAO"
"XPF",0.034,3,-0.55569,-0.30781,-0.19212,-0.07063,-0.01147,0.12212,0.24944,0.36927,0.63004,"CFP Franc"
"XAF",0.02859,3,-0.51647,-0.29571,-0.17823,-0.06962,-0.01086,0.15756,0.26716,0.4184,0.88205,"CFA Franc BEAC"
"BWP",0.01069,4,-0.49336,-0.21257,-0.12619,-0.02171,0.01352,0.14642,0.23733,0.31716,0.58888,"Pula"
"LSL",0.01112,4,-0.5023,-0.3186,-0.17723,-0.03691,0.04487,0.19327,0.31832,0.4075,0.6306,"Rand Loti"
"NAD",0.01054,4,-0.51574,-0.28851,-0.17168,-0.03202,0.02004,0.17964,0.29804,0.39994,0.64335,"Rand Namibia Dollar"
"RUB",0.00688,4,-0.58083,-0.27887,-0.16263,-0.0701,-0.04066,0.14962,0.27113,0.40867,0.60597,"Russian Ruble"
