"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","COUNTRY"
"AFN",0.00758,1,0.99323,0.99777,0.9992,0.99993,1,1.00079,1.00257,1.00511,1.0105,"Afghani"
"ARS",0.00367,1,0.9939,0.99769,0.9992,1.00014,1.0005,1.00254,1.00429,1.00756,1.01613,"Argentine Peso"
"ALL",0.00697,1,0.98595,0.99533,0.99715,0.9989,0.99959,1.00252,1.0047,1.00847,1.01705,"Lek"
"BND",0.00739,1,0.9921,0.99745,0.99886,0.99947,0.99981,1.00045,1.00191,1.0037,1.01081,"Brunei Dollar"
"BHD",0.00485,1,0.99895,0.99979,0.99989,0.99997,1,1.00011,1.00024,1.00059,1.00633,"Bahraini Dinar"
"BDT",0.00582,1,0.99248,0.99756,0.99909,1,1,1.0012,1.00292,1.00564,1.01561,"Taka"
"COP",0.00434,1,0.98698,0.99373,0.99609,0.9986,0.9996,1.00269,1.00586,1.0093,1.02079,"Colombian Peso Unidad de Valor Real"
"CLP",0.00393,1,0.98876,0.99588,0.99776,0.99954,1.0004,1.00334,1.00547,1.00749,1.01493,"Chilean Peso Unidades de fomento"
"EGP",0.0047,1,0.99801,0.99906,0.99951,0.9998,0.99997,1.0004,1.00083,1.00155,1.00282,"Egyptian Pound"
"KES",0.0037,1,0.99724,0.99905,0.99966,0.9999,0.99996,1.0001,1.0007,1.00167,1.00478,"Kenyan Shilling"
"KHR",0.00514,1,0.98453,0.99729,0.99926,0.99975,1,1.00029,1.00244,1.01364,1.01955,"Riel"
"LKR",0.01847,1,0.99412,0.99792,0.99942,1,1.00029,1.00123,1.00196,1.00433,1.01521,"Sri Lanka Rupee"
"MAD",0.00457,1,0.9761,0.99663,0.99822,0.99949,1.00009,1.00164,1.00392,1.0216,1.02724,"Moroccan Dirham"
"PEN",0.00699,1,0.98239,0.99695,0.99827,0.99946,1.00003,1.00171,1.00336,1.00755,1.02117,"Nuevo Sol"
