"Item","IteminPlot","StationaryDistributionValue"
"US_dollar","FXUSDCAD",0.103721416991346
"Saudi_riyal","FXSARCAD",0.100102220749408
"Hong_Kong_dollar","FXHKDCAD",0.0996025546698054
"Singapore_dollar","FXSGDCAD",0.0764481628508737
"Thai_baht","FXTHBCAD",0.0760659930529304
"Taiwanese_dollar","FXTWDCAD",0.0722576429539012
"Peruvian_new_sol","FXPENCAD",0.0643106900017058
"Chinese_renminbi","FXCNYCAD",0.0618172685210143
"Malaysian_ringgit","FXMYRCAD",0.055992803497568
"Indian_rupee","FXINRCAD",0.0435207014063728
"European_euro","FXEURCAD",0.0338813300286126
"Swiss_franc","FXCHFCAD",0.029260166993981
"South_Korean_won","FXKRWCAD",0.023217570868067
"Swedish_krona","FXSEKCAD",0.0215852019138726
"Japanese_yen","FXJPYCAD",0.0195946338825267
"Norwegian_krone","FXNOKCAD",0.0180736819254139
"UK_pound_sterling","FXGBPCAD",0.0129675573088794
"Australian_dollar","FXAUDCAD",0.0125014296618278
"Brazilian_real","FXBRLCAD",0.0123813966493118
"Turkish_lira","FXTRYCAD",0.0116786915246826
"Russian_ruble","FXRUBCAD",0.0114451647249265
"South_African_rand","FXZARCAD",0.0106260809812913
"New_Zealand_dollar","FXNZDCAD",0.0104987178771071
"Mexican_peso","FXMXNCAD",0.0104713851702141
"Indonesian_rupiah","FXIDRCAD",0.00476595395321976
"Vietnamese_dong","FXVNDCAD",0.00321158184113941
