"Item","IteminPlot","StationaryDistributionValue"
"Singapore Dollar (SGD)","XUDLSGS",0.0915634445812885
"Saudi Riyal (SAR)","XUDLSRS",0.0884038349327407
"Hong Kong Dollar (HKD)","XUDLHDS",0.0859685389991869
"New Taiwan Dollar (TWD)","XUDLTWS",0.0835790482489448
"Thai Baht (THB)","XUDLBK87",0.0833470859053347
"Malaysian Ringgit (MYR)","XUDLBK83",0.0653780296433585
"Chinese Yuan (CNY)","XUDLBK89",0.0650825037131736
"Indian Rupee (INR)","XUDLBK97",0.0565219221108322
"Danish Krone (DKK)","XUDLDKS",0.0417954104365203
"Czech Koruna (CZK)","XUDLBK25",0.035571996542596
"Hungarian Forint (HUF)","XUDLBK33",0.0337956487968907
"South Korean Won (KRW)","XUDLBK93",0.0327208830270298
"Polish Zloty (PLN)","XUDLBK47",0.0284406816526925
"Swiss Franc (CHF)","XUDLSFS",0.0248391852094836
"Australian Dollar (AUD)","XUDLADS",0.023808574316553
"Israeli Shekel (NIS)","XUDLBK78",0.0224663769792059
"Norwegian Krone (NOK)","XUDLNKS",0.0213630567210571
"Swedish Krona (SEK)","XUDLSKS",0.0208190102545133
"Canadian Dollar (CAD)","XUDLCDS",0.0185885862584106
"Japanese Yen (JPY)","XUDLJYS",0.0164163828059187
"New Zealand Dollar (NZD)","XUDLNDS",0.0157719595026176
"Turkish Lira (TRY)","XUDLBK95",0.0112571992004305
"Russian Ruble (RUB)","XUDLBK85",0.0108048407722428
"South African Rand (ZAR)","XUDLZRS",0.0103960957502255
"Pound Sterling (GBP)","XUDLGBG",0.00581500754402088
"Lithuanian Litas (LTL)","XUDLBK36",0.0054846960947316
