"Item","IteminPlot","StationaryDistributionValue"
"Danish Krone (DKK)","XUDLDKD",0.0855522138850587
"Hungarian Forint (HUF)","XUDLBK35",0.0739688900730854
"Polish Zloty (PLN)","XUDLBK49",0.0733660228346717
"Czech Koruna (CZK)","XUDLBK27",0.0726152012882431
"Singapore Dollar (SGD)","XUDLSGD",0.0578216024606074
"Swiss Franc (CHF)","XUDLSFD",0.0554279896260777
"Swedish Krona (SEK)","XUDLSKD",0.0501409897613895
"Australian Dollar (AUD)","XUDLADD",0.0432736628151676
"Norwegian Krone (NOK)","XUDLNKD",0.0383014656892892
"New Zealand Dollar (NZD)","XUDLNDD",0.0357573876445981
"Thai Baht (THB)","XUDLBK72",0.0325932967898644
"Pound Sterling (GBP)","XUDLGBD",0.0288178617215562
"Canadian Dollar (CAD)","XUDLCDD",0.0284661483280228
"Turkish Lira (TRY)","XUDLBK75",0.0280808038047473
"Malaysian Ringgit (MYR)","XUDLBK66",0.0278213575438258
"Chinese Yuan (CNY)","XUDLBK73",0.0277424729618893
"South Korean Won (KRW)","XUDLBK74",0.0273909166520986
"New Taiwan Dollar (TWD)","XUDLTWD",0.0273828545883096
"Indian Rupee (INR)","XUDLBK64",0.0254650469459015
"Israeli Shekel (NIS)","XUDLBK65",0.0248906959969539
"South African Rand (ZAR)","XUDLZRD",0.02424089517541
"Hong Kong Dollar (HKD)","XUDLHDD",0.0242272075233477
"Russian Ruble (RUB)","XUDLBK69",0.0239236409443087
"Lithuanian Litas (LTL)","XUDLBK38",0.0225680476972793
"Japanese Yen (JPY)","XUDLJYD",0.0221554756672301
"Saudi Riyal (SAR)","XUDLSRD",0.0180078515810671
