"Item","IteminPlot","StationaryDistributionValue"
"Hong Kong Dollar (HKD)","EURHKD",0.0969619742456719
"US Dollar (USD)","EURUSD",0.096172785041372
"Singapore Dollar (SGD)","EURSGD",0.0804465453928531
"Thai Baht (THB)","EURTHB",0.0769059880597309
"Indonesian Rupiah (IDR)","EURIDR",0.0764865515683589
"Indian Rupee (INR)","EURINR",0.0623310376235099
"Malaysian Ringgit (MYR)","EURMYR",0.0618926622605354
"Chinese Yuan (CNY)","EURCNY",0.0562866258393293
"Philippine Peso (PHP)","EURPHP",0.0406978856883796
"Korean Won (KRW)","EURKRW",0.0325885766701383
"Russian Rubble (RUB)","EURRUB",0.0231424798001756
"Australian Dollar (AUD)","EURAUD",0.0229665568250889
"Canadian Dollar (CAD)","EURCAD",0.0222298889188021
"New Israeli Shekel (ILS)","EURILS",0.0221610187929654
"Mexican Peso (MXN)","EURMXN",0.0189932709231338
"Turkish Lira (TRY)","EURTRY",0.0185603397622268
"South African Rand (ZAR)","EURZAR",0.0182906667182492
"Japanese Yen (JPY)","EURJPY",0.0160049536331118
"Brazilian Real (BRL)","EURBRL",0.0159520078664413
"Polish Zloty (PLN)","EURPLN",0.0156836176742737
"New Zealand Dollar (NZD)","EURNZD",0.0156391067107311
"Norwegian Krone (NOK)","EURNOK",0.0147082987250211
"Czech Koruna (CZK)","EURCZK",0.0138450163475061
"Hungarian Forint (HUF)","EURHUF",0.012927505106611
"Swiss Franc (CHF)","EURCHF",0.0126056114540293
"British Pound (GBP)","EURGBP",0.0125600981655394
"Swedish Krona (SEK)","EURSEK",0.0124848253818983
"Croatian Kuna (HRK)","EURHRK",0.0108082688843401
"Romanian Leu (RON)","EURRON",0.0104650295717164
"Danish Krone (DKK)","EURDKK",0.00920080634825939
