"Item","IteminPlot","StationaryDistributionValue","Group","SharpeCoeff.10.","SharpeCoeff.25.","SharpeCoeff.35.","SharpeCoeff.45.","SharpeCoeff.50.","SharpeCoeff.65.","SharpeCoeff.75.","SharpeCoeff.85.","SharpeCoeff.95."
"Euro (EUR)","DEXUSEU",0.104779079564322,4,-0.625089384837689,-0.224654327953607,-0.131125426683852,-0.0244181806806073,0.0345810960554552,0.213157835722382,0.333748317121981,0.497761417849592,0.762588340682503
"Denish Krone (DKK)","DEXDNUS",0.102833270013292,4,-0.600598051325519,-0.331423884949099,-0.209624350770883,-0.0928445073188452,-0.0375103111565546,0.142089384866339,0.226150751490763,0.414396210095304,1.07338510893518
"Singapore Dollar (SGD)","DEXSIUS",0.100019759023158,2,-0.760790601611499,-0.425171522256997,-0.247265355405063,-0.117233972464207,-0.0560643001833098,0.105672337806724,0.235369590392958,0.401447677995002,0.696590126730839
"Australian Dollar (AUD)","DEXUSAL",0.0645617588427043,3,-0.68715554938188,-0.303264898199093,-0.148713853266478,-0.0246239881384378,0.0237744537581552,0.204024416058106,0.321944784510608,0.518179337704187,1.04548047438014
"Norwegian Krone(NOK)","DEXNOUS",0.0630029787562081,3,-0.831781433610467,-0.395804692933857,-0.257397858571818,-0.149395480349686,-0.0405755177081715,0.152033475628738,0.260670687244242,0.388800928479787,0.787660467611995
"Swedish Krona (SEK)","DEXSDUS",0.0620375718680233,3,-0.717593983308947,-0.396941675158335,-0.227394731974061,-0.0685979257297341,-0.00290430296368963,0.206583630977138,0.316593559788013,0.541502980832555,0.922649961401212
"British Pound (GBP)","DEXUSUK",0.0524394499451396,4,-0.614762929187908,-0.317065489426203,-0.172353804757053,-0.0262592993398102,0.0538803140712489,0.240812960114961,0.402128953602186,0.531702134365683,1.03608673250091
"Malaysian Ringgit (MYR)","DEXMAUS",0.0450753663236405,1,-0.772061378025941,-0.40449214837231,-0.250606029265763,-0.120574682099663,-0.0407470384532458,0.192262452683399,0.368892028911077,0.645100451159954,1.09207140480088
"Thai Baht (THB)","DEXTHUS",0.042059312487192,2,-0.831961812522129,-0.419657508721908,-0.281970938270054,-0.156992581173408,-0.0850698210617182,0.049196029780503,0.191703949506435,0.33964218138081,0.632961226233493
"New Taiwan Dollar (TWD)","DEXTAUS",0.0409045981288179,1,-0.61637290242379,-0.296374244570271,-0.156923875479632,-0.0446843391569962,0.000400750467522876,0.136486224563436,0.239185611446973,0.407179898835145,0.70613951048523
"Swiss Franc (CHF)","DEXSZUS",0.0406751721658985,4,-0.49654896974811,-0.269951520162102,-0.133920289938783,-0.0220879397833072,0.0276131309469032,0.210997951427316,0.297482318114588,0.552129661309948,1.05132041494826
"New Zealand Dollar (NZD)","DEXUSNZ",0.040589549957865,3,-0.727189954059204,-0.271713635898157,-0.167360113208569,-0.0221472592011152,0.0685699681972149,0.244776668459406,0.354187883088323,0.478495494811171,0.824836624857709
"Chinese Yuan (CNY))","DEXCHUS",0.035705784517187,2,-0.767583815567401,-0.415197170008527,-0.305691355831979,-0.181550941668359,-0.116950369515318,0.139731202847407,0.288126887544791,0.457128457631163,0.780192812689563
"Canadaian Dollar (CAD)","DEXCAUS",0.0272425874039381,3,-0.759142046983286,-0.447478390053138,-0.188644373327592,-0.0658091900217622,-0.0259089581692479,0.145299998781215,0.330335102376308,0.627653838211699,0.879942375575979
"Brazilian Real (BRL)","DEXBZUS",0.026216514769021,2,-0.58937832646496,-0.215920241130502,-0.0627390746863284,0.0526607788063867,0.0850557165099801,0.270178161070022,0.438359555272219,0.590934785846545,0.770400277753638
"South Korean Won (KRW)","DEXKOUS",0.0246815422829961,1,-0.798687141089677,-0.346051661504914,-0.190165373676437,-0.0754884567772258,-0.0351519006486308,0.115243637565989,0.232064205364854,0.389621992686757,0.661528985447881
"Japanese Yen (JPY)","DEXJPUS",0.0237319144855847,2,-0.5970164915131,-0.264947060461216,-0.139407223089076,-0.0398477404233578,-0.00724734257496944,0.195676389709299,0.338449446181323,0.456399333975773,0.672076186535509
"Indian Rupee (INR)","DEXINUS",0.0236497316906927,1,-0.568652122389733,-0.297120844016714,-0.170585010860724,-0.037190846364514,0.0364157631151164,0.213218936711202,0.339136560769849,0.546535296332276,0.821559037626698
"Mexican Peso (MXN)","DEXMXUS",0.0222550745315482,1,-0.55100444196696,-0.221488740712421,-0.0937826493915773,-0.00026944754010319,0.0770739991773581,0.250147951323336,0.371503715001982,0.592307141424827,0.981695760250897
"South African Rand(ZAR)","DEXSFUS",0.0171141409007214,2,-0.53303282062475,-0.330625476832024,-0.17651520477819,-0.0128780330714479,0.0172744327561572,0.246445615817957,0.345633498100289,0.529019885054232,0.853366663241439
"Hong Kong Dollar (HKD)","DEXHKUS",0.0159903047762512,2,-0.419066676755979,-0.151413645531391,-0.0326005144740141,0.0699862173590888,0.125922253948671,0.300626700672862,0.42614062285162,0.561859298223063,0.894308660060639
"Sri Lankan Rupee(LKR)","DEXSLUS",0.0158697592200324,2,-0.399109274246757,-0.156443729913398,-0.0676528956032844,0.0437777767943135,0.110748861328211,0.312101418689352,0.408490052682958,0.528887692005326,0.761030367437895
"Venezuelan Bolivar (VEF)","DEXVZUS",0.00856477834576731,4,0,0,0,0,0,0,0.408247790122043,0.408248282463863,0.408381415294948
