"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","TICK","WAL"
"BBD",0.02,0.05,1,-0.039,-0.021,-0.017,-0.007,-0.003,0.008,0.017,0.026,0.04,"BBD","ds"
"BSBR",0.018,0.048,1,-0.038,-0.019,-0.016,-0.007,-0.003,0.006,0.019,0.027,0.047,"BSBR","ds"
"BFR",0.01,0.029,1,-0.07,-0.032,-0.022,-0.012,-0.01,-0.001,0.011,0.027,0.075,"BFR","ds"
"BBDO",0.012,0.038,1,-0.041,-0.024,-0.019,-0.012,-0.003,0.008,0.016,0.032,0.045,"BBDO","ds"
"BMA",0.009,0.028,1,-0.075,-0.028,-0.022,-0.013,-0.01,0.004,0.014,0.039,0.054,"BMA","ds"
"GGAL",0.01,0.028,1,-0.073,-0.039,-0.018,-0.011,-0.007,0.007,0.014,0.031,0.073,"GGAL","ds"
"ITUB",0.019,0.05,1,-0.045,-0.018,-0.013,-0.008,-0.002,0.007,0.014,0.025,0.037,"ITUB","ds"
"BMO",0.017,0.05,2,-0.009,-0.003,-0.001,0.001,0.002,0.003,0.006,0.007,0.011,"BMO","ds"
"TD",0.016,0.05,2,-0.009,-0.003,-0.001,0.001,0.002,0.004,0.005,0.006,0.013,"TD","ds"
"RY",0.016,0.048,2,-0.011,-0.004,-0.001,0,0.001,0.003,0.005,0.008,0.013,"RY","ds"
"CM",0.019,0.057,2,-0.009,-0.003,-0.001,0.001,0.002,0.004,0.005,0.007,0.011,"CM","ds"
"BNS",0.016,0.055,2,-0.01,-0.005,-0.002,-0.001,0,0.003,0.005,0.008,0.011,"BNS","ds"
"IBN",0.005,0.022,2,-0.023,-0.01,-0.006,-0.001,0,0.007,0.012,0.019,0.03,"IBN","ds"
"BAP",0.007,0.029,2,-0.013,-0.007,-0.005,-0.001,0,0.003,0.007,0.008,0.017,"BAP","ds"
"BSAC",0.009,0.035,2,-0.015,-0.008,-0.004,-0.001,-0.001,0.002,0.004,0.007,0.021,"BSAC","ds"
"HBK",0.003,0.014,2,-0.017,0,0,0,0,0,0,0.007,0.03,"HBK","ds"
"SFBC",0.003,0.014,2,-0.007,-0.001,0,0,0,0.001,0.003,0.01,0.016,"SFBC","ds"
"OAKV",0.002,0.006,2,0,0,0,0,0,0,0,0,0.028,"OAKV","ds"
"CBKM",0.003,0.01,2,-0.013,0,0,0,0,0,0,0.012,0.029,"CBKM","ds"
"GLE.PA",0.007,0.022,2,-0.013,-0.008,-0.005,-0.002,-0.002,0.004,0.005,0.007,0.013,"GLE.PA","ds"
