Ticker,Name
URTH,"iShares, Inc. - iShares MSCI World ETF"
SPY,SPDR S&P 500 ETF Trust
ITOT,iShares Trust - iShares Core S&P Total U.S. Stock Market ETF
IVV,iShares Trust - iShares Core S&P 500 ETF
IWV,iShares Trust - iShares Russell 3000 ETF
^W5000,^W5000
^GSPC,^GSPC
^NDX,^NDX
^DJI,^DJI
^IXIC,^IXIC
^NYA,^NYA
^RUT,^RUT
^RUA,^RUA
^RUI,^RUI
CRBN,iShares MSCI ACWI Low Carbon Target ETF
IEFA,iShares Core MSCI EAFE ETF
IEMG,"iShares, Inc. - iShares Core MSCI Emerging Markets ETF"
PZD,PowerShares Exchange-Traded Fund Trust - PowerShares Cleantech Portfolio
VIDI,Vident International Equity
VTI,Vanguard Index Funds - Vanguard Total Stock Market ETF
^SPEUP,^SPEUP
VEF.TO,Vanguard FTSE Developed All Cap ex U.S. Index ETF (CAD-hedged)
VBU.TO,Vanguard U.S. Aggregate Bond Index ETF (CAD-hedged)
FDE.TO,First Trust AlphaDEX Emerging Market Dividend ETF (CAD-Hedged)
ZWE.TO,BMO Europe High Dividend Covered Call Hedged to CAD ETF
ZUB.TO,BMO Equal Weight US Banks Hedged to CAD Index ETF
ZSU.TO,BMO Short-Term US IG Corporate Bond Hedged to CAD Index ETF
ZEQ.TO,BMO MSCI Europe High Quality Hedged to CAD Index ETF
ZDM.TO,BMO MSCI EAFE Hedged to CAD Index ETF
ZDH.TO,BMO International Dividend Hedged to CAD ETF
XPF.TO,iShares S&P/TSX North American Preferred Stock Index ETF (CAD-Hedged)
XFS.TO,iShares Edge MSCI Multifactor USA Index ETF (CAD-Hedged)
XFH.TO,iShares Core MSCI EAFE IMI Index ETF (CAD-Hedged)
XEB.TO,iShares J.P. Morgan USD Emerging Markets Bond Index ETF (CAD-Hedged)
CSD.TO,iShares Short Duration High Income ETF (CAD-Hedged)
ZEF.TO,BMO Emerging Markets Bond Hedged to CAD Index ETF
XHY.TO,iShares U.S. High Yield Bond Index ETF (CAD-Hedged)
XIN.TO,iShares MSCI EAFE Index ETF (CAD-Hedged)
ZMT.TO,BMO S&P/TSX Equal Weight Global Base Metals Hedged to CAD Index ETF
XFF.TO,iShares Edge MSCI Multifactor EAFE Index ETF (CAD-Hedged)
ZMU.TO,BMO Mid-Term US IG Corporate Bond Hedged to CAD Index ETF
ZHY.TO,BMO High Yield US Corporate Bond Hedged to CAD Index ETF
CHB.TO,iShares U.S. High Yield Fixed Income Index ETF (CAD-Hedged)
FSL.TO,First Trust Senior Loan ETF (CAD-Hedged)
FUD.TO,First Trust AlphaDEX U.S. Dividend ETF (CAD-Hedged)
VBG.TO,Vanguard Global ex-U.S. Aggregate Bond Index ETF (CAD-hedged)
XCD.TO,iShares S&P Global Consumer Discretionary Index ETF (CAD-Hedged)
EUR.TO,First Trust AlphaDEX European Dividend Index ETF (CAD-Hedged)
XEH.TO,iShares MSCI Europe IMI Index ETF (CAD-Hedged)
XIG.TO,iShares U.S. IG Corporate Bond Index ETF (CAD-Hedged)
XGI.TO,iShares S&P Global Industrials Index ETF (CAD-Hedged)
