"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"XIU.TO",0.008,0.019,1,-0.006,-0.002,-0.001,0,0.001,0.002,0.003,0.005,0.008,"-","-"
"XIC.TO",0.008,0.02,1,-0.005,-0.002,-0.001,0,0.001,0.002,0.004,0.005,0.007,"-","-"
"^GSPTSE",0.009,0.021,1,-0.005,-0.002,-0.001,0,0.001,0.002,0.004,0.005,0.007,"-","-"
"VBU.TO",0.004,0.013,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"VBU.TO","Vanguard U.S. Aggregate Bond Index ETF (CAD-hedged)"
"FDE.TO",0.001,0.004,1,-0.003,0,0,0,0,0,0,0,0.015,"FDE.TO","First Trust AlphaDEX Emerging Market Dividend ETF (CAD-Hedged)"
"CYH.TO",0.004,0.015,1,-0.006,-0.003,-0.002,0,0,0.002,0.004,0.006,0.009,"CYH.TO","iShares Global Monthly Dividend Index ETF (CAD-Hedged)"
"ZUB.TO",0.003,0.012,1,-0.012,-0.005,-0.002,0,0.001,0.005,0.008,0.013,0.019,"ZUB.TO","BMO Equal Weight US Banks Hedged to CAD Index ETF"
"ZSU.TO",0.003,0.012,1,-0.002,-0.001,0,0,0,0,0,0.001,0.003,"ZSU.TO","BMO Short-Term US IG Corporate Bond Hedged to CAD Index ETF"
"XPF.TO",0.003,0.01,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"XPF.TO","iShares S&P/TSX North American Preferred Stock Index ETF (CAD-Hedged)"
"XFS.TO",0.002,0.01,1,-0.009,-0.001,0,0,0,0.003,0.004,0.007,0.015,"XFS.TO","iShares Edge MSCI Multifactor USA Index ETF (CAD-Hedged)"
"XEB.TO",0.003,0.011,1,-0.005,-0.002,-0.001,0,0,0,0.001,0.003,0.005,"XEB.TO","iShares J.P. Morgan USD Emerging Markets Bond Index ETF (CAD-Hedged)"
"CSD.TO",0.002,0.008,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.004,"CSD.TO","iShares Short Duration High Income ETF (CAD-Hedged)"
"ZEF.TO",0.003,0.011,1,-0.006,-0.003,-0.002,-0.001,-0.001,0.001,0.002,0.004,0.007,"ZEF.TO","BMO Emerging Markets Bond Hedged to CAD Index ETF"
"XHY.TO",0.003,0.011,1,-0.005,-0.002,-0.001,0,0,0.001,0.002,0.003,0.005,"XHY.TO","iShares U.S. High Yield Bond Index ETF (CAD-Hedged)"
"ZMT.TO",0.002,0.009,1,-0.019,-0.007,-0.003,0,0,0.005,0.009,0.014,0.023,"ZMT.TO","BMO S&P/TSX Equal Weight Global Base Metals Hedged to CAD Index ETF"
"ZMU.TO",0.004,0.013,1,-0.005,-0.002,-0.001,-0.001,-0.001,0.001,0.002,0.003,0.005,"ZMU.TO","BMO Mid-Term US IG Corporate Bond Hedged to CAD Index ETF"
"ZHY.TO",0.003,0.011,1,-0.004,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.006,"ZHY.TO","BMO High Yield US Corporate Bond Hedged to CAD Index ETF"
"FSD.TO",0.001,0.003,1,0,0,0,0,0,0,0,0,0.001,"FSD.TO","First Trust Short Duration High Yield Bond ETF (CAD-Hedged)"
