"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"^SSMI",0.005,0.017,1,-0.009,-0.004,-0.002,0,0,0.002,0.004,0.007,0.013,"-","-"
"^STOXX",0.006,0.018,1,-0.005,-0.002,-0.001,-0.001,-0.001,0.002,0.003,0.005,0.008,"-","-"
"^SPEUP",0.004,0.016,1,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.009,"-","-"
"^STOXX50E",0.006,0.017,1,-0.006,-0.002,-0.002,-0.002,0,0.002,0.004,0.006,0.01,"-","-"
"AUTP.MI",0.005,0.018,1,-0.018,-0.007,-0.005,-0.001,0,0.003,0.005,0.008,0.019,"AUTP.MI","LYXOR UCITS ETF STOXX EU 600 AU"
"SXIPEX.SW",0.001,0.004,1,-0.002,0,0,0,0,0,0,0,0.005,"SXIPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Insurance UCITS ETF (DE)"
"X7PS.MI",0.002,0.007,1,-0.005,0,0,0,0,0,0,0.002,0.012,"X7PS.MI","Source STOXX Europe 600 Opt Banks ETF"
"SXPIEX.SW",0.004,0.015,1,-0.009,-0.002,-0.001,0,0,0.003,0.005,0.007,0.011,"SXPIEX.SW","iShares STOXX Europe 600 UCITS ETF (DE)"
"SXEPEX.SW",0.002,0.009,1,-0.007,0,0,0,0,0,0.005,0.009,0.015,"SXEPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE)"
"XSDR.MI",0.002,0.008,1,-0.004,0,0,0,0,0,0.002,0.007,0.012,"XSDR.MI","DB X-TRACKE STOXX600 HEAL CARE"
"SDJ600.MI",0.002,0.008,1,-0.002,0,0,0,0,0,0,0.005,0.01,"SDJ600.MI","Source STOXX Europe 600 ETF"
"X7PS.SW",0.002,0.006,1,0,0,0,0,0,0,0,0,0.008,"X7PS.SW","Source Markets plc - Source STOXX Europe 600 Optimised Banks UCITS ETF"
"SX7PEX.SW",0.003,0.011,1,-0.015,-0.004,0,0,0,0,0,0.006,0.02,"SX7PEX.SW","iShares (DE) I - iShares STOXX Europe 600 Banks UCITS ETF (DE)"
"XS7R.MI",0.004,0.013,1,-0.012,-0.005,-0.002,0,0,0.002,0.004,0.007,0.01,"XS7R.MI","DB X-TRACKERS STOXX 600 BANKS U"
"XSPR.MI",0.004,0.015,1,-0.016,-0.008,-0.005,0,0,0.003,0.009,0.013,0.024,"XSPR.MI","DB X-TRACKERS STOXX600 BAS RES"
"CHM.MI",0.002,0.009,1,-0.01,0,0,0,0,0,0.003,0.01,0.015,"CHM.MI","LYXOR UCITS ETF STOXX EURO 600"
"SC01.DE",0.001,0.006,1,-0.003,0,0,0,0,0,0,0.006,0.01,"SC01.DE","Source Markets plc - Source STOXX Europe 600 Optimised Construction & Materials UCITS ETF"
"EXSA.MI",0.008,0.023,1,-0.008,-0.003,-0.001,0.001,0.001,0.003,0.004,0.007,0.01,"EXSA.MI","ISHARES STOXX EUROPE 600 UCITS"
"MEUD.MI",0.008,0.022,1,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.01,"MEUD.MI","LYXOR STOXX EUROPE 600 (DR) UCI"
"S600.L",0.002,0.008,1,-0.004,0,0,0,0,0,0.001,0.006,0.011,"S600.L","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"S600.SW",0.003,0.011,1,-0.007,0,0,0,0,0.002,0.004,0.007,0.01,"S600.SW","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"^FTSE",0.004,0.018,2,-0.009,-0.003,-0.001,0.001,0.001,0.003,0.005,0.007,0.011,"-","-"
"EXV2.F",0.005,0.015,2,-0.009,-0.005,-0.003,-0.001,0,0.002,0.004,0.007,0.015,"EXV2.F","iShares (DE) I - iShares STOXX Europe 600 Telecommunications UCITS ETF (DE)"
"EXH8.F",0.007,0.022,2,-0.009,-0.003,0,0.001,0.001,0.003,0.006,0.009,0.013,"EXH8.F","iShares (DE) I - iShares STOXX Europe 600 Retail UCITS ETF (DE)"
"SX8PEX.SW",0.001,0.006,2,-0.001,0,0,0,0,0,0,0.002,0.016,"SX8PEX.SW","iShares (DE) I - iShares STOXX Europe 600 Technology UCITS ETF (DE)"
"CBBANK.SW",0.001,0.004,2,0,0,0,0,0,0,0,0,0.008,"CBBANK.SW","ComStage - STOXX Europe 600 Banks NR UCITS ETF"
"SXPPEX.SW",0.001,0.005,2,-0.013,0,0,0,0,0,0,0,0.029,"SXPPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"C074.F",0.005,0.019,2,-0.008,-0.004,-0.002,0,0,0.003,0.004,0.007,0.011,"C074.F","ComStage - STOXX Europe 600 Real Estate NR UCITS ETF"
"C065.DE",0.003,0.015,2,-0.008,-0.002,0,0,0,0,0.002,0.005,0.01,"C065.DE","ComStage - STOXX Europe 600 Construction & Materials NR UCITS ETF"
"C064.DE",0.003,0.013,2,-0.01,0,0,0,0,0.001,0.004,0.007,0.012,"C064.DE","ComStage - STOXX Europe 600 Chemicals NR UCITS ETF"
"C075.DE",0.002,0.008,2,-0.007,0,0,0,0,0,0.002,0.006,0.014,"C075.DE","ComStage - STOXX Europe 600 Retail NR UCITS ETF"
"EXSAN.MX",0.001,0.003,2,0,0,0,0,0,0,0,0,0,"EXSAN.MX","iShares STOXX Europe 600 UCITS ETF (DE)"
"SXDPEX.SW",0.001,0.003,2,0,0,0,0,0,0,0,0,0.015,"SXDPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Health Care UCITS ETF (DE)"
"SC0Q.DE",0.001,0.004,2,-0.006,0,0,0,0,0,0,0,0.015,"SC0Q.DE","Source Markets plc - Source STOXX Europe 600 Optimised Telecommunications UCITS"
"C071.DE",0.002,0.01,2,-0.006,-0.001,0,0,0,0,0.002,0.007,0.013,"C071.DE","ComStage - STOXX Europe 600 Media NR UCITS ETF"
"X7PS.L",0.002,0.01,2,-0.018,-0.007,-0.002,-0.001,0,0.003,0.005,0.008,0.105,"X7PS.L","Source Markets plc - Source STOXX Europe 600 Optimised Banks UCITS ETF"
"SC06.DE",0.001,0.003,2,0,0,0,0,0,0,0,0,0.01,"SC06.DE","Source Markets plc - Source STOXX Europe 600 Optimised Media UCITS ETF"
"X7PP.L",0.002,0.009,2,-0.033,-0.005,-0.005,-0.003,-0.001,-0.001,0.001,0.01,0.07,"X7PP.L","Source Markets plc - Source STOXX Europe 600 Optimised Banks UCITS ETF"
"C073.F",0.009,0.027,2,-0.007,-0.003,-0.001,0.001,0.001,0.003,0.004,0.007,0.012,"C073.F","ComStage - STOXX Europe 600 Personal & Household Goods NR UCITS ETF"
"SC04.DE",0.003,0.011,2,-0.005,-0.001,0,0,0,0,0.002,0.006,0.012,"SC04.DE","Source Markets plc - Source STOXX Europe 600 Optimised Personal & Household Goods"
"C073.DE",0.004,0.016,2,-0.008,-0.001,0,0,0,0.001,0.004,0.007,0.01,"C073.DE","ComStage - STOXX Europe 600 Personal & Household Goods NR UCITS ETF"
"C075.F",0.007,0.022,2,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.008,0.014,"C075.F","ComStage - STOXX Europe 600 Retail NR UCITS ETF"
