"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"CYH.TO",0.006,0.022,1,-0.006,-0.003,-0.001,0,0,0.002,0.004,0.006,0.009,"CYH.TO","iShares Global Monthly Dividend Index ETF (CAD-Hedged)"
"XTR.TO",0.007,0.026,1,-0.003,-0.001,0,0,0,0.001,0.002,0.002,0.004,"XTR.TO","iShares Diversified Monthly Income ETF"
"CVD.TO",0.003,0.012,1,-0.005,-0.003,-0.001,-0.001,0,0.001,0.002,0.005,0.007,"CVD.TO","iShares Convertible Bond Index ETF"
"CPD.TO",0.004,0.014,1,-0.003,-0.001,-0.001,0,0.001,0.001,0.001,0.002,0.004,"CPD.TO","iShares S&P/TSX Canadian Preferred Share Index ETF"
"CMR.TO",0.001,0.005,1,0,0,0,0,0,0,0,0,0,"CMR.TO","iShares Premium Money Market ETF"
"XPF.TO",0.004,0.015,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"XPF.TO","iShares S&P/TSX North American Preferred Stock Index ETF (CAD-Hedged)"
"XFH.TO",0.016,0.045,1,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.009,"XFH.TO","iShares Core MSCI EAFE IMI Index ETF (CAD-Hedged)"
"XEB.TO",0.003,0.012,1,-0.005,-0.002,-0.001,0,0,0,0.001,0.003,0.005,"XEB.TO","iShares J.P. Morgan USD Emerging Markets Bond Index ETF (CAD-Hedged)"
"CUD.TO",0.012,0.036,1,-0.007,-0.003,-0.001,0.001,0.001,0.003,0.004,0.006,0.01,"CUD.TO","iShares US Dividend Growers Index ETF (CAD-Hedged)"
"CSD.TO",0.002,0.01,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.004,"CSD.TO","iShares Short Duration High Income ETF (CAD-Hedged)"
"CBN.TO",0.004,0.018,1,-0.007,-0.001,0,0,0,0.002,0.003,0.005,0.01,"CBN.TO","iShares Balanced Growth CorePortfolio Index ETF"
"XSU.TO",0.013,0.04,1,-0.008,-0.003,-0.001,0.001,0.002,0.004,0.006,0.008,0.013,"XSU.TO","iShares U.S. Small Cap Index ETF (CAD-Hedged)"
"CBD.TO",0.003,0.011,1,-0.004,-0.001,0,0,0,0.001,0.002,0.003,0.006,"CBD.TO","iShares Balanced Income CorePortfolio Index ETF"
"XHY.TO",0.003,0.014,1,-0.005,-0.002,-0.001,0,0,0.001,0.002,0.003,0.005,"XHY.TO","iShares U.S. High Yield Bond Index ETF (CAD-Hedged)"
"XHD.TO",0.007,0.025,1,-0.007,-0.003,-0.001,0,0,0.003,0.004,0.006,0.011,"XHD.TO","iShares U.S. High Dividend Equity Index ETF (CAD-Hedged)"
"XHC.TO",0.007,0.025,1,-0.009,-0.004,-0.001,0,0.001,0.004,0.005,0.008,0.012,"XHC.TO","iShares Global Healthcare Index ETF (CAD-Hedged)"
"XSP.TO",0.027,0.082,1,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.005,0.007,0.012,"XSP.TO","iShares Core S&P 500 Index ETF (CAD-Hedged)"
"XRE.TO",0.003,0.012,1,-0.005,-0.003,-0.001,0,0.001,0.002,0.004,0.005,0.008,"XRE.TO","iShares S&P/TSX Capped REIT Index ETF"
"XIN.TO",0.02,0.06,1,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"XIN.TO","iShares MSCI EAFE Index ETF (CAD-Hedged)"
"XFF.TO",0.009,0.029,1,-0.008,-0.004,-0.002,0,0,0.003,0.004,0.008,0.011,"XFF.TO","iShares Edge MSCI Multifactor EAFE Index ETF (CAD-Hedged)"
"XFA.TO",0.006,0.023,1,-0.007,-0.001,0,0,0,0.002,0.004,0.007,0.012,"XFA.TO","iShares Edge MSCI Multifactor USA Index ETF"
"XMH.TO",0.015,0.047,1,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.012,"XMH.TO","iShares S&P U.S. Mid-Cap Index ETF (CAD-Hedged)"
"CHB.TO",0.003,0.013,1,-0.005,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.006,"CHB.TO","iShares U.S. High Yield Fixed Income Index ETF (CAD-Hedged)"
"XQQ.TO",0.014,0.044,1,-0.01,-0.003,-0.001,0,0.001,0.004,0.006,0.01,0.017,"XQQ.TO","iShares NASDAQ 100 Index ETF (CAD-Hedged)"
"XFR.TO",0.002,0.007,1,-0.001,0,0,0,0,0,0,0,0.001,"XFR.TO","iShares Floating Rate Index ETF"
"XUH.TO",0.019,0.06,1,-0.008,-0.003,0,0,0.001,0.004,0.005,0.007,0.011,"XUH.TO","iShares Core S&P U.S. Total Market Index ETF (CAD-Hedged)"
"XIT.TO",0.003,0.013,1,-0.011,-0.004,-0.002,0.001,0.002,0.006,0.008,0.011,0.015,"XIT.TO","iShares S&P/TSX Capped Information Technology Index ETF"
"XSC.TO",0.002,0.01,1,-0.002,-0.001,-0.001,0,0,0.001,0.001,0.001,0.002,"XSC.TO","iShares Conservative Short Term Strategic Fixed Income ETF"
"XSI.TO",0.002,0.011,1,-0.003,-0.001,-0.001,-0.001,0,0.001,0.001,0.002,0.003,"XSI.TO","iShares Short Term Strategic Fixed Income ETF"
"XCD.TO",0.004,0.016,1,-0.01,-0.003,0,0,0,0.003,0.005,0.009,0.013,"XCD.TO","iShares S&P Global Consumer Discretionary Index ETF (CAD-Hedged)"
"XBM.TO",0.004,0.014,1,-0.02,-0.009,-0.004,-0.001,0.001,0.005,0.01,0.015,0.024,"XBM.TO","iShares S&P/TSX Global Base Metals Index ETF"
