"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Symbol","Name"
"SMIN",0.003,0.019,0.01,0.089,1,-0.019,-0.011,-0.006,-0.004,-0.002,0.002,0.007,0.012,0.02,"SMIN","iShares MSCI India Small-Cap ETF"
"TUR",0.002,0.086,0.009,0.008,1,-0.039,-0.024,-0.015,-0.005,-0.001,0.006,0.014,0.023,0.043,"TUR","iShares MSCI Turkey ETF"
"EPU",0.003,0.011,0.014,0.176,1,-0.015,-0.009,-0.004,-0.002,-0.001,0.003,0.005,0.009,0.015,"EPU","iShares MSCI All Peru ETF"
"EWW",0.002,0.023,0.009,0.387,1,-0.021,-0.01,-0.004,-0.001,0,0.004,0.009,0.015,0.023,"EWW","iShares MSCI Mexico Capped ETF"
"THD",0.002,0.011,0.01,0.214,1,-0.015,-0.009,-0.004,0,0.001,0.005,0.007,0.01,0.016,"THD","iShares MSCI Thailand Capped ETF"
"EWM",0.002,0.01,0.009,0.242,1,-0.014,-0.007,-0.005,-0.001,0.001,0.003,0.006,0.008,0.014,"EWM","iShares MSCI Malaysia ETF"
"EWH",0.008,0.004,0.026,0.413,1,-0.014,-0.006,-0.003,0,0,0.003,0.005,0.01,0.015,"EWH","iShares MSCI Hong Kong ETF"
"EZA",0.006,0.013,0.021,0.181,1,-0.034,-0.015,-0.006,-0.002,0,0.01,0.015,0.022,0.03,"EZA","iShares MSCI South Africa ETF"
"EWZ",0.003,0.056,0.009,0.031,1,-0.034,-0.016,-0.011,-0.006,-0.002,0.008,0.014,0.021,0.028,"EWZ","iShares MSCI Brazil Capped ETF"
"EWT",0.007,0.001,0.026,0.756,1,-0.012,-0.006,-0.004,-0.001,0,0.004,0.007,0.01,0.018,"EWT","iShares MSCI Taiwan Capped ETF"
"ECH",0.003,0.016,0.01,0.095,1,-0.015,-0.008,-0.007,-0.003,-0.001,0.003,0.006,0.011,0.017,"ECH","iShares MSCI Chile Capped ETF"
"UAE",0.002,0.007,0.008,0.322,1,-0.011,-0.006,-0.004,-0.001,0,0.003,0.005,0.008,0.011,"UAE","iShares MSCI UAE Capped ETF"
"KSA",0.002,0.004,0.008,0.577,1,-0.011,-0.005,-0.003,-0.001,0,0.003,0.007,0.009,0.014,"KSA","iShares Trust - iShares MSCI Saudi Arabia Capped ETF"
"FM",0.002,0.021,0.009,0.074,1,-0.013,-0.005,-0.004,-0.002,-0.001,0.002,0.004,0.006,0.011,"FM","iShares MSCI Frontier 100 ETF"
"EWS",0.003,0.018,0.012,0.102,1,-0.013,-0.008,-0.005,-0.003,-0.003,0.002,0.006,0.008,0.013,"EWS","iShares MSCI Singapore Capped ETF"
"RING",0.002,0.01,0.009,0.304,1,-0.018,-0.008,-0.005,-0.003,-0.002,0.002,0.006,0.009,0.018,"RING","iShares MSCI Global Gold Miners ETF"
"EPHE",0.002,0.008,0.007,0.284,1,-0.016,-0.008,-0.005,-0.002,-0.001,0.004,0.007,0.011,0.017,"EPHE","iShares MSCI Philippines ETF"
"EWZS",0.003,0.071,0.009,0.015,1,-0.031,-0.019,-0.011,-0.005,0,0.005,0.011,0.02,0.031,"EWZS","iShares Trust - iShares MSCI Brazil Small-Cap ETF"
"EEMS",0.009,0.007,0.029,0.247,1,-0.014,-0.007,-0.005,-0.003,-0.001,0.004,0.005,0.009,0.015,"EEMS","iShares, Inc. - iShares MSCI Emerging Markets Small-Cap ETF"
"EIDO",0.002,0.007,0.008,0.326,1,-0.022,-0.01,-0.006,-0.002,0.001,0.007,0.012,0.015,0.026,"EIDO","iShares MSCI Indonesia ETF"
"EEM",0.034,0.006,0.085,0.28,1,-0.016,-0.008,-0.005,-0.002,0,0.005,0.008,0.013,0.015,"EEM","iShares MSCI Emerging Markets ETF"
"MCHI",0.021,0.004,0.053,0.489,1,-0.019,-0.01,-0.005,-0.003,-0.001,0.005,0.01,0.015,0.02,"MCHI","iShares MSCI China ETF"
"INDA",0.004,0.006,0.011,0.448,1,-0.013,-0.007,-0.004,-0.003,-0.001,0.004,0.007,0.012,0.016,"INDA","iShares Trust - iShares MSCI India ETF"
"EEMA",0.033,0.005,0.081,0.35,1,-0.015,-0.008,-0.005,-0.001,0,0.003,0.007,0.012,0.016,"EEMA","iShares MSCI Emerging Markets Asia ETF"
"ERUS",0.002,0.002,0.009,0.689,1,-0.019,-0.009,-0.005,-0.002,-0.001,0.008,0.01,0.016,0.024,"ERUS","iShares, Inc. - iShares MSCI Russia Capped ETF"
"ECNS",0.004,0.004,0.015,0.536,1,-0.017,-0.007,-0.005,-0.001,0,0.004,0.007,0.011,0.02,"ECNS","iShares MSCI China Small-Cap ETF"
"AAXJ",0.039,0.004,0.092,0.373,1,-0.015,-0.008,-0.005,-0.002,0,0.004,0.007,0.012,0.015,"AAXJ","iShares MSCI All Country Asia ex Jpn ETF"
"BKF",0.028,0.005,0.072,0.334,1,-0.016,-0.008,-0.005,-0.003,-0.002,0.005,0.008,0.011,0.017,"BKF","iShares MSCI BRIC ETF"
"EWY",0.008,0.013,0.025,0.139,1,-0.019,-0.008,-0.005,-0.002,-0.001,0.004,0.008,0.011,0.017,"EWY","iShares MSCI South Korea Capped ETF"
"^MERV",0.002,0.009,0.008,0.484,1,-0.033,-0.015,-0.009,-0.004,0.001,0.008,0.019,0.032,0.052,"^MERV","MERVAL BUENOS AIRES"
"^DJAT",0.002,0.004,0.01,0.393,1,-0.011,-0.005,-0.002,-0.001,0,0.002,0.005,0.008,0.011,"^DJAT","Dow Jones Asian Titans 50 Index"
"^BVSP",0.002,0.017,0.008,0.172,1,-0.02,-0.01,-0.006,-0.002,0,0.006,0.01,0.015,0.019,"^BVSP","IBOVESPA"
"^XAU",0.002,0.008,0.008,0.442,1,-0.019,-0.007,-0.005,-0.002,-0.001,0.002,0.006,0.01,0.021,"^XAU","PHLX GOLD AND SILVER SECTOR IND"
"^XU100",0.002,0.013,0.009,0.163,1,-0.019,-0.008,-0.003,0.001,0.002,0.005,0.008,0.015,0.021,"^XU100","-"
"FXI",0.017,0.007,0.044,0.319,1,-0.019,-0.009,-0.005,-0.003,-0.002,0.005,0.01,0.014,0.018,"FXI","iShares China Large-Cap ETF"
"INDY",0.004,0.004,0.012,0.584,1,-0.012,-0.006,-0.004,-0.001,0,0.004,0.007,0.01,0.016,"INDY","iShares India 50 ETF"
"AGT",0.002,0.056,0.01,0.02,1,-0.027,-0.015,-0.008,-0.001,0,0.006,0.012,0.016,0.026,"AGT","iShares MSCI Argentina and Global Exposure ETF"
"CNYA",0.004,0.014,0.012,0.277,1,-0.019,-0.012,-0.006,-0.003,-0.002,0.003,0.007,0.015,0.023,"CNYA","iShares MSCI China A ETF"
"^SSMI",0.002,0.003,0.009,0.556,2,-0.009,-0.004,-0.002,0,0,0.002,0.003,0.006,0.013,"^SSMI","^SSMI"
"^STOXX",0.002,0.001,0.008,0.705,2,-0.005,-0.002,-0.001,-0.001,-0.001,0.002,0.002,0.005,0.008,"^STOXX","STXE6 EUR P"
"^FTSE",0.003,0.001,0.011,0.734,2,-0.01,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.01,"^FTSE","FTSE 100"
"^STOXX50E",0.003,0.002,0.008,0.541,2,-0.007,-0.004,-0.002,-0.002,-0.002,0.002,0.003,0.005,0.01,"^STOXX50E","ESTX50 EUR P"
"QAT",0.002,0.004,0.009,0.637,2,-0.015,-0.005,-0.003,0,0.001,0.005,0.007,0.01,0.018,"QAT","iShares Trust - iShares MSCI Qatar Capped ETF"
"AAIT",0.001,0.059,0.007,0.122,2,-0.025,-0.008,-0.001,-0.001,-0.001,0,0,0.009,0.027,"AAIT","iShares MSCI All Country Asia Info Tech"
"^HSI",0.002,0.008,0.009,0.267,2,-0.014,-0.009,-0.005,-0.002,0,0.004,0.006,0.01,0.016,"^HSI","-"
"^STI",0.002,0.009,0.008,0.203,2,-0.011,-0.005,-0.004,-0.002,-0.001,0.001,0.003,0.006,0.012,"^STI","-"
"^KS11",0.002,0.006,0.01,0.296,2,-0.01,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.009,"^KS11","-"
"^TWII",0.002,0,0.009,0.889,2,-0.009,-0.004,-0.003,0,0.001,0.004,0.006,0.008,0.012,"^TWII","-"
"^IPSA",0.002,0.006,0.008,0.297,2,-0.007,-0.003,-0.002,-0.002,-0.002,0.001,0.003,0.005,0.01,"^IPSA","IPSA SANTIAGO DE CHILE"
"^ATX",0.002,0.005,0.01,0.363,2,-0.011,-0.006,-0.003,-0.001,0.001,0.003,0.005,0.008,0.01,"^ATX","ATX"
"^KFX",0.002,0.001,0.009,0.798,2,-0.009,-0.005,-0.003,0,0.001,0.004,0.006,0.008,0.013,"^KFX","-"
"^AXJO",0.003,0.002,0.01,0.665,2,-0.006,-0.003,-0.002,-0.001,0,0.002,0.004,0.006,0.008,"^AXJO","S&P/ASX 200"
"^AORD",0.003,0.002,0.01,0.682,2,-0.005,-0.003,-0.002,-0.001,0,0.002,0.004,0.005,0.008,"^AORD","ALL ORDINARIES"
"^CSE",0.002,0.006,0.008,0.294,2,-0.005,-0.003,-0.002,-0.001,-0.001,0,0.001,0.002,0.005,"^CSE","^CSE"
"^JKSE",0.002,0.001,0.008,0.763,2,-0.011,-0.005,-0.002,-0.001,0.001,0.003,0.006,0.01,0.016,"^JKSE","Jakarta Composite Index"
"^KLSE",0.002,0.01,0.008,0.229,2,-0.01,-0.004,-0.001,0,0,0.002,0.004,0.006,0.01,"^KLSE","FTSE Bursa Malaysia KLCI"
"^NZ50",0.002,0.001,0.009,0.886,2,-0.006,-0.002,0,0,0.001,0.003,0.004,0.006,0.01,"^NZ50","S&P/NZX 50 INDEX GROSS"
