"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"^GDAXI",0.008,0.024,1,-0.014,-0.005,-0.002,-0.001,0.001,0.004,0.005,0.008,0.011,"-","-"
"^FCHI",0.007,0.022,1,-0.011,-0.004,-0.002,0,0,0.002,0.004,0.007,0.01,"-","-"
"^N100",0.009,0.027,1,-0.009,-0.003,-0.001,0,0,0.002,0.004,0.006,0.009,"-","-"
"^CXKCX",0.005,0.013,1,-0.014,-0.006,-0.003,0,0.001,0.004,0.006,0.009,0.015,"-","-"
"ELOW.PA",0.008,0.027,1,-0.006,-0.003,-0.001,0,0,0.002,0.004,0.005,0.007,"ELOW.PA","SSgA SPDR ETFs Europe II Public Limited Company - SPDR EURO STOXX Low Volatility UCITS ETF"
"EXV6.F",0.003,0.008,1,-0.02,-0.009,-0.006,-0.003,-0.001,0.005,0.009,0.014,0.018,"EXV6.F","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"EXV7.F",0.006,0.019,1,-0.012,-0.003,-0.001,0,0.001,0.003,0.005,0.008,0.012,"EXV7.F","iShares (DE) I - iShares STOXX Europe 600 Chemicals UCITS ETF (DE)"
"C061.F",0.002,0.006,1,-0.019,-0.006,-0.004,-0.002,-0.001,0.002,0.005,0.008,0.02,"C061.F","ComStage - STOXX Europe 600 Automobiles & Parts NR UCITS ETF"
"EXV5.F",0.002,0.006,1,-0.019,-0.006,-0.004,-0.002,-0.001,0.003,0.006,0.008,0.02,"EXV5.F","iShares (DE) I - iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE)"
"C063.F",0.003,0.008,1,-0.02,-0.009,-0.006,-0.003,0,0.005,0.009,0.015,0.018,"C063.F","ComStage - STOXX Europe 600 Basic Resources NR UCITS ETF"
"C064.F",0.007,0.024,1,-0.013,-0.004,-0.001,0.001,0.001,0.003,0.005,0.008,0.012,"C064.F","ComStage - STOXX Europe 600 Chemicals NR UCITS ETF"
"EXSA.DE",0.009,0.031,1,-0.009,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.008,"EXSA.DE","iShares STOXX Europe 600 UCITS ETF (DE)"
"DJSC.AS",0.004,0.014,1,-0.008,-0.004,-0.002,0,0,0.004,0.005,0.006,0.007,"DJSC.AS","iShares Public Limited Company - iShares EURO STOXX Small UCITS ETF"
"SXRT.DE",0.012,0.038,1,-0.011,-0.004,-0.001,0,0.001,0.003,0.004,0.007,0.01,"SXRT.DE","iShares VII Public Limited Company - iShares Core EURO STOXX 50 UCITS ETF"
"DJMC.AS",0.004,0.013,1,-0.009,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.008,"DJMC.AS","iShares Public Limited Company - iShares EURO STOXX Mid UCITS ETF"
"EXV6.DE",0.002,0.007,1,-0.018,-0.009,-0.006,-0.003,-0.002,0.006,0.009,0.013,0.019,"EXV6.DE","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"^SSMI",0.002,0.008,2,-0.009,-0.004,-0.002,0,0,0.002,0.003,0.006,0.013,"-","-"
"^STOXX",0.003,0.009,2,-0.005,-0.002,-0.001,-0.001,-0.001,0.001,0.002,0.005,0.007,"-","-"
"^FTSE",0.003,0.011,2,-0.01,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.01,"-","-"
"^STOXX50E",0.003,0.009,2,-0.007,-0.004,-0.002,-0.002,-0.002,0.002,0.002,0.005,0.009,"-","-"
"S600.SW",0.001,0.004,2,-0.007,0,0,0,0,0,0.002,0.004,0.009,"S600.SW","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"H50E.L",0.006,0.015,2,-0.011,-0.005,-0.002,-0.001,0,0.004,0.006,0.007,0.013,"H50E.L","HSBC ETFs Public Limited Company - HSBC EURO STOXX 50 UCITS ETF"
"S600.L",0.001,0.003,2,-0.007,0,0,0,0,0,0,0.003,0.01,"S600.L","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"XSSX.L",0.001,0.005,2,-0.009,-0.004,-0.002,0,0,0.001,0.004,0.01,0.014,"XSSX.L","db x-trackers - EURO STOXX 50 Short Daily UCITS ETF"
"EUE.L",0.005,0.014,2,-0.011,-0.005,-0.002,-0.001,0,0.004,0.005,0.007,0.012,"EUE.L","iShares II Public Limited Company - iShares EURO STOXX 50 UCITS ETF (Dist)"
