"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"^SSMI",0.005,0.019,1,-0.009,-0.004,-0.002,0,0,0.002,0.003,0.006,0.013,"-","-"
"^STOXX",0.006,0.018,1,-0.005,-0.002,-0.001,-0.001,-0.001,0.001,0.002,0.005,0.007,"-","-"
"^SPEUP",0.004,0.017,1,-0.009,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.008,"-","-"
"^FTSE",0.005,0.019,1,-0.01,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.01,"-","-"
"^STOXX50E",0.006,0.017,1,-0.007,-0.004,-0.002,-0.002,-0.002,0.002,0.002,0.005,0.009,"-","-"
"C065.DE",0.005,0.02,1,-0.008,-0.003,0,0,0,0,0.002,0.005,0.01,"C065.DE","ComStage - STOXX Europe 600 Construction & Materials NR UCITS ETF"
"CBBANK.SW",0.001,0.005,1,-0.011,0,0,0,0,0,0,0,0,"CBBANK.SW","ComStage - STOXX Europe 600 Banks NR UCITS ETF"
"SXDPEX.SW",0.001,0.004,1,0,0,0,0,0,0,0,0,0.015,"SXDPEX.SW","iShares (DE) I - iShares STOXX Europe 600 Health Care UCITS ETF (DE)"
"C075.DE",0.002,0.009,1,-0.007,0,0,0,0,0,0,0.004,0.014,"C075.DE","ComStage - STOXX Europe 600 Retail NR UCITS ETF"
"AUTP.MI",0.003,0.015,1,-0.018,-0.008,-0.005,-0.001,0,0.003,0.004,0.008,0.019,"AUTP.MI","LYXOR UCITS ETF STOXX EU 600 AU"
"SC01.DE",0.002,0.01,1,-0.003,0,0,0,0,0,0,0.004,0.009,"SC01.DE","Source Markets plc - Source STOXX Europe 600 Optimised Construction & Materials UCITS ETF"
"SX8PEX.SW",0.001,0.006,1,0,0,0,0,0,0,0,0,0.014,"SX8PEX.SW","iShares (DE) I - iShares STOXX Europe 600 Technology UCITS ETF (DE)"
"SC03.DE",0.002,0.008,1,-0.004,0,0,0,0,0,0,0.003,0.009,"SC03.DE","Source Markets plc - Source STOXX Europe 600 Optimised Food & Beverage UCITS ETF"
"SC0R.DE",0.003,0.011,1,-0.008,0,0,0,0,0,0,0.003,0.01,"SC0R.DE","Source Markets plc - Source STOXX Europe 600 Optimised Travel & Leisure UCITS ETF"
"C070.DE",0.01,0.033,1,-0.009,-0.002,0,0,0,0.002,0.003,0.005,0.008,"C070.DE","ComStage - STOXX Europe 600 Insurance NR UCITS ETF"
"C067.DE",0.005,0.019,1,-0.007,-0.002,-0.001,0,0,0.002,0.004,0.006,0.008,"C067.DE","ComStage - STOXX Europe 600 Food & Beverage NR UCITS ETF"
"SC05.DE",0.001,0.006,1,0,0,0,0,0,0,0,0,0.01,"SC05.DE","Source Markets plc - Source STOXX Europe 600 Optimised Retail UCITS ETF"
"SC02.DE",0.002,0.005,1,0,0,0,0,0,0,0,0,0.005,"SC02.DE","Source Markets plc - Source STOXX Europe 600 Optimised Financial Services UCITS ETF"
"S600.SW",0.003,0.013,1,-0.007,0,0,0,0,0,0.002,0.004,0.009,"S600.SW","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"C076.DE",0.009,0.031,1,-0.013,-0.006,-0.002,0,0.001,0.005,0.006,0.009,0.016,"C076.DE","ComStage - STOXX Europe 600 Technology NR UCITS ETF"
"C063.DE",0.009,0.031,1,-0.017,-0.01,-0.006,-0.003,-0.001,0.003,0.007,0.014,0.019,"C063.DE","ComStage - STOXX Europe 600 Basic Resources NR UCITS ETF"
"X7PP.L",0.004,0.015,1,-0.033,-0.005,-0.005,-0.004,-0.003,0,0.005,0.021,0.065,"X7PP.L","Source Markets plc - Source STOXX Europe 600 Optimised Banks UCITS ETF"
"C062.DE",0.005,0.019,1,-0.013,-0.006,-0.002,0,0,0.002,0.003,0.006,0.011,"C062.DE","ComStage - STOXX Europe 600 Banks NR UCITS ETF"
"C066.DE",0.013,0.042,1,-0.01,-0.004,-0.001,0,0,0.002,0.006,0.007,0.009,"C066.DE","ComStage - STOXX Europe 600 Financial Services NR UCITS ETF"
"X7PS.L",0.003,0.014,1,-0.021,-0.009,-0.002,-0.001,0,0.003,0.005,0.008,0.105,"X7PS.L","Source Markets plc - Source STOXX Europe 600 Optimised Banks UCITS ETF"
"C078.DE",0.004,0.015,1,-0.009,-0.002,0,0,0,0.001,0.003,0.007,0.013,"C078.DE","ComStage - STOXX Europe 600 Travel & Leisure NR UCITS ETF"
"C073.DE",0.006,0.021,1,-0.009,-0.002,0,0,0,0.001,0.005,0.007,0.01,"C073.DE","ComStage - STOXX Europe 600 Personal & Household Goods NR UCITS ETF"
"C064.DE",0.004,0.016,1,-0.011,0,0,0,0,0.002,0.004,0.007,0.012,"C064.DE","ComStage - STOXX Europe 600 Chemicals NR UCITS ETF"
