"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"C060.DE",0.004,0.002,0.01,0.695,1,-0.008,-0.003,-0.002,0,0,0.002,0.004,0.006,0.008,"C060.DE","ComStage - STOXX Europe 600 NR UCITS ETF"
"MEUD.PA",0.004,0.001,0.011,0.742,1,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.008,"MEUD.PA","LYXOR STOXX600 EUR"
"SC0C.DE",0.004,0.001,0.011,0.745,1,-0.009,-0.003,-0.002,0,0.001,0.003,0.005,0.006,0.009,"SC0C.DE","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"^BSESN",0.005,0.004,0.012,0.729,1,-0.007,-0.004,-0.002,0,0.001,0.004,0.006,0.008,0.009,"^BSESN","S&P BSE SENSEX"
"^NSEI",0.005,0.005,0.013,0.636,1,-0.008,-0.004,-0.002,0,0,0.004,0.006,0.007,0.01,"^NSEI","NIFTY 50"
"BSE-500.BO",0.005,0.01,0.012,0.415,1,-0.009,-0.005,-0.003,-0.002,0,0.004,0.005,0.008,0.01,"BSE-500.BO","S&P BSE 500 INDEX"
"^SPEUP",0.002,0.005,0.008,0.462,2,-0.009,-0.003,-0.001,0,0.001,0.003,0.005,0.006,0.008,"^SPEUP","^SPEUP"
"^GSPC",0.043,0.002,0.1,0.832,2,-0.006,-0.002,-0.001,0,0.001,0.003,0.004,0.006,0.009,"^GSPC","^GSPC"
"^DJI",0.005,0.002,0.016,0.8,2,-0.007,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.012,"^DJI","^DJI"
"^IXIC",0.007,0.001,0.017,1.012,2,-0.009,-0.003,-0.001,0,0.001,0.005,0.007,0.009,0.012,"^IXIC","^IXIC"
"^NYA",0.011,0.003,0.032,0.656,2,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.008,"^NYA","^NYA"
"^RUT",0.002,0,0.008,1.022,2,-0.007,-0.003,-0.001,0.001,0.002,0.004,0.005,0.007,0.01,"^RUT","^RUT"
"^RUI",0.05,0.001,0.115,0.852,2,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.004,0.006,0.009,"^RUI","^RUI"
"URTH",0.015,0.003,0.041,0.637,2,-0.005,-0.003,-0.002,0.001,0.001,0.003,0.004,0.006,0.009,"URTH","iShares, Inc. - iShares MSCI World ETF"
"SPY",0.035,0.001,0.083,0.865,2,-0.006,-0.002,-0.001,0,0.001,0.003,0.004,0.006,0.009,"SPY","SPDR S&P 500 ETF Trust"
"ITOT",0.035,0.001,0.083,0.928,2,-0.006,-0.002,-0.001,0,0.001,0.003,0.005,0.006,0.009,"ITOT","iShares Trust - iShares Core S&P Total U.S. Stock Market ETF"
"IVV",0.032,0.001,0.074,0.868,2,-0.006,-0.002,-0.001,0,0.001,0.003,0.005,0.006,0.009,"IVV","iShares Trust - iShares Core S&P 500 ETF"
"IWV",0.042,0.001,0.099,0.912,2,-0.006,-0.002,-0.001,0.001,0.001,0.003,0.004,0.007,0.009,"IWV","iShares Trust - iShares Russell 3000 ETF"
"^W5000",0.033,0.001,0.078,0.893,2,-0.006,-0.002,-0.001,0,0.001,0.003,0.004,0.007,0.009,"^W5000","^W5000"
"^NDX",0.005,0.001,0.015,1.018,2,-0.009,-0.003,-0.001,0,0.001,0.005,0.007,0.01,0.014,"^NDX","^NDX"
"CRBN",0.014,0.003,0.04,0.567,2,-0.007,-0.003,-0.002,0,0.001,0.003,0.004,0.007,0.009,"CRBN","iShares MSCI ACWI Low Carbon Target ETF"
"IEFA",0.006,0.01,0.018,0.259,2,-0.009,-0.005,-0.002,0,0.001,0.003,0.005,0.007,0.009,"IEFA","iShares Core MSCI EAFE ETF"
