"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","datx11.Ticker","saq"
"^GDAXI",0.006,0.006,0.019,0.398,1,-0.014,-0.005,-0.002,0,0.001,0.004,0.005,0.008,0.011,"-","-"
"^FCHI",0.007,0.008,0.021,0.391,1,-0.011,-0.003,-0.001,0,0,0.003,0.004,0.008,0.01,"-","-"
"^N100",0.008,0.006,0.023,0.456,1,-0.009,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.009,"-","-"
"^CXKCX",0.008,0.003,0.024,0.536,1,-0.014,-0.006,-0.003,0.001,0.001,0.004,0.006,0.01,0.016,"-","-"
"C061.F",0.004,0.021,0.011,0.157,1,-0.019,-0.006,-0.004,-0.002,-0.001,0.003,0.006,0.008,0.017,"C061.F","ComStage ETF STOXX Europe 600 Automobil_Automobiles & Parts"
"EXV5.F",0.004,0.022,0.011,0.148,1,-0.019,-0.006,-0.004,-0.001,-0.001,0.004,0.006,0.009,0.018,"EXV5.F","iShares STOXX Europe 600 Automobiles & P_Automobiles & Parts"
"540B.F",0.024,0.002,0.066,0.656,1,-0.012,-0.005,-0.003,0,0.001,0.005,0.007,0.01,0.015,"540B.F","AMUNDI ETF MSCI EUROPE MATERIALS_Basic materials"
"LYPH.F",0.009,0.001,0.029,0.686,1,-0.009,-0.005,-0.002,0,0.001,0.004,0.006,0.009,0.013,"LYPH.F","Lyxor ETF MSCI World Materials TR_Basic materials"
"SPYP.F",0.023,0.002,0.062,0.652,1,-0.013,-0.005,-0.002,0,0.001,0.005,0.007,0.01,0.015,"SPYP.F","SPDR MSCI Europe Materials ETF_Basic materials"
"C063.F",0.014,0.007,0.036,0.487,1,-0.02,-0.008,-0.006,-0.001,0.001,0.006,0.01,0.015,0.018,"C063.F","ComStage ETF STOXX Europe 600 Basic Res_Basic resources"
