"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"HEDJ.SW",0.004,0.011,1,0,0,0,0,0,0,0,0,0,"HEDJ.SW","WisdomTree Issuer Public Limited Company - WisdomTree Europe Equity UCITS ETF"
"HWWA.L",0.02,0.06,1,-0.054,-0.001,0,0,0,0,0.002,0.006,0.062,"HWWA.L","HSBC ETFs Public Limited Company - HSBC Worldwide Equity UCITS ETF"
"HEDG.L",0.028,0.076,1,-0.007,-0.001,0,0,0,0.001,0.002,0.005,0.013,"HEDG.L","WisdomTree Issuer Public Limited Company - WisdomTree Europe Equity UCITS ETF"
"IPRV.L",0.032,0.09,1,-0.008,-0.004,-0.002,0,0,0.003,0.004,0.006,0.011,"IPRV.L","iShares II Public Limited Company - iShares Listed Private Equity UCITS ETF"
"DXGY.SW",0.005,0.013,1,0,0,0,0,0,0,0,0,0,"DXGY.SW","WisdomTree Issuer Public Limited Company - WisdomTree Germany Equity UCITS ETF"
"IPRV.SW",0.014,0.046,1,-0.008,-0.003,-0.001,0,0,0.002,0.004,0.006,0.01,"IPRV.SW","iShares II Public Limited Company - iShares Listed Private Equity UCITS ETF"
"DXJ.SW",0.006,0.021,1,0,0,0,0,0,0,0,0.002,0.009,"DXJ.SW","WisdomTree Issuer Public Limited Company - WisdomTree Japan Equity UCITS ETF"
"DXGP.SW",0.008,0.025,1,-0.002,0,0,0,0,0,0,0,0.004,"DXGP.SW","WisdomTree Issuer Public Limited Company - WisdomTree Germany Equity UCITS ETF"
"HWWD.L",0.014,0.044,1,-0.009,-0.003,0,0,0,0,0.003,0.007,0.124,"HWWD.L","HSBC ETFs Public Limited Company - HSBC Worldwide Equity UCITS ETF"
"DXJZ.SW",0.005,0.015,1,0,0,0,0,0,0,0,0,0,"DXJZ.SW","WisdomTree Issuer Public Limited Company - WisdomTree Japan Equity UCITS ETF"
"HEDP.L",0.018,0.049,1,-0.005,-0.001,0,0,0,0.001,0.003,0.005,0.01,"HEDP.L","WisdomTree Issuer Public Limited Company - WisdomTree Europe Equity UCITS ETF"
"DXGG.L",0.017,0.051,1,-0.009,0,0,0,0,0,0,0.005,0.016,"DXGG.L","WisdomTree Issuer Public Limited Company - WisdomTree Germany Equity UCITS ETF"
"HEWA.L",0.017,0.054,1,-0.018,-0.002,0,0,0,0.002,0.003,0.008,0.073,"HEWA.L","HSBC ETFs Public Limited Company - HSBC ESI Worldwide Equity UCITS ETF"
"DXGE.SW",0.005,0.016,1,0,0,0,0,0,0,0,0,0.002,"DXGE.SW","WisdomTree Issuer Public Limited Company - WisdomTree Germany Equity UCITS ETF"
"DXGZ.L",0.017,0.05,1,-0.006,0,0,0,0,0,0.001,0.004,0.015,"DXGZ.L","WisdomTree Issuer Public Limited Company - WisdomTree Germany Equity UCITS ETF"
"XLPE.L",0.028,0.073,1,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.007,0.012,"XLPE.L","db x-trackers - LPX MM Private Equity UCITS ETF"
"HEDP.SW",0.004,0.014,1,0,0,0,0,0,0,0,0,0.004,"HEDP.SW","WisdomTree Issuer Public Limited Company - WisdomTree Europe Equity UCITS ETF"
"DXJG.L",0.025,0.068,1,-0.004,0,0,0,0,0,0.001,0.004,0.017,"DXJG.L","WisdomTree Issuer Public Limited Company - WisdomTree Japan Equity UCITS ETF"
"HEWD.L",0.025,0.07,1,-0.004,0,0,0,0,0,0.002,0.004,0.022,"HEWD.L","HSBC ETFs Public Limited Company - HSBC ESI Worldwide Equity UCITS ETF"
"DX2D.F",0.066,0.155,2,-0.009,-0.004,-0.002,0,0.001,0.004,0.005,0.007,0.012,"DX2D.F","db x-trackers - LPX MM Private Equity UCITS ETF"
"IPRV.AS",0.101,0.197,2,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.011,"IPRV.AS","iShares II Public Limited Company - iShares Listed Private Equity UCITS ETF"
"TGET.AS",0.076,0.161,2,-0.008,-0.003,-0.002,0,0.001,0.003,0.005,0.007,0.01,"TGET.AS","Think Global Equity UCITS ETF"
"IQQL.F",0.082,0.17,2,-0.008,-0.004,-0.001,0,0.001,0.003,0.004,0.006,0.01,"IQQL.F","iShares II Public Limited Company - iShares Listed Private Equity UCITS ETF"
"TNAE.AS",0.062,0.137,2,-0.009,-0.004,-0.002,0,0.001,0.003,0.006,0.008,0.012,"TNAE.AS","Think Morningstar North America Equity UCITS ETF"
"TEET.AS",0.05,0.119,2,-0.009,-0.004,-0.002,0,0,0.003,0.004,0.006,0.01,"TEET.AS","ThinkCapital ETF's N.V. - Think European Equity UCITS ETF"
"IQQL.DE",0.091,0.181,2,-0.009,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.011,"IQQL.DE","iShares II Public Limited Company - iShares Listed Private Equity UCITS ETF"
"HEDJ.L",0.047,0.112,3,-0.008,-0.004,-0.002,0,0,0.003,0.005,0.007,0.011,"HEDJ.L","WisdomTree Issuer Public Limited Company - WisdomTree Europe Equity UCITS ETF"
"DXGP.L",0.047,0.114,3,-0.011,-0.004,-0.002,0,0,0.003,0.005,0.007,0.013,"DXGP.L","WisdomTree Issuer Public Limited Company - WisdomTree Germany Equity UCITS ETF"
