"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"SUSS.L",0.015,0.051,1,-0.001,0,0,0,0,0,0,0,0.002,"SUSS.L","iShares Euro Corporate Bond Sustainability Screened 0-3yr UCITS ETF"
"SSXF.L",0.018,0.048,1,-0.004,-0.002,-0.001,0,0,0.001,0.002,0.003,0.004,"SSXF.L","iShares III Public Limited Company - iShares £ Corporate Bond ex-Financials UCITS ETF"
"SDHY.L",0.02,0.045,1,-0.002,-0.001,-0.001,0,0,0.001,0.001,0.002,0.004,"SDHY.L","iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF"
"IEBB.L",0.009,0.023,1,-0.001,0,0,0,0,0,0,0.001,0.002,"IEBB.L","iShares III Public Limited Company - iShares Euro Corporate Bond BBB-BB UCITS ETF"
"EUCF.L",0.013,0.043,1,-0.002,-0.001,0,0,0,0,0.001,0.001,0.002,"EUCF.L","iShares VI Public Limited Company - iShares Euro Corporate Bond Financials UCITS ETF"
"IRCP.L",0.014,0.047,1,-0.001,-0.001,0,0,0,0,0,0.001,0.002,"IRCP.L","iShares V Public Limited Company - iShares Euro Corporate Bond Interest Rate Hedged UCITS ETF"
"CRPH.L",0.007,0.022,1,-0.002,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"CRPH.L","iShares VI Public Limited Company - iShares Global Corporate Bond EUR Hedged UCITS ETF"
"EI18.L",0.017,0.052,1,0,0,0,0,0,0,0,0,0,"EI18.L","iShares IV Public Limited Company - iShares iBonds Sep 2018 USD Corporate UCITS ETF"
"IEAC.L",0.012,0.031,1,-0.004,-0.001,0,0,0,0,0.001,0.003,0.006,"IEAC.L","iShares III Public Limited Company - iShares Core Euro Corporate Bond UCITS ETF"
"UI18.L",0.02,0.061,1,0,0,0,0,0,0,0,0,0.001,"UI18.L","iShares IV Public Limited Company - iShares iBonds Sep 2018 USD Corporate UCITS ETF"
"IGSD.L",0.014,0.036,1,-0.003,-0.002,-0.002,-0.002,-0.002,-0.002,0,0.001,0.002,"IGSD.L","iShares IV Public Limited Company - iShares $ Short Duration Corporate Bond UCITS ETF"
"IEXF.L",0.01,0.027,1,-0.005,-0.001,-0.001,0,0,0,0.001,0.003,0.006,"IEXF.L","iShares III Public Limited Company - iShares Euro Corporate Bond ex-Financials UCITS ETF"
"IE15.L",0.019,0.044,1,0,0,0,0,0,0,0.001,0.001,0.001,"IE15.L","iShares III Public Limited Company - iShares Euro Corporate Bond 1-5yr UCITS ETF"
"SUSE.L",0.021,0.07,1,-0.006,-0.003,-0.001,0,0,0.001,0.002,0.004,0.01,"SUSE.L","iShares Euro Corporate Bond Sustainability Screened 0-3yr UCITS ETF"
"ISXF.L",0.018,0.059,1,0,0,0,0,0,0,0,0,0.001,"ISXF.L","iShares III Public Limited Company - iShares £ Corporate Bond ex-Financials UCITS ETF"
"SE15.L",0.023,0.047,1,-0.001,0,0,0,0,0,0,0.001,0.001,"SE15.L","iShares III Public Limited Company - iShares Euro Corporate Bond 1-5yr UCITS ETF"
"SE15.SW",0.006,0.02,1,0,0,0,0,0,0,0,0,0,"SE15.SW","iShares III Public Limited Company - iShares Euro Corporate Bond 1-5yr UCITS ETF"
"SUSE.SW",0.005,0.017,2,0,0,0,0,0,0,0,0,0,"SUSE.SW","iShares Euro Corporate Bond Sustainability Screened 0-3yr UCITS ETF"
"IECF.L",0.009,0.028,2,-0.006,0,0,0,0,0,0,0,0.083,"IECF.L","iShares VI Public Limited Company - iShares Euro Corporate Bond Financials UCITS ETF"
"IEBB.SW",0.005,0.019,2,0,0,0,0,0,0,0,0,0.001,"IEBB.SW","iShares III Public Limited Company - iShares Euro Corporate Bond BBB-BB UCITS ETF"
"SDHY.SW",0.009,0.033,2,-0.002,0,0,0,0,0,0,0.002,0.007,"SDHY.SW","iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF"
"CRPH.SW",0.005,0.017,2,-0.002,0,0,0,0,0,0,0.001,0.003,"CRPH.SW","iShares VI Public Limited Company - iShares Global Corporate Bond EUR Hedged UCITS ETF"
"IEAC.SW",0.009,0.032,2,-0.003,0,0,0,0,0,0,0.002,0.005,"IEAC.SW","iShares III Public Limited Company - iShares Core Euro Corporate Bond UCITS ETF"
"IEXF.SW",0.005,0.019,2,0,0,0,0,0,0,0,0,0.004,"IEXF.SW","iShares III Public Limited Company - iShares Euro Corporate Bond ex-Financials UCITS ETF"
"QDVL.F",0.003,0.011,2,0,0,0,0,0,0,0,0,0.002,"QDVL.F","iShares Euro Corporate Bond Sustainability Screened 0-3yr UCITS ETF"
"IHYU.L",0.008,0.027,2,-0.006,-0.001,0,0,0,0.001,0.001,0.004,0.007,"IHYU.L","iShares II Public Limited Company - iShares $ High Yield Corporate Bond UCITS ETF"
"SDHG.L",0.011,0.039,2,-0.004,-0.001,0,0.001,0.001,0.001,0.001,0.003,0.006,"SDHG.L","iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF"
"IRHC.L",0.012,0.041,2,-0.004,0,0,0,0,0,0,0.001,0.006,"IRHC.L","iShares V Public Limited Company - iShares Euro Corporate Bond Interest Rate Hedged UCITS ETF"
"ISBB.L",0.006,0.019,2,-0.002,0,0,0,0,0,0,0,0.006,"ISBB.L","iShares III Public Limited Company - iShares Euro Corporate Bond BBB-BB UCITS ETF"
"EEX5.SW",0.004,0.013,2,0,0,0,0,0,0,0,0,0,"EEX5.SW","iShares III Public Limited Company - iShares Euro Corporate Bond ex-Financials 1-5yr UCITS ETF"
"IECF.SW",0.006,0.022,2,0,0,0,0,0,0,0,0,0.003,"IECF.SW","iShares VI Public Limited Company - iShares Euro Corporate Bond Financials UCITS ETF"
"SDIG.SW",0.007,0.027,2,-0.003,0,0,0,0,0,0,0,0.005,"SDIG.SW","iShares IV Public Limited Company - iShares $ Short Duration Corporate Bond UCITS ETF"
"IHYU.SW",0.01,0.035,2,-0.004,0,0,0,0,0,0,0.003,0.007,"IHYU.SW","iShares II Public Limited Company - iShares $ High Yield Corporate Bond UCITS ETF"
"EMCP.L",0.009,0.033,2,-0.081,-0.003,-0.001,0,0,0,0.002,0.011,0.195,"EMCP.L","iShares V Public Limited Company - iShares $ Emerging Markets Corporate Bond UCITS ETF"
"IRCP.AS",0.012,0.042,2,-0.001,-0.001,0,0,0,0,0,0.001,0.001,"IRCP.AS","iShares V Public Limited Company - iShares Euro Corporate Bond Interest Rate Hedged UCITS ETF"
