"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"IEGE.SW",0.003,0.009,1,0,0,0,0,0,0,0,0,0,"IEGE.SW","iShares III Public Limited Company - iShares Euro Government Bond 0-1yr UCITS ETF"
"IBGM.SW",0.002,0.006,1,0,0,0,0,0,0,0.001,0.001,0.003,"IBGM.SW","iShares II Public Limited Company - iShares Euro Government Bond 7-10yr UCITS ETF"
"IGLO.SW",0.002,0.007,1,-0.002,0,0,0,0,0,0,0.001,0.004,"IGLO.SW","iShares III Public Limited Company - iShares Global Government Bond UCITS ETF"
"IBGL.SW",0.002,0.007,1,0,0,0,0,0,0,0.001,0.002,0.006,"IBGL.SW","iShares II Public Limited Company - iShares Euro Government Bond 15-30yr UCITS ETF"
"IS0S.DE",0.006,0.022,1,-0.005,-0.002,-0.001,0,0,0.001,0.002,0.004,0.007,"IS0S.DE","iShares III Public Limited Company - iShares Emerging Asia Local Government Bond UCITS ETF"
"IGIL.SW",0.002,0.007,1,-0.003,0,0,0,0,0,0,0.002,0.006,"IGIL.SW","iShares III Public Limited Company - iShares Global Inflation Linked Government Bond UCITS ETF"
"EG20.L",0.004,0.018,1,-0.085,0,0.001,0.001,0.001,0.001,0.002,0.007,0.114,"EG20.L","iShares IV Public Limited Company - iShares Euro Government Bond 20yr Target Duration UCITS ETF"
"IEGZ.L",0.002,0.008,1,-0.005,0,0,0,0,0,0,0.002,0.007,"IEGZ.L","iShares III Public Limited Company - iShares Euro Government Bond 10-15yr UCITS ETF"
"IEML.L",0.003,0.014,1,-0.032,-0.006,-0.004,-0.001,0,0.003,0.007,0.015,0.077,"IEML.L","iShares III Public Limited Company - iShares Emerging Markets Local Government Bond UCITS ETF"
"IEML.SW",0.002,0.008,1,-0.006,0,0,0,0,0,0,0.003,0.007,"IEML.SW","iShares III Public Limited Company - iShares Emerging Markets Local Government Bond UCITS ETF"
"SESP.L",0.002,0.008,1,-0.004,0,0,0,0,0,0,0,0.01,"SESP.L","iShares V Public Limited Company - iShares Spain Government Bond UCITS ETF"
"IBGL.L",0.006,0.021,1,-0.002,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.002,"IBGL.L","iShares II Public Limited Company - iShares Euro Government Bond 15-30yr UCITS ETF"
"IS0S.F",0.007,0.023,1,-0.005,-0.003,-0.001,0,0,0.002,0.003,0.004,0.007,"IS0S.F","iShares III Public Limited Company - iShares Emerging Asia Local Government Bond UCITS ETF"
"EUN9.DE",0.002,0.008,1,-0.001,0,0,0,0,0,0,0,0.002,"EUN9.DE","iShares III Public Limited Company - iShares Euro Government Bond 5-7yr UCITS ETF"
"E20Y.SW",0.001,0.004,1,0,0,0,0,0,0,0,0,0.001,"E20Y.SW","iShares IV Public Limited Company - iShares Euro Government Bond 20yr Target Duration UCITS ETF"
"IUSP.F",0.005,0.018,1,-0.006,-0.003,-0.002,-0.001,0,0.001,0.003,0.004,0.006,"IUSP.F","iShares III Public Limited Company - iShares Emerging Markets Local Government Bond UCITS ETF"
"SFRB.L",0.003,0.013,1,-0.003,0,0,0.001,0.001,0.001,0.001,0.001,0.009,"SFRB.L","iShares V Public Limited Company - iShares France Government Bond UCITS ETF"
"IAAA.SW",0.002,0.006,1,-0.001,0,0,0,0,0,0,0,0.004,"IAAA.SW","iShares VI Public Limited Company - iShares Global AAA-AA Government Bond UCITS ETF"
"SXRN.DE",0.002,0.009,1,0,0,0,0,0,0,0,0,0,"SXRN.DE","iShares VII Public Limited Company - iShares Euro Government Bond 1-3yr UCITS ETF (Acc)"
"QDVL.F",0.001,0.003,1,0,0,0,0,0,0,0,0,0.002,"QDVL.F","iShares Euro Corporate Bond Sustainability Screened 0-3yr UCITS ETF"
"IEBB.SW",0.002,0.007,1,0,0,0,0,0,0,0,0,0.001,"IEBB.SW","iShares III Public Limited Company - iShares Euro Corporate Bond BBB-BB UCITS ETF"
"IRHC.L",0.003,0.013,1,-0.004,0,0,0,0,0,0,0.001,0.006,"IRHC.L","iShares V Public Limited Company - iShares Euro Corporate Bond Interest Rate Hedged UCITS ETF"
"IEXF.SW",0.002,0.007,1,0,0,0,0,0,0,0,0,0.003,"IEXF.SW","iShares III Public Limited Company - iShares Euro Corporate Bond ex-Financials UCITS ETF"
"IRCP.SW",0.002,0.007,1,-0.002,0,0,0,0,0,0,0,0.004,"IRCP.SW","iShares V Public Limited Company - iShares Euro Corporate Bond Interest Rate Hedged UCITS ETF"
"IEAC.L",0.004,0.011,1,-0.004,-0.001,0,0,0,0,0.001,0.003,0.006,"IEAC.L","iShares III Public Limited Company - iShares Core Euro Corporate Bond UCITS ETF"
"CRPH.SW",0.002,0.007,1,-0.002,0,0,0,0,0,0,0.001,0.003,"CRPH.SW","iShares VI Public Limited Company - iShares Global Corporate Bond EUR Hedged UCITS ETF"
"EMCP.L",0.002,0.01,1,-0.081,-0.003,-0.001,0,0,0,0.002,0.011,0.195,"EMCP.L","iShares V Public Limited Company - iShares $ Emerging Markets Corporate Bond UCITS ETF"
"ISBB.L",0.002,0.006,1,-0.002,0,0,0,0,0,0,0,0.006,"ISBB.L","iShares III Public Limited Company - iShares Euro Corporate Bond BBB-BB UCITS ETF"
"IECF.SW",0.002,0.007,1,0,0,0,0,0,0,0,0,0.003,"IECF.SW","iShares VI Public Limited Company - iShares Euro Corporate Bond Financials UCITS ETF"
"IHYU.SW",0.003,0.011,1,-0.004,0,0,0,0,0,0,0.003,0.007,"IHYU.SW","iShares II Public Limited Company - iShares $ High Yield Corporate Bond UCITS ETF"
"IRCP.AS",0.004,0.018,1,-0.001,-0.001,0,0,0,0,0,0.001,0.001,"IRCP.AS","iShares V Public Limited Company - iShares Euro Corporate Bond Interest Rate Hedged UCITS ETF"
"IHYU.L",0.002,0.009,1,-0.006,-0.001,0,0,0,0.001,0.001,0.004,0.007,"IHYU.L","iShares II Public Limited Company - iShares $ High Yield Corporate Bond UCITS ETF"
