"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"IUSP.F",0.006,0.021,1,-0.006,-0.003,-0.002,-0.001,0,0.001,0.003,0.004,0.006,"IUSP.F","iShares III Public Limited Company - iShares Emerging Markets Local Government Bond UCITS ETF"
"EUN3.F",0.018,0.039,1,-0.004,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.005,"EUN3.F","iShares III Public Limited Company - iShares Global Government Bond UCITS ETF"
"EUN3.DE",0.018,0.04,1,-0.004,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.005,"EUN3.DE","iShares III Public Limited Company - iShares Global Government Bond UCITS ETF"
"IUS5.F",0.017,0.039,1,-0.004,-0.002,-0.001,-0.001,0,0.001,0.003,0.004,0.006,"IUS5.F","iShares III Public Limited Company - iShares Global Inflation Linked Government Bond UCITS ETF"
"IS0S.DE",0.007,0.02,1,-0.005,-0.002,-0.001,0,0,0.001,0.002,0.004,0.007,"IS0S.DE","iShares III Public Limited Company - iShares Emerging Asia Local Government Bond UCITS ETF"
"IS0S.F",0.008,0.024,1,-0.005,-0.003,-0.001,0,0,0.002,0.003,0.004,0.007,"IS0S.F","iShares III Public Limited Company - iShares Emerging Asia Local Government Bond UCITS ETF"
"IUS5.DE",0.019,0.041,1,-0.005,-0.002,-0.001,0,0,0.001,0.002,0.004,0.006,"IUS5.DE","iShares III Public Limited Company - iShares Global Inflation Linked Government Bond UCITS ETF"
"IITB.SW",0.003,0.01,2,0,0,0,0,0,0,0,0,0.003,"IITB.SW","iShares V Public Limited Company - iShares Italy Government Bond UCITS ETF"
"SAAA.L",0.003,0.01,2,-0.005,-0.002,-0.001,0,0,0.001,0.002,0.003,0.005,"SAAA.L","iShares VI Public Limited Company - iShares Global AAA-AA Government Bond UCITS ETF"
"EUN9.DE",0.004,0.013,2,-0.001,0,0,0,0,0,0,0,0.002,"EUN9.DE","iShares III Public Limited Company - iShares Euro Government Bond 5-7yr UCITS ETF"
"EUN6.DE",0.01,0.036,2,0,0,0,0,0,0,0,0,0,"EUN6.DE","iShares III Public Limited Company - iShares Euro Government Bond 0-1yr UCITS ETF"
