"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"^GDAXI",0.008,0.023,1,-0.014,-0.005,-0.002,0,0.001,0.004,0.006,0.008,0.011,"-","-"
"^FCHI",0.007,0.021,1,-0.011,-0.004,-0.002,0,0,0.003,0.004,0.007,0.01,"-","-"
"^N100",0.009,0.026,1,-0.009,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.009,"-","-"
"^SSMI",0.001,0.005,1,-0.009,-0.004,-0.002,0,0,0.002,0.003,0.006,0.013,"-","-"
"^CXKCX",0.004,0.013,1,-0.014,-0.006,-0.003,0,0.001,0.004,0.006,0.009,0.015,"-","-"
"C072.F",0.002,0.007,1,-0.015,-0.006,-0.003,-0.001,0.001,0.005,0.008,0.01,0.018,"C072.F","ComStage - STOXX Europe 600 Oil & Gas NR UCITS ETF"
"EXH2.F",0.004,0.012,1,-0.01,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.009,"EXH2.F","iShares (DE) I - iShares STOXX Europe 600 Financial Services UCITS ETF (DE)"
"EL4G.F",0.003,0.012,1,-0.008,-0.004,-0.002,-0.001,0,0.002,0.003,0.005,0.01,"EL4G.F","Deka EURO STOXX Select Dividend 30 UCITS ETF"
"C076.F",0.004,0.012,1,-0.013,-0.006,-0.003,0.001,0.001,0.005,0.007,0.01,0.015,"C076.F","ComStage - STOXX Europe 600 Technology NR UCITS ETF"
"C064.F",0.007,0.023,1,-0.013,-0.004,-0.001,0.001,0.001,0.003,0.005,0.008,0.012,"C064.F","ComStage - STOXX Europe 600 Chemicals NR UCITS ETF"
"SC0G.F",0.014,0.044,1,-0.008,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.009,"SC0G.F","Source Markets plc - Source STOXX Europe Mid 200 UCITS ETF"
"EXSI.F",0.016,0.052,1,-0.01,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.01,"EXSI.F","iShares EURO STOXX UCITS ETF (DE)"
"C052.F",0.02,0.056,1,-0.008,-0.004,-0.002,-0.001,-0.001,0.001,0.004,0.006,0.014,"C052.F","ComStage - EURO STOXX 50 Daily Short GR UCITS ETF"
"SXRT.DE",0.013,0.038,1,-0.011,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.01,"SXRT.DE","iShares VII Public Limited Company - iShares Core EURO STOXX 50 UCITS ETF"
"C070.F",0.004,0.015,1,-0.008,-0.004,-0.003,-0.001,0,0.003,0.004,0.007,0.01,"C070.F","ComStage - STOXX Europe 600 Insurance NR UCITS ETF"
"C065.F",0.009,0.031,1,-0.011,-0.004,-0.001,0,0.001,0.004,0.005,0.006,0.008,"C065.F","ComStage - STOXX Europe 600 Construction & Materials NR UCITS ETF"
"EL4E.F",0.002,0.009,1,-0.007,-0.004,-0.001,0.001,0.001,0.003,0.005,0.006,0.011,"EL4E.F","Deka STOXX Europe Strong Style Composite 40 UCITS ETF"
"EXV5.F",0.002,0.007,1,-0.019,-0.006,-0.004,-0.002,-0.001,0.003,0.006,0.009,0.02,"EXV5.F","iShares (DE) I - iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE)"
"EXSA.DE",0.01,0.035,1,-0.009,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.008,"EXSA.DE","iShares STOXX Europe 600 UCITS ETF (DE)"
"IUSR.F",0.024,0.074,1,-0.01,-0.003,-0.001,0.001,0.001,0.003,0.005,0.007,0.009,"IUSR.F","iShares II Public Limited Company - iShares EURO STOXX 50 ex-Financials UCITS ETF"
"DJSC.AS",0.004,0.014,1,-0.008,-0.004,-0.002,0,0,0.004,0.005,0.006,0.007,"DJSC.AS","iShares Public Limited Company - iShares EURO STOXX Small UCITS ETF"
"C066.F",0.005,0.016,1,-0.01,-0.005,-0.001,0,0.001,0.003,0.005,0.007,0.009,"C066.F","ComStage - STOXX Europe 600 Financial Services NR UCITS ETF"
"SXRT.F",0.032,0.089,1,-0.01,-0.003,-0.001,0,0.001,0.003,0.005,0.006,0.01,"SXRT.F","iShares VII Public Limited Company - iShares Core EURO STOXX 50 UCITS ETF"
"EXH4.F",0.009,0.03,1,-0.01,-0.002,-0.001,0.001,0.001,0.004,0.005,0.007,0.011,"EXH4.F","iShares (DE) I - iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE)"
"ELFA.F",0.033,0.095,1,-0.011,-0.004,-0.001,0,0.001,0.002,0.005,0.007,0.009,"ELFA.F","Deka EURO STOXX 50 UCITS ETF"
"SX8PEX.SW",0.001,0.002,1,0,0,0,0,0,0,0,0,0.014,"SX8PEX.SW","iShares (DE) I - iShares STOXX Europe 600 Technology UCITS ETF (DE)"
"EL4C.F",0.002,0.006,1,-0.009,-0.002,0,0.001,0.003,0.005,0.006,0.008,0.013,"EL4C.F","Deka STOXX Europe Strong Growth 20 UCITS ETF"
"EXSD.F",0.014,0.045,1,-0.007,-0.002,-0.001,0,0.001,0.003,0.004,0.006,0.009,"EXSD.F","iShares STOXX Europe Mid 200 UCITS ETF (DE)"
"DXSP.F",0.02,0.055,1,-0.008,-0.004,-0.002,-0.001,-0.001,0.001,0.003,0.006,0.013,"DXSP.F","db x-trackers - EURO STOXX 50 Short Daily UCITS ETF"
"EXV7.F",0.006,0.018,1,-0.012,-0.003,-0.001,0,0.001,0.003,0.005,0.009,0.012,"EXV7.F","iShares (DE) I - iShares STOXX Europe 600 Chemicals UCITS ETF (DE)"
"EXV2.F",0.002,0.006,1,-0.011,-0.006,-0.004,-0.001,0,0.001,0.003,0.006,0.014,"EXV2.F","iShares (DE) I - iShares STOXX Europe 600 Telecommunications UCITS ETF (DE)"
"ZPRL.F",0.01,0.034,1,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.003,0.005,0.008,"ZPRL.F","SSgA SPDR ETFs Europe II Public Limited Company - SPDR EURO STOXX Low Volatility UCITS ETF"
"EL4B.F",0.013,0.038,1,-0.01,-0.004,-0.002,0,0,0.002,0.004,0.006,0.009,"EL4B.F","Deka EURO STOXX 50 UCITS ETF"
"EXSC.F",0.014,0.046,1,-0.009,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.011,"EXSC.F","iShares STOXX Europe Large 200 UCITS ETF (DE)"
