"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"^GDAXI",0.028,0.073,1,-0.012,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.014,"-","-"
"^FCHI",0.037,0.091,1,-0.008,-0.004,-0.002,0,0,0.003,0.004,0.007,0.011,"-","-"
"^N100",0.043,0.107,1,-0.007,-0.004,-0.002,0,0.001,0.003,0.004,0.006,0.01,"-","-"
"^CXKCX",0.008,0.021,1,-0.013,-0.006,-0.003,-0.001,0,0.004,0.006,0.01,0.015,"-","-"
"IQQS.DE",0.017,0.041,1,-0.008,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.009,"IQQS.DE","iShares Public Limited Company - iShares EURO STOXX Small UCITS ETF"
"DJSC.AS",0.016,0.038,1,-0.008,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.009,"DJSC.AS","iShares Public Limited Company - iShares EURO STOXX Small UCITS ETF"
"EXSE.DE",0.009,0.025,1,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.007,0.011,"EXSE.DE","iShares STOXX Europe Small 200 UCITS ETF (DE)"
"EXSA.DE",0.055,0.153,1,-0.008,-0.003,-0.002,0,0.001,0.002,0.004,0.007,0.01,"EXSA.DE","iShares STOXX Europe 600 UCITS ETF (DE)"
"SXRT.DE",0.065,0.157,1,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.007,0.011,"SXRT.DE","iShares VII Public Limited Company - iShares Core EURO STOXX 50 UCITS ETF"
"EXSC.DE",0.02,0.056,1,-0.008,-0.003,-0.001,0,0,0.002,0.004,0.006,0.01,"EXSC.DE","iShares STOXX Europe Large 200 UCITS ETF (DE)"
"DJMC.AS",0.023,0.056,1,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.009,"DJMC.AS","iShares Public Limited Company - iShares EURO STOXX Mid UCITS ETF"
"CSX5.AS",0.05,0.114,1,-0.008,-0.005,-0.002,0,0,0.003,0.005,0.006,0.011,"CSX5.AS","iShares VII Public Limited Company - iShares Core EURO STOXX 50 UCITS ETF"
"EXSD.DE",0.012,0.035,1,-0.009,-0.004,-0.001,0,0.001,0.003,0.004,0.007,0.01,"EXSD.DE","iShares STOXX Europe Mid 200 UCITS ETF (DE)"
