"","so","mem"
"BAYN.DE",0.007,1
"TKA.DE",0.007,1
"MRK.DE",0.007,1
"CBK.DE",0.008,1
"BMW.DE",0.007,1
"CNA.L",0.005,1
"GFS.L",0.007,1
"DLG.L",0.007,1
"EXPN.L",0.006,1
"PPB.L",0.008,1
"MMM",0.02,2
"VZ",0.01,2
"BA",0.02,2
"MCD",0.011,2
"CAT",0.025,2
"ADS.DE",0.008,2
"RWE.DE",0.007,2
"LIN.DE",0.009,2
"EOAN.DE",0.007,2
"VNA.DE",0.008,2
"DBK.DE",0.007,2
"ANTO.L",0.007,2
"AHT.L",0.009,2
"BATS.L",0.008,2
"SSE.L",0.008,2
"SKY.L",0.007,2
"SMT.L",0.005,2
"RTO.L",0.011,2
"STJ.L",0.007,2
"MRK",0.01,3
"NKE",0.007,3
"WMT",0.008,3
"SIE.DE",0.012,3
"BEI.DE",0.009,3
"BAS.DE",0.011,3
"FRE.DE",0.011,3
"ALV.DE",0.013,3
"PSM.DE",0.008,3
"DPW.DE",0.01,3
"VOW3.DE",0.009,3
"DAI.DE",0.011,3
"HEI.DE",0.006,3
"CON.DE",0.009,3
"SAP.DE",0.009,3
"IFX.DE",0.009,3
"DB1.DE",0.01,3
"HEN3.DE",0.007,3
"LHA.DE",0.007,3
"DTE.DE",0.006,3
"^GDAXI",0.021,3
"CCH.L",0.007,3
"EZJ.L",0.005,3
"SHP.L",0.007,3
"CCL.L",0.006,3
"NMC.L",0.005,3
"SMIN.L",0.005,3
"PRU.L",0.01,3
"CPG.L",0.005,3
"VOD.L",0.009,3
"^FTSE",0.016,3
"^DJI",0.043,4
"MSFT",0.025,4
"DIS",0.008,4
"JNJ",0.022,4
"HD",0.021,4
"KO",0.015,4
"GE",0.009,4
"AAPL",0.014,4
"UTX",0.013,4
"TRV",0.013,4
"IBM",0.014,4
"GS",0.016,4
"V",0.017,4
"JPM",0.025,4
"PFE",0.015,4
"CSCO",0.013,4
"PG",0.014,4
"AXP",0.028,4
"UNH",0.016,4
"DWDP",0.029,4
"INTC",0.018,4
"XOM",0.019,4
"CVX",0.019,4
"MUV2.DE",0.011,4
"FME.DE",0.011,4
"SDR.L",0.013,4
