"","so","mem"
"BAYN.DE",0.005,1
"DAI.DE",0.009,1
"CON.DE",0.007,1
"SHP.L",0.006,1
"GFS.L",0.005,1
"DLG.L",0.006,1
"AI.PA",0.005,1
"UG.PA",0.004,1
"SW.PA",0.006,1
"SIE.DE",0.01,2
"BAS.DE",0.008,2
"FRE.DE",0.009,2
"ALV.DE",0.011,2
"DPW.DE",0.007,2
"SAP.DE",0.007,2
"IFX.DE",0.007,2
"DB1.DE",0.008,2
"HEN3.DE",0.005,2
"DBK.DE",0.006,2
"^GDAXI",0.019,2
"CCH.L",0.005,2
"SDR.L",0.01,2
"PRU.L",0.008,2
"SMT.L",0.004,2
"^FTSE",0.013,2
"FP.PA",0.007,2
"LR.PA",0.008,2
"SU.PA",0.01,2
"^FCHI",0.015,2
"GE",0.007,3
"WMT",0.007,3
"PSM.DE",0.007,3
"VNA.DE",0.007,3
"HEI.DE",0.005,3
"LHA.DE",0.006,3
"CCL.L",0.004,3
"VOD.L",0.007,3
"CA.PA",0.005,3
"VIV.PA",0.006,3
"EN.PA",0.006,3
"ADS.DE",0.006,4
"RWE.DE",0.006,4
"EOAN.DE",0.006,4
"AHT.L",0.007,4
"RTO.L",0.008,4
"ATO.PA",0.006,4
"DIS",0.006,5
"ANTO.L",0.005,5
"SKY.L",0.006,5
"STJ.L",0.005,5
"FR.PA",0.006,5
"SGO.PA",0.009,5
"AC.PA",0.005,5
"ENGI.PA",0.007,5
"^DJI",0.033,6
"MSFT",0.019,6
"JNJ",0.018,6
"HD",0.018,6
"KO",0.013,6
"AAPL",0.011,6
"UTX",0.01,6
"TRV",0.011,6
"IBM",0.011,6
"GS",0.013,6
"V",0.014,6
"JPM",0.019,6
"PFE",0.012,6
"CSCO",0.012,6
"PG",0.011,6
"AXP",0.021,6
"UNH",0.012,6
"DWDP",0.022,6
"INTC",0.015,6
"XOM",0.014,6
"CVX",0.013,6
"MUV2.DE",0.009,6
"MC.PA",0.012,6
"AIR.PA",0.007,6
"ML.PA",0.005,6
"MRK",0.008,7
"MMM",0.016,7
"VZ",0.008,7
"BA",0.016,7
"MCD",0.009,7
"CAT",0.02,7
"LIN.DE",0.006,7
"VOW3.DE",0.007,7
"FME.DE",0.009,7
"BATS.L",0.006,7
"SSE.L",0.006,7
"CAP.PA",0.008,7
"KER.PA",0.009,7
"NKE",0.006,8
"BEI.DE",0.009,8
"CPG.L",0.004,8
"SAN.PA",0.005,8
"BN.PA",0.008,8
"OR.PA",0.009,8
"DG.PA",0.009,8
"TKA.DE",0.006,9
"MRK.DE",0.006,9
"CBK.DE",0.007,9
"BMW.DE",0.006,9
"PPB.L",0.006,9
"ORA.PA",0.007,9
"EZJ.L",0.004,10
"NMC.L",0.004,10
"GLE.PA",0.005,10
"BNP.PA",0.006,10
"ACA.PA",0.005,10
"DTE.DE",0.006,11
"CNA.L",0.004,11
"EXPN.L",0.005,11
"VIE.PA",0.008,11
