"","so","mem"
"NKE",0.005,1
"KO",0.014,1
"WMT",0.007,1
"BEI.DE",0.007,1
"FRE.DE",0.009,1
"BAYN.DE",0.005,1
"RWE.DE",0.006,1
"PSM.DE",0.007,1
"DPW.DE",0.008,1
"DAI.DE",0.009,1
"EOAN.DE",0.006,1
"HEI.DE",0.005,1
"HEN3.DE",0.005,1
"LHA.DE",0.006,1
"DTE.DE",0.006,1
"CCH.L",0.005,1
"AHT.L",0.007,1
"EZJ.L",0.004,1
"SHP.L",0.006,1
"CCL.L",0.004,1
"CNA.L",0.005,1
"NMC.L",0.004,1
"SKY.L",0.006,1
"DLG.L",0.006,1
"CPG.L",0.004,1
"0003.HK",0.006,1
"0941.HK",0.007,1
"2318.HK",0.007,1
"2388.HK",0.005,1
"0006.HK",0.007,1
"0002.HK",0.007,1
"0012.HK",0.005,1
"0016.HK",0.005,1
"0700.HK",0.006,1
"2628.HK",0.005,1
"0027.HK",0.005,1
"0992.HK",0.005,1
"1398.HK",0.006,1
"0023.HK",0.006,1
"1109.HK",0.006,1
"0836.HK",0.005,1
"0017.HK",0.005,1
"1299.HK",0.008,1
"1928.HK",0.005,1
"0883.HK",0.011,1
"1044.HK",0.006,1
"0267.HK",0.007,1
"0083.HK",0.007,1
"2319.HK",0.006,1
"0386.HK",0.014,1
"^HSI",0.011,1
"MRK",0.008,2
"MMM",0.015,2
"VZ",0.008,2
"BA",0.016,2
"MCD",0.009,2
"CAT",0.019,2
"SIE.DE",0.009,2
"BAS.DE",0.008,2
"ADS.DE",0.006,2
"ALV.DE",0.01,2
"LIN.DE",0.007,2
"VOW3.DE",0.007,2
"VNA.DE",0.007,2
"CON.DE",0.007,2
"SAP.DE",0.007,2
"IFX.DE",0.007,2
"DBK.DE",0.005,2
"FME.DE",0.009,2
"^GDAXI",0.017,2
"ANTO.L",0.006,2
"BATS.L",0.007,2
"SSE.L",0.007,2
"PRU.L",0.008,2
"SMT.L",0.004,2
"RTO.L",0.008,2
"STJ.L",0.005,2
"^FTSE",0.012,2
"1038.HK",0.007,2
"2018.HK",0.006,2
"TKA.DE",0.005,3
"MRK.DE",0.006,3
"CBK.DE",0.006,3
"BMW.DE",0.006,3
"GFS.L",0.005,3
"EXPN.L",0.005,3
"PPB.L",0.006,3
"^DJI",0.036,4
"MSFT",0.02,4
"DIS",0.006,4
"JNJ",0.019,4
"HD",0.017,4
"GE",0.007,4
"AAPL",0.011,4
"UTX",0.011,4
"TRV",0.011,4
"IBM",0.012,4
"GS",0.014,4
"V",0.014,4
"JPM",0.019,4
"PFE",0.013,4
"CSCO",0.013,4
"PG",0.012,4
"AXP",0.024,4
"UNH",0.013,4
"DWDP",0.024,4
"INTC",0.015,4
"XOM",0.016,4
"CVX",0.014,4
"MUV2.DE",0.009,4
"DB1.DE",0.007,4
"SDR.L",0.009,4
"VOD.L",0.007,4
"0101.HK",0.007,4
