"","so","mem"
"HOMB",NA,1
"GWB",NA,1
"FRC",NA,1
"STBZ",NA,1
"OPB",NA,1
"RNST",NA,1
"SFNC",NA,1
"HTH",NA,1
"RBS",NA,1
"VLY",NA,1
"WAL",NA,1
"BPOP",NA,1
"SHG",NA,1
"SFBS",NA,1
"BMO",NA,2
"TD",NA,2
"RY",NA,2
"CM",NA,2
"SFST",NA,2
"3328.HK",NA,2
"CS",NA,2
"DSEEY",NA,2
"NMR",NA,2
"SMFG",NA,2
"BAC",NA,3
"STI",NA,3
"BNS",NA,3
"C",NA,3
"JPM",NA,3
"WFC",NA,3
"CMA",NA,3
"PNC",NA,3
"^BANK",NA,3
"GS",NA,3
"USB",NA,3
"UBS",NA,3
"MCILX",NA,3
"MS",NA,3
"EWBC",NA,3
"STL",NA,4
"IBN",NA,5
"BAP",NA,6
"BLMT",NA,7
"FBNK",NA,8
"BSAC",NA,9
"OFG",NA,10
"UNTY",NA,11
"NCBS",NA,12
"PUB",NA,13
"EGDW",NA,14
"FCBI",NA,15
"TSC",NA,16
"OAKV",NA,17
"CBKM",NA,18
"1398.HK",NA,19
"0939.HK",NA,20
"3988.HK",NA,21
"GLE.PA",NA,22
"LLOY.L",NA,23
"DB",NA,24
"HSBC",NA,25
"ING",NA,26
"WBK",NA,27
"WF",NA,28
"ZBK",NA,29
"JFBC",NA,30
"SCGLY",NA,31
"BNP.PA",NA,32
"BBVA",NA,33
"BBD",NA,34
"BSBR",NA,35
"HDB",NA,36
"FBP",NA,37
"CIB",NA,38
"BFR",NA,39
"BBDO",NA,40
"BSMX",NA,41
"BMA",NA,42
"BCH",NA,43
"GGAL",NA,44
"KB",NA,45
"MFG",NA,46
"ITUB",NA,47
"BCS",NA,48
"SAN",NA,49
"LYG",NA,50
"BLX",NA,51
