"","so","mem"
"^FTSE",0.01,1
"^GDAXI",0.024,1
"^FCHI",0.017,1
"^STOXX50E",0.011,1
"^N100",0.023,1
"^BFX",0.023,1
"^STI",0.007,1
"^AXJO",0.008,1
"^AORD",0.009,1
"^KS11",0.005,1
"^OMXSPI",0.012,1
"^SSMI",0.01,1
"^AEX",0.029,1
"^XU100",0.004,1
"^SMSI",0.007,1
"^IBEX",0.007,1
"^DJAT",0.014,1
"^OMX",0.013,1
"^HSI",0.007,2
"^JKSE",0.005,2
"^KLSE",0.006,2
"^TWII",0.004,2
"^BVSP",0.004,2
"^MXX",0.005,2
"^IPSA",0.004,2
"^MERV",0.004,2
"^SSEC",0.002,2
"^ATX",0.004,2
"^OSEAX",0.004,2
"^XAU",0.004,2
"^DJU",0.006,2
"^KFX",0.004,2
"FTSEMIB.MI",0.003,2
"000001.SS",0.007,2
"^BUX",0.007,2
"MOEX.ME",0.004,2
"^OMXC20",0.01,2
"^GSPTSE",0.022,3
"^GSPC",0.065,3
"^DJI",0.061,3
"^IXIC",0.035,3
"^NYA",0.054,3
"^XAX",0.007,3
"^RUT",0.039,3
"^N225",0.006,3
"^NZ50",0.007,3
"^XMI",0.058,3
"^OEX",0.061,3
"^MID",0.043,3
"^NBI",0.01,3
"^NWX",0.013,3
"^PSE",0.037,3
"^RUA",0.054,3
"^RUI",0.063,3
"^DJT",0.018,3
"^BSESN",0.007,4
"^NSEI",0.006,4
"BSE-500.BO",0.006,4
