"","so","mem"
"^DJI",0.025,1
"MSFT",0.013,1
"MRK",0.007,1
"DIS",0.008,1
"NKE",0.005,1
"JNJ",0.012,1
"HD",0.014,1
"KO",0.008,1
"MMM",0.017,1
"GE",0.01,1
"AAPL",0.009,1
"VZ",0.007,1
"UTX",0.012,1
"TRV",0.012,1
"IBM",0.011,1
"BA",0.018,1
"GS",0.018,1
"V",0.019,1
"WMT",0.006,1
"MCD",0.008,1
"JPM",0.018,1
"PFE",0.007,1
"CSCO",0.014,1
"PG",0.01,1
"AXP",0.012,1
"UNH",0.009,1
"DWDP",0.019,1
"CAT",0.014,1
"INTC",0.011,1
"XOM",0.011,1
"CVX",0.015,1
"BATS.L",0.006,1
"SHP.L",0.006,1
"RTO.L",0.006,1
"CPG.L",0.006,1
"CCH.L",0.006,2
"AHT.L",0.011,2
"SDR.L",0.017,2
"EZJ.L",0.007,2
"CNA.L",0.006,2
"SSE.L",0.009,2
"GFS.L",0.006,2
"NMC.L",0.007,2
"SMIN.L",0.012,2
"PRU.L",0.021,2
"DLG.L",0.006,2
"STJ.L",0.016,2
"^FTSE",0.026,2
"BEI.DE",0.007,3
"FRE.DE",0.008,3
"ADS.DE",0.006,3
"PSM.DE",0.006,3
"LIN.DE",0.007,3
"VNA.DE",0.008,3
"HEN3.DE",0.009,3
"FME.DE",0.007,3
"CCL.L",0.007,3
"SKY.L",0.008,3
"SMT.L",0.005,3
"EXPN.L",0.008,3
"VOD.L",0.009,3
"SIE.DE",0.015,4
"BAS.DE",0.022,4
"MUV2.DE",0.014,4
"BAYN.DE",0.009,4
"TKA.DE",0.019,4
"ALV.DE",0.02,4
"RWE.DE",0.01,4
"DPW.DE",0.012,4
"VOW3.DE",0.017,4
"DAI.DE",0.017,4
"EOAN.DE",0.013,4
"HEI.DE",0.012,4
"CON.DE",0.013,4
"SAP.DE",0.013,4
"MRK.DE",0.007,4
"IFX.DE",0.01,4
"DB1.DE",0.017,4
"CBK.DE",0.011,4
"LHA.DE",0.007,4
"DBK.DE",0.013,4
"DTE.DE",0.015,4
"BMW.DE",0.022,4
"^GDAXI",0.031,4
"ANTO.L",0.01,4
"PPB.L",0.006,4
