"","so","mem"
"ADS.DE",0.004,1
"PSM.DE",0.005,1
"LIN.DE",0.004,1
"VNA.DE",0.005,1
"HEN3.DE",0.006,1
"FME.DE",0.005,1
"CCH.L",0.004,1
"SDR.L",0.012,1
"EZJ.L",0.005,1
"CCL.L",0.004,1
"CNA.L",0.004,1
"SSE.L",0.006,1
"GFS.L",0.004,1
"NMC.L",0.004,1
"PRU.L",0.014,1
"SMT.L",0.003,1
"DLG.L",0.004,1
"EXPN.L",0.005,1
"STJ.L",0.011,1
"CPG.L",0.004,1
"VOD.L",0.006,1
"^FTSE",0.019,1
"AIR.PA",0.009,1
"SAN.PA",0.003,1
"SIE.DE",0.013,2
"BEI.DE",0.006,2
"BAS.DE",0.015,2
"FRE.DE",0.005,2
"MUV2.DE",0.011,2
"BAYN.DE",0.006,2
"TKA.DE",0.015,2
"ALV.DE",0.014,2
"RWE.DE",0.007,2
"DPW.DE",0.009,2
"VOW3.DE",0.011,2
"DAI.DE",0.012,2
"EOAN.DE",0.011,2
"HEI.DE",0.011,2
"CON.DE",0.008,2
"SAP.DE",0.011,2
"MRK.DE",0.004,2
"IFX.DE",0.006,2
"DB1.DE",0.01,2
"CBK.DE",0.009,2
"LHA.DE",0.005,2
"DBK.DE",0.011,2
"DTE.DE",0.012,2
"BMW.DE",0.016,2
"^GDAXI",0.026,2
"ANTO.L",0.007,2
"AHT.L",0.007,2
"SKY.L",0.006,2
"PPB.L",0.004,2
"CAP.PA",0.013,2
"FP.PA",0.016,2
"AI.PA",0.006,2
"FR.PA",0.01,2
"MC.PA",0.009,2
"UG.PA",0.012,2
"SGO.PA",0.016,2
"KER.PA",0.007,2
"AC.PA",0.014,2
"LR.PA",0.017,2
"ATO.PA",0.006,2
"ENGI.PA",0.008,2
"BN.PA",0.007,2
"GLE.PA",0.018,2
"SU.PA",0.019,2
"CA.PA",0.005,2
"OR.PA",0.006,2
"BNP.PA",0.016,2
"ML.PA",0.008,2
"VIE.PA",0.006,2
"ACA.PA",0.015,2
"DG.PA",0.007,2
"VIV.PA",0.005,2
"ORA.PA",0.013,2
"EN.PA",0.009,2
"^FCHI",0.027,2
"^DJI",0.016,3
"MSFT",0.009,3
"MRK",0.004,3
"DIS",0.005,3
"NKE",0.004,3
"JNJ",0.008,3
"HD",0.01,3
"KO",0.005,3
"MMM",0.011,3
"GE",0.007,3
"AAPL",0.006,3
"VZ",0.005,3
"UTX",0.008,3
"TRV",0.008,3
"IBM",0.007,3
"BA",0.011,3
"GS",0.011,3
"V",0.01,3
"WMT",0.004,3
"MCD",0.005,3
"JPM",0.011,3
"PFE",0.005,3
"CSCO",0.01,3
"PG",0.006,3
"AXP",0.009,3
"UNH",0.006,3
"DWDP",0.012,3
"CAT",0.009,3
"INTC",0.008,3
"XOM",0.008,3
"CVX",0.01,3
"BATS.L",0.004,3
"SHP.L",0.005,3
"RTO.L",0.004,3
"SW.PA",0.004,3
