"","so","mem"
"FRE.DE",0.007,1
"ADS.DE",0.005,1
"PSM.DE",0.005,1
"LIN.DE",0.006,1
"DAI.DE",0.015,1
"VNA.DE",0.006,1
"HEN3.DE",0.007,1
"FME.DE",0.006,1
"ANTO.L",0.009,1
"CCH.L",0.005,1
"AHT.L",0.009,1
"SDR.L",0.015,1
"EZJ.L",0.005,1
"CCL.L",0.006,1
"CNA.L",0.005,1
"SSE.L",0.007,1
"GFS.L",0.005,1
"NMC.L",0.005,1
"PRU.L",0.017,1
"SKY.L",0.007,1
"DLG.L",0.005,1
"EXPN.L",0.007,1
"STJ.L",0.013,1
"CPG.L",0.005,1
"VOD.L",0.007,1
"^FTSE",0.02,1
"1038.HK",0.006,1
"0006.HK",0.006,1
"0002.HK",0.005,1
"0992.HK",0.007,1
"0836.HK",0.006,1
"1044.HK",0.004,1
"SMT.L",0.004,2
"0003.HK",0.008,2
"0941.HK",0.006,2
"0101.HK",0.005,2
"2318.HK",0.007,2
"2388.HK",0.005,2
"0012.HK",0.006,2
"0016.HK",0.006,2
"2628.HK",0.007,2
"0027.HK",0.007,2
"1398.HK",0.005,2
"0023.HK",0.01,2
"1109.HK",0.005,2
"0017.HK",0.005,2
"1299.HK",0.007,2
"1928.HK",0.008,2
"0883.HK",0.011,2
"0267.HK",0.006,2
"0083.HK",0.006,2
"0386.HK",0.012,2
"^HSI",0.014,2
"^DJI",0.02,3
"MSFT",0.011,3
"MRK",0.005,3
"DIS",0.007,3
"NKE",0.004,3
"JNJ",0.009,3
"HD",0.011,3
"KO",0.006,3
"MMM",0.013,3
"GE",0.008,3
"AAPL",0.007,3
"VZ",0.006,3
"UTX",0.01,3
"TRV",0.01,3
"IBM",0.009,3
"BA",0.014,3
"GS",0.014,3
"V",0.015,3
"WMT",0.005,3
"MCD",0.006,3
"JPM",0.014,3
"PFE",0.006,3
"CSCO",0.012,3
"PG",0.008,3
"AXP",0.01,3
"UNH",0.007,3
"DWDP",0.016,3
"CAT",0.011,3
"INTC",0.009,3
"XOM",0.009,3
"CVX",0.013,3
"BATS.L",0.005,3
"SHP.L",0.005,3
"RTO.L",0.005,3
"2018.HK",0.005,3
"0700.HK",0.006,3
"2319.HK",0.004,3
"SIE.DE",0.012,4
"BEI.DE",0.006,4
"BAS.DE",0.018,4
"MUV2.DE",0.011,4
"BAYN.DE",0.007,4
"TKA.DE",0.016,4
"ALV.DE",0.017,4
"RWE.DE",0.008,4
"DPW.DE",0.01,4
"VOW3.DE",0.014,4
"EOAN.DE",0.011,4
"HEI.DE",0.009,4
"CON.DE",0.01,4
"SAP.DE",0.011,4
"MRK.DE",0.006,4
"IFX.DE",0.008,4
"DB1.DE",0.013,4
"CBK.DE",0.008,4
"LHA.DE",0.005,4
"DBK.DE",0.01,4
"DTE.DE",0.012,4
"BMW.DE",0.019,4
"^GDAXI",0.025,4
"PPB.L",0.005,4
