"","so","mem"
"DG.PA",0.00575034533716592,1
"VIE.PA",0.00467360938763961,1
"VIV.PA",0.0041953370661923,1
"ANA.MC",0.00503953650404022,1
"ELE.MC",0.00387305950521797,1
"ENG.MC",0.00470743065985659,1
"GRF.MC",0.00328119944171468,1
"IBE.MC",0.00537762450719969,1
"REE.MC",0.00475851686502525,1
"ATL.MI",0.00713699467933208,1
"ENEL.MI",0.00811373977576249,1
"SRG.MI",0.00364012727289866,1
"TRN.MI",0.00506422184200699,1
"^IBEX",0.0192110789004913,2
"ACA.PA",0.0127420811012085,2
"AC.PA",0.0121699317056436,2
"AI.PA",0.00444549400977208,2
"ATO.PA",0.00486505704278594,2
"BNP.PA",0.0167600421327932,2
"CA.PA",0.00338487601691398,2
"CAP.PA",0.0106478100831734,2
"EDEN.PA",0.00647953009974903,2
"EDF.PA",0.00288006773958191,2
"EI.PA",0.00311291119546426,2
"EN.PA",0.0057277275058346,2
"FP.PA",0.0125332421831047,2
"GLE.PA",0.0181032531799529,2
"HO.PA",0.00417189337160416,2
"KN.PA",0.0116009148027779,2
"LR.PA",0.0145322709218544,2
"ORA.PA",0.00988377465723152,2
"SAN.PA",0.00212240677116656,2
"SCR.PA",0.0128685725655675,2
"SGO.PA",0.0122764030499898,2
"SU.PA",0.0167106627166747,2
"UG.PA",0.0090099853208688,2
"CBK.DE",0.00717791294556272,2
"DBK.DE",0.00845650187704955,2
"HEI.DE",0.00788156746454653,2
"IFX.DE",0.00441925292656667,2
"LHA.DE",0.00361180670271811,2
"TKA.DE",0.0111262556088901,2
"ABE.MC",0.00480464860573035,2
"ACX.MC",0.0115857567667908,2
"AMS.MC",0.00457571530117601,2
"BBVA.MC",0.0163709579416669,2
"BKT.MC",0.0145000019314035,2
"CABK.MC",0.0107126002933514,2
"FER.MC",0.0104818558572197,2
"MAP.MC",0.0093769879338538,2
"MEL.MC",0.0103749477139669,2
"MRL.MC",0.0125608456743347,2
"MTS.MC",0.0119221817773231,2
"SAB.MC",0.00755582187035068,2
"SAN.MC",0.0227310141254272,2
"TEF.MC",0.0160614959236065,2
"VIS.MC",0.00275723374055187,2
"BZU.MI",0.00776749082435196,2
"CNHI.MI",0.0152099419134933,2
"CPR.MI",0.00379224685086102,2
"ENI.MI",0.0124319146929926,2
"FCA.MI",0.00412811405984501,2
"MS.MI",0.00374995392379221,2
"SPM.MI",0.00644356967156657,2
"STM.MI",0.00298458811072112,2
"^FCHI",0.0222514126119592,3
"AIR.PA",0.00556085424067175,3
"BIM.PA",0.00265604069502816,3
"BN.PA",0.00580990234275341,3
"ENGI.PA",0.00568130063069255,3
"FR.PA",0.00751110266497852,3
"IPN.PA",0.00289307047743046,3
"KER.PA",0.00529594597361747,3
"MC.PA",0.00633013211621472,3
"MF.PA",0.00513343582143185,3
"OR.PA",0.00462839589155476,3
"SW.PA",0.0029684089130947,3
"UBI.PA",0.00340227271897802,3
"ADS.DE",0.00279192308240849,3
"BEI.DE",0.00506520693580088,3
"DB1.DE",0.00709478382925995,3
"FME.DE",0.00338014424901473,3
"FRE.DE",0.00422992602965718,3
"HEN3.DE",0.00405510203462595,3
"MRK.DE",0.00320202363490952,3
"MUV2.DE",0.0078626849305426,3
"PSM.DE",0.00337587376464327,3
"SAP.DE",0.00758428827795917,3
"SIE.DE",0.00947148618781564,3
"VNA.DE",0.00393999171959981,3
"ACS.MC",0.00682709607891182,3
"GAS.MC",0.0106531891343294,3
"ITX.MC",0.00580237406202748,3
"REC.MI",0.00451615430238548,3
"^GDAXI",0.0196593263118268,4
"ML.PA",0.00557607331802091,4
"SAF.PA",0.00763719276073704,4
"ALV.DE",0.0104193028733987,4
"BAS.DE",0.0104920943190083,4
"BAYN.DE",0.00431533182749856,4
"BMW.DE",0.0119664185587239,4
"CON.DE",0.00548938141502556,4
"DAI.DE",0.0090934795075331,4
"DPW.DE",0.00648423326562364,4
"DTE.DE",0.00867516664865575,4
"EOAN.DE",0.00801220656634273,4
"LIN.DE",0.00320696790446867,4
"RWE.DE",0.00450358340824978,4
"VOW3.DE",0.00808580265738929,4
"DIA.MC",0.00365022916394611,4
"TRE.MC",0.0046181579527342,4
"MONC.MI",0.00565529585815258,4
"TEN.MI",0.00377283917421963,4
"IAG.MC",0.0105599104310606,5
"AZM.MI",0.00711962809518173,5
"BMED.MI",0.0133460496653369,5
"BPE.MI",0.0100319966444296,5
"G.MI",0.0103517106963429,5
"ISP.MI",0.0185161819020742,5
"MB.MI",0.0114749059196139,5
"PRY.MI",0.00867189600517028,5
"SFER.MI",0.00352545022725106,5
"TIT.MI",0.0119752429147202,5
"UBI.MI",0.00958167012846548,5
"UNI.MI",0.0120736981404257,5
"YNAP.MI",0.00407913943810736,5
