"","so","mem"
"BMO",0.013,1
"TD",0.01,1
"RY",0.014,1
"CM",0.013,1
"BNS",0.014,1
"IBN",0.006,1
"BAP",0.005,1
"BSAC",0.005,1
"SFST",0.004,1
"UNTY",0.004,1
"NCBS",0.005,1
"OPB",0.004,1
"EGDW",0.004,1
"OAKV",0.003,1
"CBKM",0.004,1
"WBK",0.011,1
"ZBK",0.004,1
"JFBC",0.004,1
"BBD",0.009,1
"BSBR",0.006,1
"FBP",0.011,1
"CIB",0.007,1
"BBDO",0.005,1
"BSMX",0.007,1
"BCH",0.004,1
"ITUB",0.01,1
"BLX",0.004,1
"BAC",0.038,2
"HOMB",0.011,2
"STI",0.035,2
"STL",0.012,2
"GWB",0.011,2
"BLMT",0.003,2
"FBNK",0.004,2
"OFG",0.006,2
"FRC",0.008,2
"STBZ",0.009,2
"PUB",0.005,2
"FCBI",0.004,2
"C",0.033,2
"JPM",0.032,2
"WFC",0.015,2
"CMA",0.03,2
"RNST",0.014,2
"SFNC",0.014,2
"PNC",0.025,2
"TSC",0.008,2
"^BANK",0.025,2
"HTH",0.012,2
"GS",0.02,2
"USB",0.028,2
"VLY",0.011,2
"WAL",0.015,2
"WF",0.004,2
"MCILX",0.018,2
"MS",0.034,2
"BPOP",0.006,2
"HDB",0.005,2
"SHG",0.007,2
"KB",0.006,2
"EWBC",0.024,2
"SFBS",0.009,2
"GLE.PA",0.006,3
"LLOY.L",0.01,3
"DB",0.013,3
"HSBC",0.012,3
"ING",0.015,3
"RBS",0.013,3
"UBS",0.016,3
"CS",0.015,3
"DSEEY",0.01,3
"NMR",0.013,3
"SCGLY",0.014,3
"BNP.PA",0.006,3
"BBVA",0.016,3
"SMFG",0.01,3
"MFG",0.011,3
"BCS",0.016,3
"SAN",0.021,3
"LYG",0.012,3
"1398.HK",0.006,4
"0939.HK",0.005,4
"3988.HK",0.006,4
"3328.HK",0.006,4
"BFR",0.006,5
"BMA",0.005,5
"GGAL",0.005,5
