"","so","mem"
"^FTSE",0.025,1
"^GDAXI",0.025,1
"^FCHI",0.021,1
"^STOXX50E",0.019,1
"^N100",0.025,1
"^BFX",0.021,1
"^N225",0.009,1
"^AXJO",0.014,1
"^AORD",0.015,1
"^ATX",0.007,1
"^OSEAX",0.014,1
"^OMXSPI",0.029,1
"^SSMI",0.023,1
"^AEX",0.029,1
"^KFX",0.01,1
"^XU100",0.003,1
"^SMSI",0.014,1
"^IBEX",0.014,1
"^OMX",0.026,1
"^HSI",0.007,2
"^BSESN",0.009,2
"^KS11",0.004,2
"^TWII",0.004,2
"^BVSP",0.004,2
"^IPSA",0.003,2
"^MERV",0.003,2
"^NSEI",0.008,2
"^SSEC",0.006,2
"^XAU",0.006,2
"^DJU",0.004,2
"FTSEMIB.MI",0.004,2
"BSE-500.BO",0.007,2
"^DJAT",0.016,2
"000001.SS",0.007,2
"MOEX.ME",0.004,2
"^OMXC20",0.006,2
"^GSPTSE",0.015,3
"^GSPC",0.05,3
"^DJI",0.036,3
"^IXIC",0.04,3
"^NYA",0.045,3
"^XAX",0.01,3
"^RUT",0.024,3
"^STI",0.016,3
"^JKSE",0.004,3
"^KLSE",0.004,3
"^NZ50",0.005,3
"^MXX",0.004,3
"^XMI",0.033,3
"^OEX",0.045,3
"^MID",0.033,3
"^NBI",0.011,3
"^NWX",0.015,3
"^PSE",0.035,3
"^RUA",0.053,3
"^RUI",0.052,3
"^DJT",0.02,3
"^BUX",0.005,3
