"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^IXIC",0.044,0.126,1,-0.009,-0.003,-0.001,0,0.001,0.003,0.006,0.009,0.015,"-","-"
"^RUT",0.033,0.093,1,-0.01,-0.003,-0.001,0.001,0.001,0.003,0.006,0.009,0.013,"-","-"
"FPX",0.031,0.095,1,-0.009,-0.004,-0.002,0,0.001,0.004,0.006,0.009,0.014,"FPX","First Trust US Equity Opportunities ETF"
"FYC",0.022,0.061,1,-0.011,-0.005,-0.001,0.001,0.002,0.005,0.008,0.01,0.015,"FYC","First Trust Small Cap Gr AlphaDEX ETF"
"FDN",0.014,0.042,1,-0.011,-0.004,-0.001,0.001,0.002,0.005,0.008,0.012,0.018,"FDN","First Trust Dow Jones Internet ETF"
"FNX",0.036,0.108,1,-0.009,-0.003,-0.001,0.001,0.001,0.003,0.005,0.008,0.013,"FNX","First Trust Mid Cap Core AlphaDEX ETF"
"FDM",0.01,0.028,1,-0.009,-0.004,-0.002,0,0.001,0.003,0.006,0.008,0.014,"FDM","First Trust Dow Jones Sel MicroCap ETF"
"FBT",0.009,0.028,1,-0.014,-0.007,-0.003,0,0.002,0.005,0.008,0.014,0.022,"FBT","First Trust NYSE Arca Biotech ETF"
"FYX",0.027,0.076,1,-0.011,-0.004,-0.001,0.001,0.002,0.004,0.006,0.009,0.014,"FYX","First Trust Small Cap Core AlphaDEX ETF"
"FXH",0.013,0.041,1,-0.01,-0.004,-0.002,0,0.001,0.004,0.006,0.009,0.014,"FXH","First Trust Health Care AlphaDEX ETF"
"FAD",0.029,0.09,1,-0.009,-0.003,-0.001,0.001,0.001,0.004,0.006,0.009,0.014,"FAD","First Trust Multi Cap Gr AlphaDEX ETF"
"QQEW",0.047,0.136,1,-0.009,-0.004,-0.002,0,0.001,0.003,0.006,0.009,0.015,"QQEW","First Trust NASDAQ-100 Equal Wtd ETF"
"QTEC",0.021,0.061,1,-0.013,-0.006,-0.002,0.001,0.002,0.005,0.008,0.012,0.019,"QTEC","First Trust NASDAQ-100-Tech Sector ETF"
"QABA",0.005,0.016,1,-0.013,-0.006,-0.003,-0.001,0.001,0.005,0.007,0.01,0.018,"QABA","First Trust NASDAQ ABA Community Bk ETF"
"FXO",0.017,0.052,1,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.011,"FXO","First Trust Financials AlphaDEX ETF"
"^GSPC",0.076,0.219,2,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
"^DJI",0.039,0.114,2,-0.008,-0.002,-0.001,0.001,0.001,0.003,0.004,0.008,0.013,"-","-"
"^NYA",0.061,0.18,2,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.01,"-","-"
"^STOXX",0.002,0.008,2,-0.007,-0.003,-0.001,-0.001,0,0.002,0.004,0.006,0.01,"-","-"
"^RUA",0.033,0.102,2,-0.006,-0.002,-0.001,0.001,0.001,0.002,0.004,0.007,0.011,"-","-"
"^RUI",0.083,0.239,2,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
"^SPEUP",0.003,0.011,2,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.01,"-","-"
"EMLP",0.004,0.013,2,-0.009,-0.004,-0.002,-0.001,0,0.003,0.004,0.006,0.011,"EMLP","First Trust North Amer Engy InfrasETF"
"FEX",0.08,0.236,2,-0.008,-0.002,-0.001,0,0.001,0.003,0.004,0.007,0.011,"FEX","First Trust Large Cap Core AlphaDEX ETF"
"FTLS",0.037,0.114,2,-0.006,-0.002,-0.001,0,0,0.003,0.004,0.006,0.009,"FTLS","First Trust Long/Short Equity ETF"
"FTCS",0.04,0.118,2,-0.008,-0.002,-0.001,0,0.001,0.003,0.004,0.007,0.012,"FTCS","First Trust Capital Strength ETF"
"FXU",0.004,0.012,2,-0.01,-0.004,-0.003,0,0,0.003,0.004,0.007,0.01,"FXU","First Trust Utilities AlphaDEX ETF"
"FTHI",0.012,0.041,2,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.005,0.01,"FTHI","First Trust BuyWrite Income ETF"
"FVD",0.016,0.05,2,-0.007,-0.002,-0.001,0,0.001,0.002,0.003,0.005,0.009,"FVD","First Trust Value Line Dividend ETF"
"FXZ",0.011,0.035,2,-0.012,-0.005,-0.002,0,0.001,0.003,0.006,0.01,0.015,"FXZ","First Trust Materials AlphaDEX ETF"
"FTLB",0.005,0.016,2,-0.006,-0.003,-0.001,0,0,0.002,0.004,0.005,0.009,"FTLB","First Trust Hedged BuyWrite Income ETF"
"FXG",0.004,0.013,2,-0.01,-0.004,-0.002,-0.001,0,0.003,0.005,0.008,0.012,"FXG","First Trust Cnsmr Staples AlphaDEX ETF"
"FPE",0.002,0.008,2,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"FPE","First Trust Preferred Sec & Inc ETF"
"FMB",0.002,0.007,2,-0.002,-0.001,-0.001,0,0,0.001,0.001,0.002,0.002,"FMB","First Trust Managed Municipal ETF"
"RDVY",0.032,0.096,2,-0.008,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.014,"RDVY","First Trust Rising Dividend Achiev ETF"
"FTA",0.032,0.095,2,-0.008,-0.003,-0.001,0,0,0.003,0.004,0.007,0.012,"FTA","First Trust Large Cap Val AlphaDEX ETF"
"FDL",0.014,0.044,2,-0.008,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.011,"FDL","First Trust Morningstar Div Leaders ETF"
"IFV",0.012,0.036,3,-0.01,-0.003,-0.001,0,0,0.003,0.005,0.008,0.012,"IFV","First Trust Dorsey Wright Intl Foc 5"
"BICK",0.006,0.019,3,-0.015,-0.007,-0.003,0,0.002,0.005,0.007,0.011,0.017,"BICK","First Trust BICK ETF"
"FDT",0.012,0.035,3,-0.008,-0.004,-0.001,0,0.001,0.003,0.005,0.008,0.011,"FDT","First Trust Dev Mkts Ex-US AlphaDEX ETF"
"FEUZ",0.006,0.018,3,-0.01,-0.004,-0.002,0,0.001,0.004,0.006,0.009,0.013,"FEUZ","First Trust Eurozone AlphaDEX ETF"
"FEP",0.009,0.026,3,-0.009,-0.004,-0.002,0,0.001,0.003,0.006,0.008,0.011,"FEP","First Trust Europe AlphaDEX ETF"
"FEMS",0.006,0.018,3,-0.011,-0.006,-0.004,-0.002,0,0.004,0.008,0.011,0.017,"FEMS","First Trust Emerg Mkts SC AlphaDEX ETF"
"FLN",0.004,0.012,3,-0.018,-0.008,-0.004,-0.001,0.001,0.004,0.009,0.013,0.02,"FLN","First Trust Latin America AlphaDEX ETF"
