"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"PSCC",0.002,0.009,1,-0.01,-0.005,-0.002,0,0.001,0.004,0.006,0.01,0.016,"PSCC","Invesco S&P SmallCap Consumer Stapl ETF"
"KBWY",0.003,0.013,1,-0.012,-0.006,-0.003,0,0.001,0.004,0.006,0.009,0.014,"KBWY","Invesco KBW Premium Yield Eq REIT ETF"
"XSLV",0.01,0.036,1,-0.009,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.012,"XSLV","Invesco S&P SmallCap Low Volatility ETF"
"XMLV",0.011,0.039,1,-0.006,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.01,"XMLV","Invesco S&P MidCap Low Volatility ETF"
"PSR",0.003,0.01,1,-0.011,-0.004,-0.001,0,0,0.003,0.005,0.007,0.011,"PSR","Invesco Active US Real Estate"
"SPHD",0.007,0.026,1,-0.007,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"SPHD","Invesco S&P 500 High Div Low Vol ETF"
"PUI",0.004,0.013,1,-0.011,-0.005,-0.003,-0.001,0.001,0.003,0.006,0.008,0.012,"PUI","Invesco DWA Utilities Momentum ETF"
"SPLV",0.012,0.045,1,-0.006,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.01,"SPLV","Invesco S&P 500 Low Volatility ETF"
"WREI",0.002,0.008,1,-0.01,-0.004,0,0,0,0.001,0.004,0.007,0.013,"WREI","Invesco Wilshire US REIT ETF"
"PEY",0.008,0.03,1,-0.007,-0.002,-0.001,0,0,0.002,0.004,0.006,0.01,"PEY","Invesco High Yield Eq Div Achiev ETF"
"RHS",0.003,0.011,1,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.007,0.012,"RHS","Invesco S&P 500 Eql Wt Cnsm Stapl ETF"
"RYU",0.004,0.014,1,-0.01,-0.004,-0.002,0,0,0.003,0.005,0.007,0.01,"RYU","Invesco S&P 500 Equal Weight Utilts ETF"
"PSCU",0.003,0.011,1,-0.01,-0.004,-0.002,-0.001,0.001,0.003,0.005,0.009,0.014,"PSCU","Invesco S&P SmallCap Utilities ETF"
"KBWD",0.003,0.012,1,-0.008,-0.003,-0.002,0,0,0.002,0.004,0.006,0.01,"KBWD","Invesco KBW High Dividend Yield Financial ETF"
"PSCF",0.007,0.024,1,-0.01,-0.004,-0.002,0,0.001,0.004,0.006,0.008,0.014,"PSCF","Invesco S&P SmallCap Financials ETF"
"^GSPC",0.053,0.174,2,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
"^DJI",0.03,0.103,2,-0.008,-0.002,-0.001,0.001,0.001,0.003,0.004,0.008,0.013,"-","-"
"^NYA",0.047,0.158,2,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.01,"-","-"
"^RUT",0.023,0.079,2,-0.01,-0.003,-0.001,0.001,0.001,0.003,0.006,0.009,0.013,"-","-"
"^STOXX",0.002,0.007,2,-0.007,-0.003,-0.001,-0.001,0,0.002,0.004,0.006,0.01,"-","-"
"^RUA",0.024,0.084,2,-0.006,-0.002,-0.001,0.001,0.001,0.002,0.004,0.007,0.011,"-","-"
"^RUI",0.055,0.181,2,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
