"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"^DJI",0.04,0.119,1,-0.008,-0.002,-0.001,0.001,0.001,0.003,0.004,0.008,0.013,"-","-"
"^NYA",0.052,0.161,1,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.01,"-","-"
"^STOXX",0.002,0.008,1,-0.007,-0.003,-0.001,-0.001,0,0.002,0.004,0.006,0.01,"-","-"
"^SPEUP",0.003,0.012,1,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.01,"-","-"
"XAR",0.005,0.018,1,-0.012,-0.004,-0.002,0.001,0.002,0.004,0.007,0.01,0.016,"XAR","SPDR S&P Aerospace & Defense ETF"
"XLE",0.003,0.012,1,-0.013,-0.005,-0.002,0,0.001,0.004,0.006,0.01,0.018,"XLE","Energy Select Sector SPDR ETF"
"SDY",0.02,0.066,1,-0.007,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.01,"SDY","SPDR S&P Dividend ETF"
"QWLD",0.003,0.01,1,-0.006,0,0,0,0,0,0.002,0.005,0.011,"QWLD","SPDR MSCI World StrategicFactors ETF"
"DIA",0.04,0.118,1,-0.008,-0.002,-0.001,0.001,0.001,0.003,0.004,0.008,0.013,"DIA","SPDR Dow Jones Industrial Average ETF"
"XLB",0.014,0.045,1,-0.011,-0.004,-0.002,0,0.001,0.004,0.006,0.009,0.014,"XLB","Materials Select Sector SPDR ETF"
"VLU",0.002,0.009,1,-0.008,-0.001,0,0,0,0,0.003,0.007,0.013,"VLU","SPDR S&P 1500 Value Tilt ETF"
"SYE",0.007,0.023,1,-0.006,-0.003,-0.001,0,0,0.003,0.005,0.008,0.011,"SYE","SPDR MFS Systematic Core Equity ETF"
"CJNK",0.002,0.008,1,-0.003,-0.002,-0.001,0,0,0.001,0.002,0.003,0.005,"CJNK","SPDR ICE BofAML Crossover Corp Bd ETF"
"FLRN",0.002,0.007,1,-0.001,0,0,0,0,0,0,0.001,0.001,"FLRN","SPDR Blmbg Barclays Inv Grd Flt Rt ETF"
"QEFA",0.007,0.023,1,-0.007,-0.004,-0.002,0,0,0.003,0.004,0.006,0.009,"QEFA","SPDR MSCI EAFE StrategicFactors ETF"
"SYV",0.01,0.035,1,-0.009,-0.002,0,0,0,0.003,0.005,0.007,0.013,"SYV","SPDR MFS Systematic Value Equity ETF"
"LGLV",0.008,0.028,1,-0.007,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"LGLV","SPDR SSGA US Large Cap Low Volatil ETF"
"SMEZ",0.004,0.014,1,-0.008,-0.004,-0.002,0,0,0.003,0.005,0.007,0.011,"SMEZ","SPDR EURO STOXX Small Cap ETF"
"EBND",0.003,0.01,1,-0.007,-0.003,-0.002,-0.001,0,0.001,0.003,0.004,0.007,"EBND","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF"
"EWX",0.006,0.02,1,-0.011,-0.005,-0.003,-0.001,0.001,0.004,0.006,0.008,0.013,"EWX","SPDR S&P Emerging Markets Small Cap ETF"
"XLU",0.003,0.01,2,-0.01,-0.005,-0.003,0,0.001,0.003,0.005,0.008,0.012,"XLU","Utilities Select Sector SPDR ETF"
"KIE",0.008,0.026,2,-0.008,-0.003,-0.001,0,0,0.002,0.004,0.007,0.012,"KIE","SPDR S&P Insurance ETF"
"KRE",0.01,0.029,2,-0.012,-0.007,-0.004,0,0.001,0.006,0.008,0.011,0.018,"KRE","SPDR S&P Regional Banking ETF"
"MBG",0.003,0.01,2,-0.002,-0.001,-0.001,0,0,0,0.001,0.002,0.003,"MBG","SPDR Blmbg Barclays Mortg Backed Bd ETF"
